SWITCH_ID,YEAR,ACTUAL_COVERED,PRED_COVERED,PRED_FULL
1103,2019,2.0,0.42662423849105835,0.42662423849105835
1129,2019,1.0,0.47175899147987366,0.47175899147987366
1133,2019,3.0,0.41070446372032166,0.41070446372032166
1135,2019,2.0,0.4317505657672882,0.4317505657672882
1143,2019,0.0,0.4785332679748535,0.4785332679748535
1159,2019,0.0,0.510267972946167,0.510267972946167
1163,2019,0.0,0.47672438621520996,0.47672438621520996
1172,2019,0.0,0.5628661513328552,0.5628661513328552
1192,2019,0.0,0.4524802565574646,0.4524802565574646
1196,2019,1.0,0.5134820342063904,0.5134820342063904
1285,2019,3.0,0.35320135951042175,0.35320135951042175
1289,2019,1.0,0.4431643784046173,0.4431643784046173
22001,2019,0.0,0.41635534167289734,0.41635534167289734
22004,2019,0.0,0.5467007756233215,0.5467007756233215
22030,2019,4.0,0.5253558158874512,0.5253558158874512
22043,2019,1.0,0.5054785013198853,0.5054785013198853
22090,2019,1.0,0.3745896816253662,0.3745896816253662
33010,2019,0.0,0.5800370573997498,0.5800370573997498
33011,2019,0.0,0.4785476624965668,0.4785476624965668
33015,2019,1.0,0.8643307089805603,0.8643307089805603
33017,2019,0.0,0.44850561022758484,0.44850561022758484
33018,2019,0.0,0.308343768119812,0.308343768119812
33021,2019,0.0,0.4524621367454529,0.4524621367454529
33022,2019,1.0,0.34626340866088867,0.34626340866088867
33024,2019,0.0,0.5171284079551697,0.5171284079551697
33025,2019,0.0,0.42732083797454834,0.42732083797454834
33026,2019,1.0,0.5325600504875183,0.5325600504875183
33027,2019,2.0,0.43673938512802124,0.43673938512802124
33028,2019,0.0,0.3214748799800873,0.3214748799800873
33029,2019,0.0,0.48734110593795776,0.48734110593795776
33030,2019,0.0,0.497629314661026,0.497629314661026
33032,2019,0.0,0.3012104034423828,0.3012104034423828
33036,2019,1.0,0.585224449634552,0.585224449634552
33037,2019,0.0,0.49742957949638367,0.49742957949638367
33039,2019,0.0,0.48203957080841064,0.48203957080841064
33050,2019,0.0,0.4094800651073456,0.4094800651073456
33052,2019,0.0,0.40106385946273804,0.40106385946273804
33053,2019,1.0,0.36923885345458984,0.36923885345458984
33054,2019,1.0,0.4729193449020386,0.4729193449020386
33055,2019,1.0,0.3752894401550293,0.3752894401550293
33056,2019,0.0,0.586879551410675,0.586879551410675
33061,2019,0.0,0.5859795212745667,0.5859795212745667
33062,2019,0.0,0.5097162127494812,0.5097162127494812
33063,2019,2.0,0.3825022280216217,0.3825022280216217
33064,2019,0.0,0.5247748494148254,0.5247748494148254
33065,2019,2.0,0.30036699771881104,0.30036699771881104
33069,2019,0.0,0.5924822092056274,0.5924822092056274
33070,2019,0.0,0.5180653929710388,0.5180653929710388
33075,2019,0.0,0.4543551206588745,0.4543551206588745
33081,2019,0.0,0.4702366292476654,0.4702366292476654
33082,2019,1.0,0.385794073343277,0.385794073343277
33084,2019,1.0,0.4561741054058075,0.4561741054058075
33085,2019,0.0,0.4902285933494568,0.4902285933494568
33087,2019,1.0,0.6095344424247742,0.6095344424247742
33088,2019,0.0,0.4860462248325348,0.4860462248325348
33089,2019,0.0,0.39335161447525024,0.39335161447525024
33094,2019,0.0,0.381331205368042,0.381331205368042
33096,2019,1.0,0.6178069710731506,0.6178069710731506
33098,2019,1.0,0.6365324854850769,0.6365324854850769
33100,2019,0.0,0.36006972193717957,0.36006972193717957
33101,2019,2.0,0.3372614085674286,0.3372614085674286
33104,2019,2.0,0.3166816532611847,0.3166816532611847
33105,2019,0.0,0.38015684485435486,0.38015684485435486
33109,2019,3.0,0.4799891710281372,0.4799891710281372
33118,2019,0.0,0.5584908127784729,0.5584908127784729
33119,2019,0.0,0.4325549602508545,0.4325549602508545
33120,2019,2.0,0.49060383439064026,0.49060383439064026
33121,2019,0.0,0.4705655574798584,0.4705655574798584
33124,2019,0.0,0.4788365066051483,0.4788365066051483
33125,2019,0.0,0.38926607370376587,0.38926607370376587
33128,2019,2.0,0.33266618847846985,0.33266618847846985
33129,2019,0.0,0.40029895305633545,0.40029895305633545
33130,2019,2.0,0.39968305826187134,0.39968305826187134
33131,2019,0.0,0.533832311630249,0.533832311630249
33134,2019,0.0,0.4817555546760559,0.4817555546760559
33137,2019,0.0,0.5744690299034119,0.5744690299034119
33138,2019,0.0,0.39131417870521545,0.39131417870521545
33139,2019,1.0,0.3430403172969818,0.3430403172969818
33148,2019,1.0,0.43219879269599915,0.43219879269599915
33149,2019,4.0,0.6923860907554626,0.6923860907554626
33151,2019,2.0,0.3583282232284546,0.3583282232284546
33154,2019,11.0,0.6366441249847412,0.6366441249847412
33159,2019,1.0,0.33627766370773315,0.33627766370773315
33166,2019,0.0,0.41908183693885803,0.41908183693885803
33167,2019,0.0,0.5409553647041321,0.5409553647041321
33170,2019,0.0,0.5659464001655579,0.5659464001655579
33172,2019,0.0,0.34590110182762146,0.34590110182762146
33178,2019,0.0,0.5296081900596619,0.5296081900596619
33180,2019,0.0,0.30971965193748474,0.30971965193748474
33181,2019,3.0,0.45912468433380127,0.45912468433380127
33184,2019,0.0,0.522035539150238,0.522035539150238
33190,2019,1.0,0.5954536199569702,0.5954536199569702
33191,2019,2.0,0.7186128497123718,0.7186128497123718
33192,2019,0.0,0.5903581976890564,0.5903581976890564
33205,2019,0.0,0.3587520718574524,0.3587520718574524
33206,2019,1.0,0.5631961226463318,0.5631961226463318
33208,2019,1.0,0.29791730642318726,0.29791730642318726
33214,2019,2.0,0.4719438850879669,0.4719438850879669
33215,2019,1.0,0.4403974413871765,0.4403974413871765
