MONTH,ACTUAL_FAULTS,PRED_FAULTS,PRED_FAULTS_INT,FAULT_PROB_PCT
1,82,368.5521353423139,369,100.0
2,81,457.21650191080136,457,100.0
3,91,355.77111941526795,356,100.0
4,121,420.957317634021,421,100.0
5,139,478.5114544265071,479,100.0
6,100,484.29343895745814,484,100.0
7,60,353.28500609955876,353,100.0
8,41,345.8052801261517,346,100.0
9,51,308.06809764958876,308,100.0
10,83,347.50259887864814,348,100.0
11,95,328.9466055386637,329,100.0
12,75,391.15797854884573,391,100.0
