Size,Insulation,Voltage,Type,FROM,FROM_SWITCH,TO,TO_SWITCH
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SURYA KIRAN,31542,AKURLI MHADA NO.2,17217
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SWAPNALOK,25372,GHARKUL,18485
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,TRISHALA SOCIETY,30199,R S C 18,13628
120+150SQ.MM,XLPE,11KV,HTCF SECTION,AAREY NO.2,18066,AAREY UNIT NO.7 KIOSK,18008
120+150SQ.MM,XLPE,11KV,HTCF SECTION,SWAPNALOK,25372,GHARKUL,18485
120+150SQ.MM,XLPE,11KV,HTCF SECTION,SYMPHONY,30814,K D COMPOUND,35098
120+150+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,OBEROI WOODS,30214,DOODH SAGAR,9359
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,JEEVANDEEP,34592,BLUE EMPIRE,25081
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,MALAD RESERVOIR STUDIO,38451,MALAD RESERVOIR,14068
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,AAREY CROSS ROAD NO. 2,7648,ACCORD CLASSIC,37865
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,AKURLI ROAD EAST,9377,HANUMAN NAGAR VALMIKI,37825
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,APPAPADA NO.3,16648,HAWAHIRA,16105
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,BOMBAY TALKIES (NEW),2308,CHINCHAVLI ROAD NO.3,17026
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,CRSC 1,27096,CRSC 2,30290
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KADAM WADI NO.3,11781,KADAMWADI SRA A5,39705
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KAMALA INDUSTRIAL ESTATE,36671,N C DYING,18991
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,AKURLI ROAD NORTH NO.2,16308,AKURLI ROAD NO.1,29151
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,DINDOSHI HOUSING NO.2,10327,YASHODHAM NO.2,12628
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KHARODI NO.1,36358,ITI,19211
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,LIBERTY GARDEN SAVASHRAM,34802,LIBERTY GARDEN NO.3,29059
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,MAHARASHTRA POLICE QTSS NO.3,12932,AURIGAE RESIDENCY,36491
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
120+300+150SQ.MM,XLPE,11KV,HTCF SECTION,AAREY UNIT NO.5,37671,AAREY UNIT NO.6,36337
120+300+150+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,ASTER TOWER,16198,DINDOSHI HOUSING NO.2,10329
120+300+240SQ.MM,XLPE,11KV,HTCF SECTION,L T ROAD NO.2,19945,UNNAT NAGAR MHADA,37255
120+300+70+150SQ.MM,XLPE,11KV,HTCF SECTION,M E S PUMP,15919,PATGAON,27036
150SQ.MM,XLPE,11KV,HTCF SECTION,TUREL PAKHADI NO.1,6899,TUREL PAKHADI NO.2,5271
150SQ.MM,XLPE,11KV,HTCF SECTION,TUREL PAKHADI NO.1,6899,TUREL PAKHADI NO.2,5271
185+225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,OBEROI WOODS,30213,VIRVANI IND.NO.3,11736
185+240SQ.MM,PILC,11KV,HTCF SECTION,GANESH NAGAR MHADA NO.2,17896,MALAD SEWAGE,4165
185+240SQ.MM,PILC,11KV,HTCF SECTION,GANESH NAGAR MHADA NO.2,17896,MALAD SEWAGE,4165
185+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,GANESH NAGAR MHADA NO.2,17896,MALAD SEWAGE,4165
185+300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KANDIVALI SUDAMA VIJAY,39995,KANDIVLI WEST NO.2,6703
185+300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KANDIVLI WEST NO.2,6703,KANDIVALI SUDAMA VIJAY,39995
225SQ.MM,PILC,11KV,HTCF SECTION,BHADRAN NAGAR,6610,KHAJURIA ROAD,15928
225+240SQ.MM,PILC,11KV,HTCF SECTION,,,,
225+240SQ.MM,PILC,11KV,HTCF SECTION,MARVE ROAD NO.3,6076,ORLEM BLISS,19389
225+240SQ.MM,PILC,11KV,HTCF SECTION,ORLEM BLISS,19389,MARVE ROAD NO.3,6076
225+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,MALAD SUBWAY,9015,SAINATH MARKET,4128
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,BHARAT IND. ESTATE,37321,GREAT EASTERN LINK,18807
225+240+300SQ.MM,XLPE,11KV,HTCF SECTION,EXPRESS MALL NO.2,40179,AMORE JEWELL,29352
225+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KHANDELWAL HOUSE,34152,MAKRANIPADA SRA,39974
240SQ.MM,PILC,11KV,HTCF SECTION,BANDONGRI ROAD WEST,16243,PODDAR ROAD NORTH,16247
240SQ.MM,PILC,11KV,HTCF SECTION,,,,
240SQ.MM,PILC,11KV,HTCF SECTION,DINDOSHI VASAHAT,10149,MUKADAM COMPOUND NO.2,19020
240SQ.MM,PILC,11KV,HTCF SECTION,K D COMPOUND,11493,IMP,9272
240SQ.MM,PILC,11KV,HTCF SECTION,K D COMPOUND,11493,IMP,9272
240SQ.MM,PILC,11KV,HTCF SECTION,,,,
240SQ.MM,PILC,11KV,HTCF SECTION,,,,
240SQ.MM,PILC,11KV,HTCF SECTION,,,,
240SQ.MM,PILC,11KV,HTCF SECTION,PATEL ALUMINIUM,4863,KAILASH APARTMENT,7877
240SQ.MM,PILC,11KV,HTCF SECTION,POISAR HOUSING,6851,GOKUL GAGAN,18291
240SQ.MM,PILC,11KV,HTCF SECTION,,,,
240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,ADUKIYA ROAD LA CITADEL,36480,SHREEJI DARSHAN,10628
240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,DHARIVLI VILLAGE,19343,AKSA NO.2,12615
240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KHARODI LINK ROAD NO.1,31747,MALVANI COLONY NO.4,10964
240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KISAN ROAD,10596,UNDERAI ROAD JEWEL,38096
240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,MARUTI TOWER,10314,GUNDECHA INDUSTRIAL COMPLEX,16058
240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SUGRA TOWER,34990,KURAR VILLAGE NO.3,18751
240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,VODAFONE,31394,LIBERTY GARDEN NO.2,28877
300SQ.MM,XLPE,11KV,HTCF SECTION,AZAD SOCIETY,14192,KURAR VILLAGE PRATHAMESH,38928
300SQ.MM,XLPE,11KV,HTCF SECTION,,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,DAMU NAGAR NO.2,11067,DAMU NAGAR NO.3,12937
300SQ.MM,XLPE,11KV,HTCF SECTION,DAMU NAGAR NO.4,26646,DAMU NAGAR NO.3,19956
300SQ.MM,XLPE,11KV,HTCF SECTION,,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,JAWAHAR NAGAR NO.2,795,ASHOKA SHOPPING,11954
