Size,Insulation,Voltage,Type,FROM,FROM_SWITCH,TO,TO_SWITCH
300SQ.MM,XLPE,11KV,HTCF SECTION,SAHAKAR NGR 1,6386,PRAGATI SCTY,19204
120SQ.MM,PILC,11KV,HTCF SECTION,LOKHANDWALA NO.3,6816,LOKHANDWALA NO.5,14829
120SQ.MM,PILC,11KV,HTCF SECTION,NATIONAL CRATES,15626,DIGITAL ELECTRONICS,12112
120SQ.MM,PILC,11KV,HTCF SECTION,VIJAY NAGAR APARTMENT NO.1,6765,ANERI AKRUTI,18913
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,RADHARAMAN APARTMENT,26408,DAHISAR RIVER,16412
,PILC+XLPE,11KV,HTCF SECTION,MAKHIJA ROYALE,37302,HRISHIKESH,6351
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,RUBY LIGHT CHS,35013,AMBEDKAR ROAD NO.1,43066
240SQ.MM,PILC,11KV,HTCF SECTION,GANESH NAGAR MHADA NO.3,17892,GANESH NAGAR MHADA NO.4,17895
240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,BHOOMI CLASSIC,28881,CHINCHOLI  BUNDER,42285
240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,CHAKALA NO.1,2940,SATAM INDUSTRIAL ESTATE,37705
240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,JOGESHWARI RAILWAY QUARTERS,17728,MAJAS NORTH,36476
240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,OBEROI PARK VIEW,28323,EVERSHINE MILLENIUM PARADISE,19976
240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SANJEEVANI CHS,34930,JYOTI HOMES,38774
240+300+400SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,GANESH NAGAR MHADA NO.3,17891,GANESH NAGAR MHADA NO.5,36095
70+120SQ.MM,PILC,11KV,HTCF SECTION,KHERWADI RAILWAY QUARTERS,18893,NAVPADA NO.2,26662
120SQ.MM,PILC,11KV,HTCF SECTION,KHERWADI NORTH NO.3,14904,BANDRA CEMETRY,18341
120SQ.MM,PILC,11KV,HTCF SECTION,NATIONAL ECHO,1090,MAHAKALI CAVES ROAD WEST,13510
120+150SQ.MM,PILC,11KV,HTCF SECTION,,,,
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,HAPPY HOME,10529,BAKUL SOCIETY,31657
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,CHANDIVALI GODREJ URBAN PARK,42632,R.K.POLYMER,15627
240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,TANK PAKHADI NO.2,14807,HOTEL CORP OF INDIA (H C I),6797
240+300+400SQ.MM,PILC+XLPE,11KV,HTCF SECTION,BOMBILWADI ROAD NO.2,9956,WATERFIELD ROAD NO.1,7655
300SQ.MM,XLPE,11KV,HTCF SECTION,MILLAT NAGAR NO.2,12880,USHA DARSHAN,13139
400SQ.MM,XLPE,33KV,HTCF SECTION,,,,
120SQ.MM,PILC,11KV,HTCF SECTION,AAREY UNIT NO.29 KIOSK,18014,AAREY UNIT NO.29,18977
120SQ.MM,PILC,11KV,HTCF SECTION,KHERANI RD SOUTH,29611,SINGHWADI,16741
120SQ.MM,PILC,11KV,HTCF SECTION,MAHAL INDUSTRIAL ESTATE NO.2,7029,J K INDUSTRIES,7419
120SQ.MM,PILC,11KV,HTCF SECTION,NIVATIA ROAD NO.2,10377,GINI APARTMENT,18676
120+150SQ.MM,XLPE,11KV,HTCF SECTION,SATYA SAI TRUST,25378,AKSA NORTH,2879
120+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KURLA DAIRY,5195,NEHRU NGR AMRAPALI,37006
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,RAM NAGAR,38910,DWARKESH PARK,17877
150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,ARYAMAN TRANSIT,36019,MAHAVIR PLATINUM,30698
185+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,TARE COMPOUND,19897,MECHANICAL PACKING,16206
240SQ.MM,XLPE,11KV,HTCF SECTION,BORIVALI IND EST,36814,SHROFF TOWER,16523
240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,BKC EXCHANGE,19748,TAXIMEN CLY 2,17150
240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,BORLA SOC,36806,TOLARAM NGR,6966
240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,OSHIWARA SOUTH NO.1,7466,OSHIWARA SOUTH NO.2,15634
300SQ.MM,XLPE,11KV,HTCF SECTION,ASHOK APARTMENT,27024,SHIVAJI KUTIR MANDAL,18220
300+120+150SQ.MM,XLPE,11KV,HTCF SECTION,,,,
300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,DIMPLE,38385,SHIVAI PLAZA,29939
300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SAM RESIDENCY,31778,SATRA PARK,37264
400SQ.MM,XLPE,22KV,HTCF SECTION,,,,
,,,,,,,
SQ.MM,PILC+XLPE,11KV,HTCF SECTION,AAREY 220 KV RECEIVING STATION,16033,METRO-3 SEEPZ,39481
SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KHARI PLINTH NO 2,37512,SARVODAYA PARADISE,35012
.15+185+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,MEGHANA APARTMENT NO.1,9202,SAI BABA,36138
0.06+70+120SQ.MM,PILC,11KV,HTCF SECTION,JAWAHAR NAGAR NO.3,13847,SONAVALA ESTATE NO.1,714
0.06+70+120SQ.MM,PILC,11KV,HTCF SECTION,JAWAHAR NAGAR NO.3,13847,SONAVALA ESTATE NO.1,714
0.06+70+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SHREEJI DARSHAN,10630,MILAP,36193
0.1+120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,BHARAT TILES,28113,BMK IND,28043
0.1+120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KHERWADI CENTRAL NO.1,1043,KHERWADI CENTRAL NO.2,5579
0.15+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,MSRTC,16920,KIROL EST 3,28576
0.15+185+240SQ.MM,XLPE,11KV,HTCF SECTION,SUNDARVAN,13464,VILE PARLE SOUTH,4482
0.15+185+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,IRLA SOUTH,9297,VINAYAK,32958
0.15+185+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,JAMUNA APARTMENT,10467,COSMOS BEETA,35183
0.15+185+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,MEGHANA APARTMENT NO.1,9202,SAI BABA,36138
0.15+185+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,MEGHANA APARTMENT NO.1,9202,SAI BABA,36138
0.15+185+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,RAJENDRA NAGAR,15892,RAJENDRA NAGAR NO 2,37129
0.2+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,GOREGAON HOUSING NO.2,9640,GOREGAON HOUSING NO.1,766
0.2+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,MITHAGAR ROAD NO.1,2484,PRAGATI NAGAR NO.2,19219
0.3+300SQ.MM,PILC,22KV,HTCF SECTION,,,,
0.3+300SQ.MM,PILC,22KV,HTCF SECTION,,,,
0.3+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SOUTH AVENUE,42642,IBSNOR,40959
0.3+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,VICTORIA PLAZA,34318,DELL HOUSE CHS,41675
0.3+300SQ.MM,PILC+XLPE,22KV,HTCF SECTION,,,,
0.3+300+400SQ.MM,PILC+XLPE,22KV,HTCF SECTION,,,,
0.6+70+120SQ.MM,PILC,11KV,HTCF SECTION,KARANI LANE,7780,GHATKOPAR CENTRAL 2,9532
120SQ.MM,PILC,11KV,HTCF SECTION,ANAND NO.1,18567,OSHIWARA TRANSIT CAMP NO 1,19970
120SQ.MM,PILC,11KV,HTCF SECTION,ANAND ROAD,12025,MALAD SHOPPING CENTRE,10086
120SQ.MM,PILC,11KV,HTCF SECTION,ASHA NAGAR NO.2,12366,VRINDAVAN COMPLEX,13007
120SQ.MM,PILC,11KV,HTCF SECTION,BANDRA RECLAMATION NO.1,6678,MUMBAI EDUCATION TRUST (MET),14031
120SQ.MM,PILC,11KV,HTCF SECTION,BHARUCHA ROAD,7430,KRISHNA TOWER,11675
120SQ.MM,PILC,11KV,HTCF SECTION,DAHISAR SUBWAY NO 2,7489,SUDHINDRA NAGAR,16609
120SQ.MM,PILC,11KV,HTCF SECTION,DAHISAR SUBWAY NO 2,7489,SUDHINDRA NAGAR,16609
120SQ.MM,PILC,11KV,HTCF SECTION,DAMODAR PARK 1,11224,SIDHAPURA IND EST 2,5625
120SQ.MM,PILC,11KV,HTCF SECTION,DANDA VILLAGE NO.2,14672,DANDA VILLAGE NO.4,42296
120SQ.MM,PILC,11KV,HTCF SECTION,DINDOSHI VASAHAT CENTRAL,17143,DINDOSHI VASAHAT NO.2,15478
120SQ.MM,PILC,11KV,HTCF SECTION,GHATLA VILLEGE,11287,KHARDEO NGR 1,9215
120SQ.MM,PILC,11KV,HTCF SECTION,GLUCOSE FOOD,36216,GURU NANAK,14874
120SQ.MM,PILC,11KV,HTCF SECTION,GOLDEN OAK,10683,POWAI HSG 6,11703
120SQ.MM,PILC,11KV,HTCF SECTION,GORAI RSC 19,17100,GORAI RSC 52,16639
120SQ.MM,PILC,11KV,HTCF SECTION,GORAI RSC 19,17100,GORAI RSC 52,16639
120SQ.MM,PILC,11KV,HTCF SECTION,GORAI RSC 52,16641,GORAI RSC 52 SOUTH,17241
120SQ.MM,PILC,11KV,HTCF SECTION,GORAI RSC 6,16880,GORAI RSC 12,15141
120SQ.MM,PILC,11KV,HTCF SECTION,JAIN TEMPLE,17452,BORIVALI RESERVOIR,10400
120SQ.MM,PILC,11KV,HTCF SECTION,JAIN TEMPLE,17452,BORIVALI RESERVOIR,10400
120SQ.MM,PILC,11KV,HTCF SECTION,JAIN TEMPLE,17452,BORIVALI RESERVOIR,10400
120SQ.MM,PILC,11KV,HTCF SECTION,JUHU CENTAUR HOTEL NO.2,43040,JUHU SHOPPING,6173
120SQ.MM,PILC,11KV,HTCF SECTION,JUHU SOUTH (INDOOR),275,PANDYA LANE NO.1,7294
120SQ.MM,PILC,11KV,HTCF SECTION,KAJUPADA 2,9453,KAJUPADA 3,34498
120SQ.MM,PILC,11KV,HTCF SECTION,KOLESITE,4855,JYOTI WIRE INDUSTRIES,6089
120SQ.MM,PILC,11KV,HTCF SECTION,KURLA DAIRY,5192,KAMGAR NGR 1,5214
120SQ.MM,PILC,11KV,HTCF SECTION,LAXMI INDUSTRIES NORTH NO.4,7260,LAXMI INDUSTRIES NORTH NO.3,13666
120SQ.MM,PILC,11KV,HTCF SECTION,LIC COLONY NO 3,9761,JEEVAN BIMA NAGAR,38244
120SQ.MM,PILC,11KV,HTCF SECTION,LILAVATI HOSPITAL,11581,ST JOHN BAPTIST ROAD,6822
120SQ.MM,PILC,11KV,HTCF SECTION,M.G.RD 5,9330,PANT NGR EMBASSY,42432
120SQ.MM,PILC,11KV,HTCF SECTION,,,,
120SQ.MM,PILC,11KV,HTCF SECTION,MAHAKALI CAVES ROAD WEST,13512,MAHAL INDUSTRIAL ESTATE NO.2,7028
120SQ.MM,PILC,11KV,HTCF SECTION,MAMATA INDUSTRY,7784,BALKRISHNA NAGAR NO 2,28403
120SQ.MM,PILC,11KV,HTCF SECTION,NAGARDAS CROSS ROAD,12394,NAGARDAS ROAD NO.1,4124
120SQ.MM,PILC,11KV,HTCF SECTION,ORLEM SOUTH,10997,VIKAS PARK,13685
120SQ.MM,PILC,11KV,HTCF SECTION,RAINBOW INK,19919,ARK SOCIETY,18070
120SQ.MM,PILC,11KV,HTCF SECTION,RAJAWADI 1,31611,SOMAYA COMPUTER,10175
120SQ.MM,PILC,11KV,HTCF SECTION,RAVI PRABHA,12232,PANDURANG WADI NO.1,7549
120SQ.MM,PILC,11KV,HTCF SECTION,ROLTA,14063,FLORAL DECK,16815
120SQ.MM,PILC,11KV,HTCF SECTION,ROLTA,14064,EXCELLENT ENGINEERING,10846
120SQ.MM,PILC,11KV,HTCF SECTION,RSC 33,10661,RSC 38,13813
120SQ.MM,PILC,11KV,HTCF SECTION,SATYA DARSHAN,11965,ANUPAM,6023
120SQ.MM,PILC,11KV,HTCF SECTION,SHERLY VILLAGE NO.2,9239,BENSTON,10008
120SQ.MM,PILC,11KV,HTCF SECTION,SHIMPOLI ROAD,12512,KASTUR PARK NO 2,6867
120SQ.MM,PILC,11KV,HTCF SECTION,SHIMPOLI ROAD,12512,KASTUR PARK NO 2,6867
120SQ.MM,PILC,11KV,HTCF SECTION,SHIMPOLI ROAD,12512,KASTUR PARK NO 2,6867
120SQ.MM,PILC,11KV,HTCF SECTION,SHIV TOWER,12154,DAHISAR SUBWAY NO 2,7490
120SQ.MM,PILC,11KV,HTCF SECTION,SHUBH LAXMI APARTMENT,10592,M I UDYOG,6234
120SQ.MM,PILC,11KV,HTCF SECTION,SILVER BEACH,13909,TURNER ROYAL,4069
120SQ.MM,PILC,11KV,HTCF SECTION,SINGHWADI,16743,SHEETAL NAGAR NO.4,29423
120SQ.MM,PILC,11KV,HTCF SECTION,SOLITAIRE PARK,25915,KRISHNA COMMERCIAL CENTER,19741
120SQ.MM,PILC,11KV,HTCF SECTION,TULIP PARK,13282,LOKDARSHAN,15671
120SQ.MM,PILC,11KV,HTCF SECTION,UDAYGIRI,12096,TELEPHONE WORK SHOP,2741
120SQ.MM,PILC,11KV,HTCF SECTION,UNANI MEDICAL COLLEGE,18742,JUBILEE ABAD BAUG APARTMENT,15570
120SQ.MM,PILC,11KV,HTCF SECTION,USHA DARSHAN,13140,ANAND NO.3,13800
120SQ.MM,PILC,11KV,HTCF SECTION,VIKHROLI,29660,HAZARI BAUG,10799
120SQ.MM,PILC,11KV,HTCF SECTION,WINDERMERE,19147,ANAND NO.4,19576
120SQ.MM,PILC,11KV,HTCF SECTION,WRITER HOUSE,18417,MAROL CHURCH ROAD NO.2,13092
120SQ.MM,PILC,11KV,HTCF SECTION,YESHWANT NAGAR NO.2,14532,GRAND HYATT EXHIBITION(TEMP),25523
120+150SQ.MM,PILC,11KV,HTCF SECTION,AAREY GARDEN KIOSK,16982,AAREY PUMP,6727
120+150SQ.MM,PILC,11KV,HTCF SECTION,GANDHIGRAM NO 4,31517,GANDHIGRAM,7416
120+150SQ.MM,PILC,11KV,HTCF SECTION,MATHURIA APARTMENT,12045,GUNDAVLI NO.2,5319
120+150SQ.MM,PILC,11KV,HTCF SECTION,NEELKANTH PLAZA,13422,NEW CHOMAL,31728
120+150SQ.MM,PILC,11KV,HTCF SECTION,SHREE GANESH,9850,SEVENTEEN ROAD,6368
120+150SQ.MM,PILC,11KV,HTCF SECTION,SURYODAYA,32879,GRAND HYATT EXHIBITION(TEMP),25524
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,APPAPADA NO.2,14365,APPAPADA NO.3,16650
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,CHOWK VILLAGE NO 1,12043,CHOWK VILLAGE NO 2,14887
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,GANDHIGRAM NO 4,31517,GANDHIGRAM,7416
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,JEWEL TOWER,25845,ROSY BLUE,31863
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KANNAMAWAR NGR 1,5042,ABHAY SHIKSHAN SANSTHA,5991
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,LILAYA NAGAR,12172,SOLITAIRE PARK,25913
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,M I D C CENTRAL NO.1,34921,EXCELLENT ENGINEERING,10844
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,MAROL NORTH NO.3,2165,MAROL NORTH NO.1,2736
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,MISTRY APARTMENT,6476,SILVERLINE SOCIETY,31522
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,NANAK CHAMBER,32480,AMBIVLI WEST NO.2,5240
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,NITYANAND DHAM,10284,NAVGHAR ROAD NO 2,34087
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,OBEROI WOODS,30214,DOODH SAGAR,9359
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,PARASMANI,29132,CHIRAG NGR 2,16244
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,RADHARAMAN APARTMENT,26408,DAHISAR RIVER,16412
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,RAJ ANMOL TOWER,15694,VINI GARDEN,28470
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,RANGNATH KESKAR ROAD,29875,BAGWE ROAD,16013
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SARASWATI TOWER,15251,NIKHOLAS WADI,29291
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SHIVALAYA APARTMENT,18122,SANSKRUTI,30230
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,ST.LAURENCE SCHOOL,31608,YAMUNA NAGAR NO.1,7861
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,STONE ARCH,16258,KHATAU ESTATE NO.1,2907
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SUNDER DHAM,29063,HARI OM APARTMENT,42081
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SUNDER DHAM,29063,HARI OM APARTMENT,42081
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,VASANT SMRUTI VRUDHASHRAM,26271,JIDICIARY ACADEMY,32314
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,VRINDAVAN APARTMENT,30339,VEENA ENCLAVE,18490
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,WALCHAND PALACE,29161,DONGRI,13751
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,YAMUNA NAGAR NO.3,14017,ST.LAURENCE SCHOOL,31607
120+150SQ.MM,XLPE,11KV,HTCF SECTION,AKSA NO.2,12613,SATYA SAI TRUST,25376
120+150SQ.MM,XLPE,11KV,HTCF SECTION,BHARAT APPARTMENT,30251,GREAT EASTERN HEIGHT,37414
120+150SQ.MM,XLPE,11KV,HTCF SECTION,MALAD IND.UNIT NO.3,16344,MALAD IND.UNIT NO.4,14760
120+150SQ.MM,XLPE,11KV,HTCF SECTION,PRATIKSHA TOWER,25076,VASANT HOUSING 2,19531
120+150SQ.MM,XLPE,11KV,HTCF SECTION,VIDYA BHAVAN,19044,BHARTIYA VIDYA BHAVAN,37474
120+150+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,TARA JEWELLERIES,28829,ELEC MECH,15865
120+150+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,TARA JEWELLERIES,28829,ELEC MECH,15865
120+150+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,ATLANTIS CRYSTAL,42332,SUPREME INDUSTRIES,4722
120+150+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,WASHI RD EAST,16187,MARAWALI SHABARI SHAAN,41240
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,AKRUTI CENTRE SQUARE,31207,ORKEY,4895
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,BHATIA ISLAND,29070,ERANGAL NORTH,12593
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,BHAYANDAR WEST NO 1,5088,MURDHE VILLAGE,16144
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,BHAYANDAR WEST NO 1,5088,MURDHE VILLAGE,16144
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,CAMA NO.2,9958,BABULAL AVASTHI COMPOUND,28622
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,CAMA NO.2,9958,BABULAL AVASTHI COMPOUND,28622
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,CLASSIC PRECI TECH,34485,GREEN VALLEY STUDIO,38415
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,DHAKE COLONY NO.1,4858,SURYADARSHAN NO 2,40848
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,EKDANT SOCIETY,28282,HVPS SCHOOL,35127
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,GURUKUL TOWER,15961,RANGNATH KESKAR ROAD,29877
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,JAM NAGAR,35528,MEHARANA,30240
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,JAM NAGAR,35528,MEHARANA,30240
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KHERWADI NORTH NO.2,4606,HANUMAN TEKDI NO.2,9407
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,MADH,2562,AFCO,13908
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,PAHADI NO.2,6256,BABULAL AVASTHI COMPOUND,28623
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,PARAG NAGAR,17771,NL ARYAVARTA NO 1,39893
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,RADHA GOVIND,32975,KANAKIA SAMARPAN NO 2,34629
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,RAMBAUGH LOTUS,38138,CHINCHAVLI ROAD NO.3,31664
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,RAMCHANDRA LANE NO.3,39111,GEMSTAR COMMERCIAL COMPLEX,29066
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,ROSY BLUE,31863,JEWEL TOWER,25845
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,RSC 44 SOUTH,38059,R S C 15,30007
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,S M HOUSE,39180,VALLABH DARSHAN,31041
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,S M HOUSE,39180,VALLABH DARSHAN,31041
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SHIMPOLI SEWAGE,42186,KALPTARU BUILDING,32661
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SUNIL NIWAS,6359,VERSOVA HUBTOWN,42232
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,TAXIMEN CLY 2,15371,TRELLIL,34034
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,TILAK NGR ELINA,43137,KURLA TERMINUS 1,12000
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,UTTAN KIOSK,7181,SHEREY LANE,15168
120+225+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,BUSINESS SQUARE,25742,SANGAM,34227
120+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,BKC EXCHANGE,19748,TAXIMEN CLY 2,17150
120+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,JANGID COMPLEX,11472,JANGID TOWER,12524
120+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
120+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
120+300SQ.MM,PILC,11KV,HTCF SECTION,MILLAT NAGAR NO.2,12882,MILLAT NAGAR NO.1,13253
120+300SQ.MM,PILC,11KV,HTCF SECTION,VIJAY NAGAR APARTMENT NO.1,6765,ANERI AKRUTI,18913
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,AAREY CROSS ROAD NO. 2,7648,ACCORD CLASSIC,37861
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,AAREY UNIT NO.19,15691,AAREY GARDEN KIOSK,16981
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,AMBIVLI HOUSING NO.3,7493,M H A D A NO.2,13923
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,ANDHERI SPORTS COMPLEX,9025,SHREE GANESH SOCIETY,29959
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,BAINGANWADI 2,13504,BAINGANWADI 1,12212
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,BAINGANWADI 2,13504,BAINGANWADI 1,12212
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,BANGUR NAGAR NO.1,18149,VASUPUJYA,34005
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,BHAGWATI HOSPITAL NO 2,41815,LIC COLONY NO 1,6200
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,BOMBAY KNITTING,17515,M I D C NO.3,15022
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,BOMBAY TALKIES (NEW),2308,CHINCHAVLI ROAD NO.3,17026
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,CHANDIVALI GODREJ URBAN PARK,42632,R.K.POLYMER,15627
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,CHANDIVALI GODREJ URBAN PARK,42632,R.K.POLYMER,15627
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,DEVIKRIPA,34117,GHATKOPAR STN RD,15798
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,EKSAR SOUTH,9284,KANTI PARK,13225
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,EKSAR SOUTH,9284,KANTI PARK,13225
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,EKSAR SOUTH,9284,KANTI PARK,13225
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,ERANGAL NORTH,12595,DONGARPADA,25255
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,FIFTY FIRST ROAD,12402,NEW EKTA CHS,39083
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,GODREJ & BOYCE 1,304,GODREJ TREES NO.1,39309
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,GODREJ TREES NO.1,39309,GODREJ & BOYCE 1,304
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,GURUKUL TOWER,15963,SHREE SAI SHEEL CHS,38463
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,IRLA NORTH,7717,JUHU HANUMAN NAGAR,19071
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,JUHU VILLAGE,9706,JUHU GYMKHANA,6567
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,M I D C NO.5,38654,HOTEL ROYAL SOUJOURN,19625
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,M.G.RD 1,5455,GHATKOPAR SWITCH HOUSE,486
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,MALVANI CHURCH NO.2,19925,I N S HAMALA,4252
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,MAROL MAROSHI ROAD NO.3,9486,S D F NO.3,6288
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,MASACHA PADA EAST,28668,MANALI VILLAGE,25083
