SWNO,Month_01,Month_02,Month_03,Month_04,Month_05,Month_06,Month_07,Month_08,Month_09,Month_10,Month_11,Month_12,Month_01_CAL,Month_02_CAL,Month_03_CAL,Month_04_CAL,Month_05_CAL,Month_06_CAL,Month_07_CAL,Month_08_CAL,Month_09_CAL,Month_10_CAL,Month_11_CAL,Month_12_CAL
33082.0,121.28259072580644,130.37270061728395,152.63051075268817,156.81708333333333,174.73052123926033,167.255227075,171.5921631,171.5921631,152.5080048076923,155.65074652777778,133.33334186471663,115.280436827957,,,,,,,,,,,,
33084.0,112.2688239247312,117.880362654321,145.4718380376344,173.301875,175.90281071091363,160.96271692905796,160.4248657,160.4248657,131.95870993589745,143.4699826388889,130.63784335154827,108.46310483870968,,,,,,,,,,,,
33085.0,71.66074596774193,83.89835648148149,105.85269153225806,102.06760416666668,114.65987786408824,110.25583672784026,103.3063049,103.3063049,88.89441506410256,97.6524861111111,83.96663639665819,69.11139112903226,,,,,,,,,,,,
33086.0,82.29301075268818,90.73379629629628,95.95228494623656,99.16666666666669,111.35659775407548,105.70251037862393,57.99999619999999,57.9999962,107.24222585924714,112.80833333333334,92.32725947521864,85.89717741935483,,,,,,,,,,,,
33087.0,111.38960349462366,116.90885416666669,137.80795026881722,150.29239583333333,174.8464459292868,172.8890083358377,166.9311523,166.9311523,142.50734939759036,154.1531354166667,126.67688961988304,111.03709677419356,,,,,,,,,,,,
33088.0,106.8383635752688,112.42788194444444,139.18509744623654,149.99635416666666,187.5966993941005,167.48870054965903,173.3773499,173.3773499,161.1323534136546,161.35669444444446,126.24075636363636,105.29462029569892,,,,,,,,,,,,
33090.0,136.68328965053763,139.56412037037038,160.8562735215054,171.42218749999998,168.0956312488564,168.58512735867518,155.9758606,155.9758606,146.68748397435897,156.96061805555556,140.4087440671778,121.72180779569892,,,,,,,,,,,,
33093.0,71.83245949074075,71.62519097222221,83.0353998655914,81.94885416666666,104.72899554337296,115.1741278274648,118.2710266,118.2710266,99.50671031096564,85.3769375,70.45195343761368,77.59813508064516,,,,,,,,,,,,
33094.0,75.09167534722222,63.42888117283951,87.63658602150538,94.6675,125.22336779543816,114.87406335549936,123.2911377,123.2911377,123.87348557692306,125.13543402777778,108.50998901501282,89.55541666666666,,,,,,,,,,,,
33095.0,86.01101814516129,94.0677276234568,99.09911626344083,113.6321875,148.04896900790663,135.09010894480832,121.1062164,121.1062164,98.5944471153846,105.26557638888887,89.14045537340618,82.87776209677419,,,,,,,,,,,,
33096.0,82.40091733870968,84.93859182098765,86.40943884408601,96.7265625,104.89456753469388,112.85978854256784,91.9352875,91.9352875,89.83833333333334,93.8048263888889,84.46805454545455,82.12283266129032,,,,,,,,,,,,
33097.0,108.39678427419356,110.5507986111111,127.53553427419357,139.796875,157.81081049511167,146.3549307728881,132.592514,132.592514,123.61665865384614,134.70817708333334,112.91422950819673,102.1213877688172,,,,,,,,,,,,
33098.0,116.0758266129032,131.14457561728395,152.9719186827957,167.85677083333334,174.2449720536023,165.8899315007881,160.9716034,160.97160339999996,140.2303685897436,159.1342048611111,131.60956,124.38874663978494,,,,,,,,,,,,
33099.0,111.55888440860215,119.27688657407408,130.3270698924731,142.01239583333333,146.02126289726212,135.7860925470588,129.3839417,129.3839417,121.3650721153846,130.7484826388889,120.377200729927,101.66556451612902,,,,,,,,,,,,
33100.0,124.42989247311829,127.58135802469135,146.9801377688172,158.91541666666666,163.68843963074897,165.13685684793612,185.4521484,185.4521484,149.09234848484846,157.74398958333333,132.53480131243165,120.92806787634407,,,,,,,,,,,,
33101.0,52.14725134408602,55.385918209876536,72.5184879032258,73.35125000000001,97.73942866236236,78.75325788196636,59.5489998,59.5489998,68.72467948717949,80.90374652777778,67.22113652868555,53.6564314516129,,,,,,,,,,,,
33102.0,98.89704301075268,98.50983796296296,121.5132997311828,132.60354166666667,147.6494289561822,121.6083148496176,140.4754486,140.4754486,118.81508814102564,129.46797569444445,111.91495265841225,103.27658602150538,,,,,,,,,,,,
33104.0,109.71865927419354,90.80704475308642,90.39240927419355,128.0251041666667,179.16448060762366,182.30464684503235,190.7204742,190.7204742,126.50153044871796,145.17482291666667,129.09911572052405,108.6666633064516,,,,,,,,,,,,
33105.0,138.67578293010752,123.84769675925924,130.2102116935484,149.318125,179.47857934194153,181.9977095206564,170.3217163,170.3217163,138.60929487179487,147.42171527777776,138.46960029069768,127.73429435483872,,,,,,,,,,,,
33106.0,156.7029435483871,167.4368634259259,191.59564852150535,202.78052083333333,191.0486388691023,181.0175570664369,181.9806671,181.9806671,184.41233173076924,200.82675,175.0536999271668,158.38283602150537,,,,,,,,,,,,
33107.0,107.45944556451612,124.8644637345679,138.63304099462366,127.25375,135.2057679797737,147.40350660613208,136.7439423,136.7439423,116.0806810897436,128.62817361111112,120.35555596330276,106.28831317204302,,,,,,,,,,,,
33109.0,127.16569556451611,137.03726466049383,138.66675739247313,114.78520833333332,177.25282128744263,172.92752474239043,170.1475677,170.1475677,160.21022435897436,173.6582222222222,135.36988316903978,120.06470430107528,,,,,,,,,,,,
33111.0,78.12197580645162,80.48148148148148,94.3138440860215,98.65625,118.92194896826864,115.3400536422151,132.0,132.0,86.48958333333333,97.26145833333334,84.2882223847842,72.44959677419355,,,,,,,,,,,,
33112.0,104.23532258064516,112.85596064814816,112.74445900537634,125.33,133.30974142660023,124.2021637454201,116.7603149,116.7603149,103.15833333333332,118.58013194444446,107.2794746442904,94.57609879032258,,,,,,,,,,,,
33115.0,63.47854502688172,68.07761574074074,74.84838037634408,57.88375,113.58905309103274,107.18002357424092,110.6436615,110.6436615,91.31108974358976,95.39781597222223,78.4251633027523,67.98012432795699,,,,,,,,,,,,
33116.0,38.04508736559139,40.67789737654321,47.77315860215055,54.20395833333333,41.67583906262311,39.4569700722901,36.7364044,36.7364044,37.21359541359541,43.65099652777778,31.82301389904901,33.21940860215054,,,,,,,,,,,,
33118.0,125.50879032258064,123.57967978395062,153.62460349462367,150.0834375,177.95504325885938,162.8620370884693,151.6828003,151.68280029999997,143.05952724358974,160.80384375,135.49102376599637,119.5959375,,,,,,,,,,,,
33119.0,136.3927755376344,129.26984567901235,161.6869119623656,174.56552083333335,210.17937432520972,203.12797441855855,217.0315247,217.0315247,181.0423557692308,193.73147222222224,166.2792568306011,138.84816868279572,,,,,,,,,,,,
