SWNO,min_date,max_date,years,months
33371,2024-01-01 00:00:00+00:00,2024-08-18 23:00:00+00:00,[np.int32(2024)],"[np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8)]"
33372,2024-01-01 00:00:00+00:00,2024-08-18 23:00:00+00:00,[np.int32(2024)],"[np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8)]"
33374,2024-01-01 00:00:00+00:00,2024-08-18 23:00:00+00:00,[np.int32(2024)],"[np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8)]"
33375,2024-01-01 00:00:00+00:00,2024-08-18 23:00:00+00:00,[np.int32(2024)],"[np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8)]"
33376,2024-01-01 00:00:00+00:00,2025-04-18 23:45:00+00:00,"[np.int32(2024), np.int32(2025)]","[np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(11), np.int32(12)]"
33388,2024-11-21 00:00:00+00:00,2025-04-18 23:45:00+00:00,"[np.int32(2024), np.int32(2025)]","[np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(11), np.int32(12)]"
33389,2024-11-21 00:00:00+00:00,2025-04-18 23:45:00+00:00,"[np.int32(2024), np.int32(2025)]","[np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(11), np.int32(12)]"
33390,2024-11-21 00:00:00+00:00,2025-04-18 23:45:00+00:00,"[np.int32(2024), np.int32(2025)]","[np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(11), np.int32(12)]"
33391,2024-11-21 00:00:00+00:00,2025-04-18 23:45:00+00:00,"[np.int32(2024), np.int32(2025)]","[np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(11), np.int32(12)]"
33392,2024-11-21 00:00:00+00:00,2025-04-18 23:45:00+00:00,"[np.int32(2024), np.int32(2025)]","[np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(11), np.int32(12)]"
33393,2024-11-21 00:00:00+00:00,2025-04-18 23:45:00+00:00,"[np.int32(2024), np.int32(2025)]","[np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(11), np.int32(12)]"
33394,2024-11-21 00:00:00+00:00,2025-04-18 23:45:00+00:00,"[np.int32(2024), np.int32(2025)]","[np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(11), np.int32(12)]"
33395,2024-11-21 00:00:00+00:00,2025-04-18 23:45:00+00:00,"[np.int32(2024), np.int32(2025)]","[np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(11), np.int32(12)]"
33396,2024-09-27 00:00:00+00:00,2025-04-02 23:45:00+00:00,"[np.int32(2024), np.int32(2025)]","[np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(9), np.int32(10), np.int32(11), np.int32(12)]"
33409,2024-10-01 00:00:00+00:00,2025-04-02 23:45:00+00:00,"[np.int32(2024), np.int32(2025)]","[np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(10), np.int32(11), np.int32(12)]"
33410,2024-12-17 00:00:00+00:00,2025-04-18 23:45:00+00:00,"[np.int32(2024), np.int32(2025)]","[np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(12)]"
33411,2024-12-17 00:00:00+00:00,2025-04-18 23:45:00+00:00,"[np.int32(2024), np.int32(2025)]","[np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(12)]"
33424,2025-02-18 00:00:00+00:00,2025-04-18 23:45:00+00:00,[np.int32(2025)],"[np.int32(2), np.int32(3), np.int32(4)]"
33425,2025-02-18 00:00:00+00:00,2025-04-18 23:45:00+00:00,[np.int32(2025)],"[np.int32(2), np.int32(3), np.int32(4)]"
33426,2025-02-18 00:00:00+00:00,2025-02-18 23:45:00+00:00,[np.int32(2025)],[np.int32(2)]
33427,2025-02-19 00:00:00+00:00,2025-04-18 23:45:00+00:00,[np.int32(2025)],"[np.int32(2), np.int32(3), np.int32(4)]"
33428,2025-02-18 00:00:00+00:00,2025-04-18 23:45:00+00:00,[np.int32(2025)],"[np.int32(2), np.int32(3), np.int32(4)]"
33429,2025-02-18 00:00:00+00:00,2025-04-18 23:45:00+00:00,[np.int32(2025)],"[np.int32(2), np.int32(3), np.int32(4)]"
33430,2025-02-18 00:00:00+00:00,2025-04-18 23:45:00+00:00,[np.int32(2025)],"[np.int32(2), np.int32(3), np.int32(4)]"
33432,2025-02-18 00:00:00+00:00,2025-04-18 23:45:00+00:00,[np.int32(2025)],"[np.int32(2), np.int32(3), np.int32(4)]"
33433,2025-02-18 00:00:00+00:00,2025-04-18 23:45:00+00:00,[np.int32(2025)],"[np.int32(2), np.int32(3), np.int32(4)]"
33434,2025-02-18 00:00:00+00:00,2025-04-18 23:45:00+00:00,[np.int32(2025)],"[np.int32(2), np.int32(3), np.int32(4)]"
33436,2025-02-20 00:00:00+00:00,2025-04-18 23:45:00+00:00,[np.int32(2025)],"[np.int32(2), np.int32(3), np.int32(4)]"
33442,2025-02-20 00:00:00+00:00,2025-04-18 23:45:00+00:00,[np.int32(2025)],"[np.int32(2), np.int32(3), np.int32(4)]"
