SWITCH_ID,YEAR,ACTUAL_COVERED,PRED_COVERED,PRED_FULL
1103,2019,2.0,0.8993504643440247,0.8993504643440247
1129,2019,1.0,0.7754831314086914,0.7754831314086914
1133,2019,3.0,0.829759418964386,0.829759418964386
1135,2019,2.0,0.8353145718574524,0.8353145718574524
1143,2019,0.0,0.7378343939781189,0.7378343939781189
1159,2019,0.0,0.7683139443397522,0.7683139443397522
1163,2019,0.0,0.9235575795173645,0.9235575795173645
1172,2019,0.0,0.7714493870735168,0.7714493870735168
1192,2019,0.0,0.835576057434082,0.835576057434082
1196,2019,1.0,0.7735623717308044,0.7735623717308044
1285,2019,3.0,0.9122047424316406,0.9122047424316406
1289,2019,1.0,0.9094743728637695,0.9094743728637695
22001,2019,0.0,0.750569224357605,0.750569224357605
22004,2019,0.0,0.9006832242012024,0.9006832242012024
22030,2019,4.0,0.7407438158988953,0.7407438158988953
22043,2019,1.0,0.861752450466156,0.861752450466156
22090,2019,1.0,0.8376296162605286,0.8376296162605286
33010,2019,0.0,0.9316827654838562,0.9316827654838562
33011,2019,0.0,0.8238562345504761,0.8238562345504761
33015,2019,1.0,0.8503581881523132,0.8503581881523132
33017,2019,0.0,0.8555375337600708,0.8555375337600708
33018,2019,0.0,0.8403831124305725,0.8403831124305725
33021,2019,0.0,0.8807860016822815,0.8807860016822815
33022,2019,1.0,0.8455905914306641,0.8455905914306641
33024,2019,0.0,0.8729977607727051,0.8729977607727051
33025,2019,0.0,0.908757209777832,0.908757209777832
33026,2019,1.0,0.8831760883331299,0.8831760883331299
33027,2019,2.0,0.8763363361358643,0.8763363361358643
33028,2019,0.0,0.7477779388427734,0.7477779388427734
33029,2019,0.0,0.771058976650238,0.771058976650238
33030,2019,0.0,0.8809850215911865,0.8809850215911865
33032,2019,0.0,0.8145700693130493,0.8145700693130493
33036,2019,1.0,0.7734535336494446,0.7734535336494446
33037,2019,0.0,0.7901939749717712,0.7901939749717712
33039,2019,0.0,0.8067928552627563,0.8067928552627563
33050,2019,0.0,0.844789445400238,0.844789445400238
33052,2019,0.0,0.8690308928489685,0.8690308928489685
33053,2019,1.0,0.8001120686531067,0.8001120686531067
33054,2019,1.0,0.887841522693634,0.887841522693634
33055,2019,1.0,0.8401142358779907,0.8401142358779907
33056,2019,0.0,0.8193870782852173,0.8193870782852173
33061,2019,0.0,0.8008622527122498,0.8008622527122498
33062,2019,0.0,0.7919472455978394,0.7919472455978394
33063,2019,2.0,0.7821582555770874,0.7821582555770874
33064,2019,0.0,0.8687074780464172,0.8687074780464172
33065,2019,2.0,0.7124689817428589,0.7124689817428589
33069,2019,0.0,0.764754056930542,0.764754056930542
33070,2019,0.0,0.8279570937156677,0.8279570937156677
33075,2019,0.0,0.8238996267318726,0.8238996267318726
33081,2019,0.0,0.8208602666854858,0.8208602666854858
33082,2019,1.0,0.7195706963539124,0.7195706963539124
33084,2019,1.0,0.9088693857192993,0.9088693857192993
33085,2019,0.0,0.8144663572311401,0.8144663572311401
33087,2019,1.0,0.6936684846878052,0.6936684846878052
