YEAR,ACTUAL_COVERED,PRED_COVERED,PRED_FULL
2019,87.0,92.67880028486252,92.67880028486252
2020,83.0,81.21935951709747,81.21935951709747
2021,88.0,98.52868115901947,98.52868115901947
2022,100.0,98.21576607227325,98.21576607227325
2023,114.0,110.07034713029861,110.07034713029861
2024,107.0,121.6497745513916,121.6497745513916
2025,18.0,25.21282134950161,102.11869910359383
