SWITCH_ID,YEAR,ACTUAL_FAULTS,PRED_FAULTS,PRED_INT
74,2019,0.0,0.4294334352016449,0
83,2019,0.0,0.4294334352016449,0
171,2019,0.0,0.4294254779815674,0
251,2019,0.0,0.4294334352016449,0
259,2019,1.0,0.4294334352016449,0
304,2019,0.0,0.4293554425239563,0
318,2019,0.0,0.4294333755970001,0
354,2019,0.0,0.4294334352016449,0
376,2019,0.0,0.4294334352016449,0
382,2019,0.0,0.4294334352016449,0
394,2019,2.0,0.42942550778388977,0
429,2019,0.0,0.429433673620224,0
438,2019,0.0,0.4294322431087494,0
454,2019,0.0,0.4294334352016449,0
493,2019,1.0,0.4294336140155792,0
625,2019,0.0,0.4294336140155792,0
650,2019,0.0,0.42943355441093445,0
741,2019,0.0,0.4294334352016449,0
756,2019,1.0,0.42943352460861206,0
840,2019,0.0,0.4294334352016449,0
851,2019,1.0,0.42943352460861206,0
856,2019,1.0,0.4294334948062897,0
893,2019,0.0,0.4294334053993225,0
954,2019,0.0,0.4294334352016449,0
1011,2019,0.0,0.4294254779815674,0
1029,2019,0.0,0.429433673620224,0
1068,2019,0.0,0.42938223481178284,0
1089,2019,1.0,0.4294334053993225,0
1103,2019,2.0,0.4294336140155792,0
1129,2019,1.0,0.42943352460861206,0
1133,2019,3.0,0.42943352460861206,0
1135,2019,2.0,0.4294334352016449,0
1143,2019,0.0,0.42943355441093445,0
1159,2019,0.0,0.4294334053993225,0
1163,2019,0.0,0.4294334053993225,0
1172,2019,0.0,0.4294334948062897,0
1192,2019,0.0,0.4294334352016449,0
1196,2019,1.0,0.42943355441093445,0
1285,2019,3.0,0.4293803870677948,0
1289,2019,1.0,0.42943355441093445,0
1305,2019,0.0,0.4294334352016449,0
1341,2019,0.0,0.4294336140155792,0
1545,2019,0.0,0.42943355441093445,0
1639,2019,1.0,0.4294333755970001,0
2058,2019,1.0,0.42943355441093445,0
2072,2019,0.0,0.4294334053993225,0
2111,2019,0.0,0.42943355441093445,0
2153,2019,1.0,0.4294334352016449,0
2168,2019,0.0,0.4294336140155792,0
