YEAR,ACTUAL_FAULTS,PRED_FAULTS
2019,615.0,758.8034708499908
2020,552.0,701.8306583464146
2021,520.0,611.6122828125954
2022,442.0,534.999677926302
2023,498.0,612.9428642690182
2024,466.0,512.3178590536118
2025,157.0,476.37306064367294
