SWNO,VOLTAGE,I_Month_01,I_Month_02,I_Month_03,I_Month_04,I_Month_05,I_Month_06,I_Month_07,I_Month_08,I_Month_09,I_Month_10,I_Month_11,I_Month_12,PEAK_Month_01,PEAK_Month_02,PEAK_Month_03,PEAK_Month_04,PEAK_Month_05,PEAK_Month_06,PEAK_Month_07,PEAK_Month_08,PEAK_Month_09,PEAK_Month_10,PEAK_Month_11,PEAK_Month_12,CYCLE_Month_01,CYCLE_Month_02,CYCLE_Month_03,CYCLE_Month_04,CYCLE_Month_05,CYCLE_Month_06,CYCLE_Month_07,CYCLE_Month_08,CYCLE_Month_09,CYCLE_Month_10,CYCLE_Month_11,CYCLE_Month_12,OVR_Month_01,OVR_Month_02,OVR_Month_03,OVR_Month_04,OVR_Month_05,OVR_Month_06,OVR_Month_07,OVR_Month_08,OVR_Month_09,OVR_Month_10,OVR_Month_11,OVR_Month_12
33010,33KV,97.735,104.930,114.662,131.872,140.457,133.853,133.547,130.581,120.708,123.099,125.697,124.558,210.636,180.699,206.070,260.673,199.640,260.673,188.182,195.024,200.380,186.990,194.719,201.120,1.000,2.000,3.000,2.000,1.000,0.000,2.000,1.000,0.000,2.000,1.000,1.000,84.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33011,33KV,109.657,117.076,131.278,144.985,135.062,134.216,129.134,126.821,122.299,131.437,114.839,101.808,189.369,217.530,246.770,254.159,625.603,242.987,197.700,203.980,259.490,1201.731,625.603,189.280,2.000,2.000,2.000,3.000,2.000,1.000,1.000,2.000,2.000,3.000,2.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,18.000,2.000,9.000,0.000
33012,22KV,54.700,51.154,52.929,47.056,46.704,43.775,46.404,46.509,50.808,50.149,53.579,48.947,76.250,111.080,94.410,65.040,65.570,73.280,58.920,62.490,65.210,70.790,68.620,90.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33012,33KV,75.316,86.945,98.799,127.618,158.200,148.228,118.589,105.597,77.889,59.361,63.750,60.236,257.560,261.664,261.712,266.799,340.488,266.799,255.911,259.632,257.529,222.139,218.000,232.487,0.000,0.000,0.000,0.000,0.000,0.000,2.000,1.000,0.000,1.000,3.000,3.000,517.000,207.000,85.000,10.000,2.000,0.000,8.000,55.000,300.000,454.000,470.000,641.000
33015,33KV,115.505,122.994,138.502,159.593,164.163,149.977,147.452,141.922,131.061,143.930,130.955,117.371,262.000,238.000,274.000,276.000,266.000,276.000,258.000,256.000,250.000,266.000,240.000,242.000,1.000,1.000,1.000,1.000,1.000,0.000,1.000,1.000,0.000,2.000,1.000,0.000,41.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000
33018,33KV,103.483,78.024,81.350,102.770,102.834,101.916,103.399,104.697,89.729,178.228,147.110,131.971,232.750,241.520,211.600,218.260,223.480,230.970,211.520,219.860,216.620,273.330,257.970,250.930,4.000,6.000,4.000,2.000,1.000,4.000,3.000,3.000,6.000,2.000,2.000,3.000,89.000,416.000,356.000,112.000,148.000,170.000,20.000,32.000,148.000,0.000,0.000,0.000
33019,33KV,132.444,134.548,155.650,182.997,206.683,197.276,183.639,181.871,207.918,210.380,190.124,194.890,306.650,303.845,315.814,307.041,317.089,332.374,293.801,294.426,332.374,301.130,300.970,300.500,0.000,0.000,0.000,0.000,1.000,1.000,1.000,2.000,3.000,2.000,2.000,2.000,54.000,24.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33020,33KV,95.643,105.429,112.097,131.686,145.058,132.813,125.208,120.158,110.382,116.029,105.553,96.996,231.842,296.597,242.530,511.374,273.829,258.351,207.832,277.487,296.597,251.120,374.790,239.990,1.000,0.000,2.000,1.000,2.000,0.000,2.000,1.000,0.000,2.000,0.000,1.000,50.000,29.000,26.000,3.000,0.000,0.000,0.000,1.000,1.000,6.000,27.000,53.000
33021,33KV,83.382,88.016,90.418,105.983,119.676,113.872,102.422,97.676,94.419,109.353,90.095,78.343,169.729,164.261,190.042,268.560,233.401,216.604,216.604,173.636,176.370,170.710,170.901,182.420,7.000,4.000,4.000,5.000,1.000,1.000,2.000,4.000,3.000,4.000,3.000,5.000,10.000,0.000,4.000,16.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,20.000
33022,33KV,85.384,85.088,96.634,108.517,112.384,103.602,101.026,97.507,90.547,101.550,84.324,75.851,200.390,231.640,227.151,270.122,273.247,198.245,161.526,155.470,141.020,164.070,135.940,200.390,7.000,5.000,10.000,6.000,2.000,2.000,3.000,3.000,4.000,5.000,3.000,6.000,94.000,26.000,68.000,66.000,38.000,0.000,0.000,0.000,0.000,0.000,0.000,32.000
33024,33KV,150.841,160.216,166.869,179.262,184.864,178.145,174.005,171.212,157.028,168.087,156.734,145.576,279.400,268.530,264.030,277.680,267.895,275.904,270.480,275.904,266.562,282.870,237.378,250.510,1.000,0.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33026,33KV,103.342,108.314,118.685,134.081,135.441,132.465,131.568,122.060,113.151,126.829,117.332,105.598,211.780,249.548,239.018,242.376,254.712,254.712,246.226,209.459,246.530,231.000,216.680,219.320,0.000,1.000,0.000,1.000,1.000,0.000,1.000,1.000,0.000,1.000,0.000,0.000,8.000,89.000,1.000,0.000,0.000,0.000,0.000,0.000,7.000,0.000,0.000,2.000
33027,33KV,133.937,139.982,158.590,166.864,172.990,164.784,154.431,155.227,157.327,162.868,141.719,132.802,244.540,259.636,260.651,259.789,275.375,260.651,245.260,250.480,258.000,304.300,235.342,251.340,3.000,4.000,3.000,2.000,1.000,1.000,2.000,2.000,2.000,3.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33030,33KV,130.142,136.455,147.302,163.528,164.315,156.574,156.816,150.586,145.775,162.606,149.277,139.075,248.600,269.581,252.750,320.563,294.324,294.324,277.406,243.366,234.963,233.070,291.250,206.800,2.000,4.000,4.000,1.000,1.000,0.000,1.000,1.000,2.000,3.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
