FEEDER_ID,FROM_SWITCH,TO_SWITCH,SOURCE_SS,DESTINATION_SS,SOURCE_LOCATION,DESTINATION_LOCATION,RANK
15451,35494,40416,EMBASSY CHAMBER,H-WEST WARD,1S-MH-MU-ZST-CL02-0978,1S-MH-MU-ZST-CL02-1347,10
15451,35495,DT,EMBASSY CHAMBER,EMBASSY CHAMBER,1S-MH-MU-ZST-CL02-0978,1S-MH-MU-ZST-CL02-0978,10
15452,15452,44097,24TH ROAD REC-STN,BALGANDHARVA RANGMANDIR,1S-MH-MU-ZST-RSTN-24TH,1S-MH-MU-ZST-CL03-1207,0
15452,44100,37567,BALGANDHARVA RANGMANDIR,,1S-MH-MU-ZST-CL03-1207,1S-MH-MU-ZST-CL03-1207,1
15452,37568,31740,BALGANDHARVA RANGMANDIR,HI-CONS HEIGHT,1S-MH-MU-ZST-CL03-1207,1S-MH-MU-ZST-CL03-0822,1
15452,39817,29542,BALGANDHARVA RANGMANDIR,LINK SQUARE NO. 2,1S-MH-MU-ZST-CL03-1207,1S-MH-MU-ZST-CL02-0746,1
15452,37569,HTConsumer,BALGANDHARVA RANGMANDIR,,1S-MH-MU-ZST-CL03-1207,1S-MH-MU-ZST-CL03-1207,1
15452,31738,32926,HI-CONS HEIGHT,IFFCO,1S-MH-MU-ZST-CL03-0822,1S-MH-MU-ZST-CL02-0867,2
15452,31739,DT,HI-CONS HEIGHT,HI-CONS HEIGHT,1S-MH-MU-ZST-CL03-0822,1S-MH-MU-ZST-CL03-0822,2
15452,29544,29539,LINK SQUARE NO. 2,LINK SQUARE NO. 1,1S-MH-MU-ZST-CL02-0746,1S-MH-MU-ZST-CL02-0745,2
15452,29543,DT,LINK SQUARE NO. 2,LINK SQUARE NO. 2,1S-MH-MU-ZST-CL02-0746,1S-MH-MU-ZST-CL02-0746,2
15452,32928,41902,IFFCO,BANDRA REC-STN,1S-MH-MU-ZST-CL02-0867,1S-MH-MU-ZST-RSTN-BAND,3
15452,32927,DT,IFFCO,IFFCO,1S-MH-MU-ZST-CL02-0867,1S-MH-MU-ZST-CL02-0867,3
15452,29541,26907,LINK SQUARE NO. 1,THIRTY THIRD ROAD (33RD),1S-MH-MU-ZST-CL02-0745,1S-MH-MU-ZST-CL02-0698,3
15452,29540,DT,LINK SQUARE NO. 1,LINK SQUARE NO. 1,1S-MH-MU-ZST-CL02-0745,1S-MH-MU-ZST-CL02-0745,3
15452,41902,43307,BANDRA REC-STN,BANDRA EV BUS DEPOT,1S-MH-MU-ZST-RSTN-BAND,1S-MH-MU-ZST-CL01-1398,4
15452,26905,1011,THIRTY THIRD ROAD (33RD),KHAR EXCHANGE,1S-MH-MU-ZST-CL02-0698,1S-MH-MU-ZST-CL02-0298,4
15452,26906,DT,THIRTY THIRD ROAD (33RD),THIRTY THIRD ROAD (33RD),1S-MH-MU-ZST-CL02-0698,1S-MH-MU-ZST-CL02-0698,4
15452,31954,31955,KHAR EXCHANGE,KHAR EXCHANGE,1S-MH-MU-ZST-CL02-0298,1S-MH-MU-ZST-CL02-0298,5
15452,2661,5952,KHAR EXCHANGE,SIXTEENTH ROAD (16TH ROAD),1S-MH-MU-ZST-CL02-0298,1S-MH-MU-ZST-CL02-0005,5
15452,2934,DT,KHAR EXCHANGE,KHAR EXCHANGE,1S-MH-MU-ZST-CL02-0298,1S-MH-MU-ZST-CL02-0298,5
15452,1012,DT,KHAR EXCHANGE,KHAR EXCHANGE,1S-MH-MU-ZST-CL02-0298,1S-MH-MU-ZST-CL02-0298,5
15452,6811,HTConsumer,KHAR EXCHANGE,,1S-MH-MU-ZST-CL02-0298,nan,5
15452,5954,39984,SIXTEENTH ROAD (16TH ROAD),GYM VIEW,1S-MH-MU-ZST-CL02-0005,1S-MH-MU-ZST-CL02-0942,6
15452,5953,DT,SIXTEENTH ROAD (16TH ROAD),SIXTEENTH ROAD (16TH ROAD),1S-MH-MU-ZST-CL02-0005,1S-MH-MU-ZST-CL02-0005,6
15452,18903,DT,SIXTEENTH ROAD (16TH ROAD),SIXTEENTH ROAD (16TH ROAD),1S-MH-MU-ZST-CL02-0005,1S-MH-MU-ZST-CL02-0005,6
15452,39982,37631,GYM VIEW,ORCHID BREEZ,1S-MH-MU-ZST-CL02-0942,1S-MH-MU-ZST-CL02-1052,7
15452,39983,DT,GYM VIEW,GYM VIEW,1S-MH-MU-ZST-CL02-0942,1S-MH-MU-ZST-CL02-0942,7
15452,37629,32992,ORCHID BREEZ,BRISA MARINA,1S-MH-MU-ZST-CL02-1052,1S-MH-MU-ZST-CL02-0872,8
15452,37630,DT,ORCHID BREEZ,ORCHID BREEZ,1S-MH-MU-ZST-CL02-1052,1S-MH-MU-ZST-CL02-1052,8
15452,32990,32887,BRISA MARINA,HI-CONS CLASSIC,1S-MH-MU-ZST-CL02-0872,1S-MH-MU-ZST-CL02-0865,9
15452,32991,DT,BRISA MARINA,BRISA MARINA,1S-MH-MU-ZST-CL02-0872,1S-MH-MU-ZST-CL02-0872,9
15452,32889,44229,HI-CONS CLASSIC,EMINENT,1S-MH-MU-ZST-CL02-0865,1S-MH-MU-ZST-CL02-0996,10
15452,32888,DT,HI-CONS CLASSIC,HI-CONS CLASSIC,1S-MH-MU-ZST-CL02-0865,1S-MH-MU-ZST-CL02-0865,10
15452,44230,2469,EMINENT,CRESCENT,1S-MH-MU-ZST-CL02-0996,1S-MH-MU-ZST-CL02-0114,11
15452,44231,DT,EMINENT,EMINENT,1S-MH-MU-ZST-CL02-0996,1S-MH-MU-ZST-CL02-0996,11
15452,2467,25702,CRESCENT,UNION PARK NO.3,1S-MH-MU-ZST-CL02-0114,1S-MH-MU-ZST-CL02-0657,12
15452,2468,DT,CRESCENT,CRESCENT,1S-MH-MU-ZST-CL02-0114,1S-MH-MU-ZST-CL02-0114,12
15452,25701,DT,UNION PARK NO.3,UNION PARK NO.3,1S-MH-MU-ZST-CL02-0657,1S-MH-MU-ZST-CL02-0657,13
15452,25700,528,UNION PARK NO.3,UNION PARK NO.1,1S-MH-MU-ZST-CL02-0657,1S-MH-MU-ZST-CL02-0541,13
15455,15455,26553,24TH ROAD REC-STN,CRYSTAL SHOPPING MALL,1S-MH-MU-ZST-RSTN-24TH,1S-MH-MU-ZST-CL02-0683,0
15455,26555,29004,CRYSTAL SHOPPING MALL,LINK CORNER MALL,1S-MH-MU-ZST-CL02-0683,1S-MH-MU-ZST-CL02-0728,1
15455,26554,DT,CRYSTAL SHOPPING MALL,CRYSTAL SHOPPING MALL,1S-MH-MU-ZST-CL02-0683,1S-MH-MU-ZST-CL02-0683,1
15455,29003,36632,LINK CORNER MALL,N-SQUARE,1S-MH-MU-ZST-CL02-0728,1S-MH-MU-ZST-CL02-1158,2
