FEEDER_ID,FROM_TO,SOURCE_LOCATION,DESTINATION_LOCATION,RANK,FROM_SWITCH,TO_SWITCH
41756,14798-19228,1S-MH-MU-ZNT-CL07-6350,1S-MH-MU-ZNT-CL08-6848,1.1,14798,19228
41756,35993-12515,1S-MH-MU-ZNT-CL06-7614,1S-MH-MU-ZNT-CL07-6688,1.2,35993,12515
41756,12516-14649,1S-MH-MU-ZNT-CL07-6688,1S-MH-MU-ZNT-CL07-6543,1.2,12516,14649
41757,41757-CAP BANK,1S-MH-MU-ZNT-RSTN-VAZI,1S-MH-MU-ZNT-RSTN-VAZI,1,41757,CAP BANK
41850,41850-25572,1S-MH-MU-ZST-RSTN-BAND,1S-MH-MU-ZST-CL02-0191,1,41850,25572
41850,25570-36163,1S-MH-MU-ZST-CL02-0191,1S-MH-MU-ZST-CL02-0902,1,25570,36163
41850,36165-38406,1S-MH-MU-ZST-CL02-0902,1S-MH-MU-ZST-CL02-1261,1,36165,38406
41850,38408-32597,1S-MH-MU-ZST-CL02-1261,1S-MH-MU-ZST-CL02-0849,1,38408,32597
41850,32598-39105,1S-MH-MU-ZST-CL02-0849,1S-MH-MU-ZST-CL02-0490,1,32598,39105
41850,39103-40831,1S-MH-MU-ZST-CL02-0490,1S-MH-MU-ZST-CL02-1088,1,39103,40831
41850,40830-7676,1S-MH-MU-ZST-CL02-1088,1S-MH-MU-ZST-CL02-0351,1,40830,7676
41850,7674-41929,1S-MH-MU-ZST-CL02-0351,1S-MH-MU-ZST-CL02-1056,1,7674,41929
41850,41930-13318,1S-MH-MU-ZST-CL02-1056,1S-MH-MU-ZST-CL02-0299,1,41930,13318
41850,13320-29865,1S-MH-MU-ZST-CL02-0299,1S-MH-MU-ZST-CL02-0759,1,13320,29865
41850,29866-29864,1S-MH-MU-ZST-CL02-0759,1S-MH-MU-ZST-CL02-0758,1,29866,29864
41850,29862-32027,1S-MH-MU-ZST-CL02-0758,1S-MH-MU-ZST-CL02-0828,1,29862,32027
41850,32025-37108,1S-MH-MU-ZST-CL02-0828,1S-MH-MU-ZST-CL02-1168,1,32025,37108
41850,37109-9848,1S-MH-MU-ZST-CL02-1168,1S-MH-MU-ZST-CL02-0489,1,37109,9848
41850,9850-6368,1S-MH-MU-ZST-CL02-0489,1S-MH-MU-ZST-CL02-0006,1,9850,6368
41851,41851-38031,1S-MH-MU-ZST-RSTN-BAND,1S-MH-MU-ZST-CL02-1239,1,41851,38031
41851,38032-37915,1S-MH-MU-ZST-CL02-1239,1S-MH-MU-ZST-CL02-1201,1,38032,37915
41851,37916-17068,1S-MH-MU-ZST-CL02-1201,1S-MH-MU-ZST-CL02-0227,1,37916,17068
41851,17069-40906,1S-MH-MU-ZST-CL02-0227,1S-MH-MU-ZST-CL02-1344,1,17069,40906
41851,40907-35132,1S-MH-MU-ZST-CL02-1344,1S-MH-MU-ZST-CL02-0923,1,40907,35132
