FEEDER_ID,FROM_TO,SOURCE_LOCATION,DESTINATION_LOCATION,LOCATION,RANK,LATEST_DT_DATE,DT_LOAD,DT_LOAD_CAL
30036,28251-28252,1S-MH-MU-ZCT-CL03-4899,1S-MH-MU-ZCT-CL03-4899,1S-MH-MU-ZCT-CL03-4899,2,2025-04-04,536.8,29.657571722582883
30036,28184-29886,1S-MH-MU-ZCT-CL03-4996,1S-MH-MU-ZCT-CL03-5056,1S-MH-MU-ZCT-CL03-5056,3,2025-04-04,301.30536585365854,16.646768811855356
30036,29884-41306,1S-MH-MU-ZCT-CL03-5056,1S-MH-MU-ZCT-CL03-4561,1S-MH-MU-ZCT-CL03-4561,4,2025-04-04,462.4790361445783,25.55142545575416
30036,29885-5949,1S-MH-MU-ZCT-CL03-5056,1S-MH-MU-ZCT-CL02-4797,1S-MH-MU-ZCT-CL02-4797,4,2025-04-04,7.058168316831683,0.3899555385366948
30036,5397-17228,1S-MH-MU-ZCT-CL02-4797,1S-MH-MU-ZCT-CL03-4711,1S-MH-MU-ZCT-CL03-4711,5,2025-04-04,175.49920792079206,9.696125831161284
30036,5395-15734,1S-MH-MU-ZCT-CL02-4797,1S-MH-MU-ZCT-CL03-4782,1S-MH-MU-ZCT-CL03-4782,5,2025-04-04,183.5652682926829,10.141766226090562
30036,15735-13738,1S-MH-MU-ZCT-CL03-4782,1S-MH-MU-ZCT-CL03-4157,1S-MH-MU-ZCT-CL03-4157,6,2025-04-04,168.57941176470587,9.313815192553275
30036,13739-11627,1S-MH-MU-ZCT-CL03-4157,1S-MH-MU-ZCT-CL03-4781,1S-MH-MU-ZCT-CL03-4781,7,2025-04-04,218.2591133004926,12.058560556663009
30036,9100-5967,1S-MH-MU-ZCT-CL03-4781,1S-MH-MU-ZCT-CL03-4647,1S-MH-MU-ZCT-CL03-4647,8,2025-04-04,410.8167487684729,22.697144544410023
30036,36259-15774,1S-MH-MU-ZCT-CL03-4781,1S-MH-MU-ZCT-CL03-4728,1S-MH-MU-ZCT-CL03-4728,8,2025-04-04,77.70808988764045,4.2932810157742445
30036,15776-16346,1S-MH-MU-ZCT-CL03-4728,1S-MH-MU-ZCT-CL03-4447,1S-MH-MU-ZCT-CL03-4447,9,2025-04-04,32.08352941176471,1.7725774490369026
