DESCRIPTION
220KV AAREY REC-STN 33 KV-SWITCH: 220AAR18 TRIPPED WITH R PHASE EARTH FAULT RELAY.
MALAD REC-STN-XMER:10 MVA-1 TRIPPED WITH INTERTRIP RELAY. RELAY VALUES R 6.07 Y 0.14 B 0.15.
DINDOSHI REC-STN 11 KV-SWITCH: 25790 TRIPPED WITH Y PHASE OVERCURRENT + EARTH FAULT RELAY. TEST CHARGE NOT TAKEN. RELAY VALUES R 0.02 Y 3.15 B 0.02.
GOREGAON REC-STN 11 KV-SWITCH: 1512 TRIPPED WITH OVERCURRENT + EARTH FAULT RELAY. TEST CHARGE NOT TAKEN. RELAY VALUES R 16.44 Y 19.73 B 20.57 N 8.15.
GOREGAON REC-STN 11 KV-SWITCH: 1523 TRIPPED WITH R PHASE OVERCURRENT + EARTH FAULT RELAY. TEST CHARGE NOT TAKEN. RELAY VALUES R 29.74 Y 0.00 B 0.01 N 29.72.
AAREY REC-STN 11 KV-SWITCH: 26033 TRIPPED WITH OVERCURRENT + EARTH FAULT RELAY. TEST CHARGE NOT TAKEN. RELAY VALUES R 0.12 Y 3.02 B 0.12.
GOKULDHAM REC-STN 11 KV-SWITCH: 36700 TRIPPED WITH RYB PHASE OVERCURRENT + EARTH FAULT RELAY. TEST CHARGE NOT TAKEN. RELAY VALUES R 7.61 Y 7.73 B 7.60 N 1.73.
CHINCHAVLI REC-STN 11 KV-SWITCH: 18619 TRIPPED WITH YB PHASE OVERCURRENT + EARTH FAULT RELAY. TEST CHARGE NOT TAKEN. RELAY VALUES R 0.11 Y 3.88 B 4.89.
K.I.E. REC-STN 11 KV-SWITCH: 35872 TRIPPED WITH Y PHASE OVERCURRENT + EARTH FAULT RELAY. TEST CHARGE NOT TAKEN. RELAY VALUES R 0.17 Y 13.50 B 0.18 N 13.20.
MIND SPACE REC-STN 11 KV-SWITCH: 26985 TRIPPED WITH Y PHASE OVERCURRENT + EARTH FAULT RELAY. TEST CHARGE NOT TAKEN. RELAY VALUES R 0.18 Y 2.97 B 0.19.
RAHEJA I.T. PARK REC-STN 11 KV-SWITCH: 31061 TRIPPED WITH OVERCURRENT + EARTH FAULT RELAY. TEST CHARGE NOT TAKEN.(RELAY VALUES NOT UPDATED ON SCADA)
GOKULDHAM REC-STN 11 KV-SWITCH: 36702 TRIPPED WITH RB PHASE OVERCURRENT + EARTH FAULT RELAY. TEST CHARGE NOT TAKEN. RELAY VALUES R 10.74 Y 0.26 B 7.43 N 8.88.
MIND SPACE REC-STN 11 KV-SWITCH: 26975 TRIPPED WITH R PHASE OVERCURRENT + EARTH FAULT RELAY. TEST CHARGE NOT TAKEN. RELAY VALUES R 2.22 Y 0.07 B 0.06.
MIND SPACE REC-STN 11 KV-SWITCH: 26976 TRIPPED WITH R PHASE OVERCURRENT + EARTH FAULT RELAY. TEST CHARGE NOT TAKEN. RELAY VALUES R 8.55 Y 0.24 B 0.25 N 8.33.
K.I.E. REC-STN 11 KV-SWITCH: 35869 TRIPPED WITH RYB PHASE OVERCURRENT + EARTH FAULT RELAY. TEST CHARGE NOT TAKEN. RELAY VALUES R 17 Y 13.70 B 13.50 N 4.50.
GOKULDHAM REC-STN 11 KV-SWITCH: 36702 TRIPPED WITH RYB PHASE OVERCURRENT + EARTH FAULT RELAY. TEST CHARGE NOT TAKEN. RELAY VALUES R 9.46 Y 10.69 B 9.94 N 8.28.
K.I.E. REC-STN 11 KV-SWITCH: 30901 TRIPPED WITH R PHASE OVERCURRENT + EARTH FAULT RELAY. TEST CHARGE NOT TAKEN. RELAY VALUES R 14 Y 0.30 B 0.27 N 13.85.
