SOURCE_SWITCH_ID,DESTINATION_SWITCH_ID,MEASUREDLENGTH,PATH,CABLETYPE,NUMBEROFCORES,ARMOURED,NEUTRALMATERIAL,CABLEID,CABLECONDUCTORMATERIAL,DIVISIONCODE,ZONECODE,REMARKS,SOURCE_SS,DESTINATION_SS,DATECREATED,NO_OF_SEGMENT,SWNO,VOLTAGE,I_Month_01,I_Month_02,I_Month_03,I_Month_04,I_Month_05,I_Month_06,I_Month_07,I_Month_08,I_Month_09,I_Month_10,I_Month_11,I_Month_12,PEAK_Month_01,PEAK_Month_02,PEAK_Month_03,PEAK_Month_04,PEAK_Month_05,PEAK_Month_06,PEAK_Month_07,PEAK_Month_08,PEAK_Month_09,PEAK_Month_10,PEAK_Month_11,PEAK_Month_12,CYCLE_Month_01,CYCLE_Month_02,CYCLE_Month_03,CYCLE_Month_04,CYCLE_Month_05,CYCLE_Month_06,CYCLE_Month_07,CYCLE_Month_08,CYCLE_Month_09,CYCLE_Month_10,CYCLE_Month_11,CYCLE_Month_12,OVR_Month_01,OVR_Month_02,OVR_Month_03,OVR_Month_04,OVR_Month_05,OVR_Month_06,OVR_Month_07,OVR_Month_08,OVR_Month_09,OVR_Month_10,OVR_Month_11,OVR_Month_12,Num_Faults,SWITCH_NO,FAULT_STATION_NAME,FAULT_STD_CABLE_SIZE,FAULT_CABLE_TYPE,FAULT_TIME_OUTAGE,FAULT_SOURCE_SS,FAULT_FROM_SWITCH,FAULT_DESTINATION_SS,FAULT_TO_SWITCH,FAULT_VOLTAGE,FAULT_TIME_DIFFERENCE_HOURS,FAULT_RELAY_FUSE_B,FAULT_RELAY_FUSE_N,FAULT_RELAY_FUSE_Y,FAULT_DIVISION,FAULT_RELAY_FUSE,FAULT_AFFECTED_STATION,FAULT_AFFECTED_SWITCH,REASON_CATEGORY,REASON_TEXT,IR_Measurement_MOhm,Tan_Delta,Partial_Discharge_Frequency,Partial_Discharge_Intensity
33344,33345,0.000,SWNO_33344,XLPE,3.0,Y,AL,,AL,2000.0,2023,,MIAL T-2 DSS REC-STN,MIAL T-2 DSS REC-STN,2022-05-05 00:00:00+00:00,1,33345,33KV,36.697,32.209,41.660,54.267,49.533,49.895,38.670,38.670,,,33.744,43.993,251.220,250.940,324.970,247.630,221.938,236.163,38.670,38.670,,,242.520,283.810,8.000,3.000,6.000,0.000,3.000,5.000,0.000,0.000,,,0.000,4.000,436.000,54.000,14.000,3.000,2.000,18.000,0.000,0.000,,,22.000,494.000,0,,,,,,,,,,,,,,,,,,,,,,,,
33346,33347,0.000,SWNO_33346,XLPE,3.0,Y,AL,,AL,2000.0,2023,,MIAL T-2 DSS REC-STN,MIAL T-2 DSS REC-STN,2022-05-05 00:00:00+00:00,1,33347,33KV,88.279,89.742,97.357,99.796,120.220,120.515,135.483,135.483,,,102.047,89.574,273.040,280.910,310.460,284.910,277.733,164.761,135.483,135.483,,,265.170,319.720,1.000,5.000,3.000,2.000,2.000,1.000,0.000,0.000,,,0.000,2.000,60.000,18.000,24.000,8.000,4.000,0.000,0.000,0.000,,,4.000,50.000,0,,,,,,,,,,,,,,,,,,,,,,,,
33348,33349,100.000,SWNO_33348,XLPE,3.0,Y,AL,,AL,2000.0,2023,,MIAL T-2 DSS REC-STN,MIAL T-2 DSS REC-STN,2022-05-05 00:00:00+00:00,1,33349,33KV,82.162,83.174,85.537,88.560,87.292,87.590,91.979,91.979,,,87.169,90.829,159.510,107.030,113.800,155.232,114.629,246.797,91.979,91.979,,,105.650,179.260,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,,,0.000,0.000,0,,,,,,,,,,,,,,,,,,,,,,,,
33352,33298,18.000,,XLPE,1.0,Y,AL,,AL,6000.0,6062,,NAHAR SHAKTI REC-STN,NAHAR SHAKTI REC-STN,2024-11-11 00:00:00+00:00,1,33298,33KV,153.621,154.484,155.886,166.249,167.425,161.346,144.404,144.404,156.880,158.698,164.093,151.350,184.733,200.658,195.990,249.657,230.247,193.153,144.404,144.404,180.870,231.970,317.740,186.960,0.000,1.000,0.000,3.000,0.000,0.000,0.000,0.000,1.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,,,,,,,,,,,,,,,,,,,,,,,,
33361,33371,31.628,SWNO_33361 → SWNO_33371,XLPE,3.0,Y,AL,,AL,6000.0,6062,,NETMAGIC DC-9 NO 1 RECEIVING STATIO,NETMAGIC DC-9 NO 2 BUS 1 DSS,2024-03-19 00:00:00+00:00,1,33371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
33368,33375,80.000,SWNO_33368 → SWNO_33375,XLPE,3.0,Y,AL,,AL,6000.0,6062,,NETMAGIC DC-9 NO 1 BUS 2 DSS,1S-MH-MU-ZET-RSTN-NET2,2024-03-19 00:00:00+00:00,1,33375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
PT,1143,100.000,DAHISAR REC-STN 01143 TO P.T.(10 MVA NO.1),XLPE,3.0,Y,AL,HT22KV6908561L2C,AL,4000.0,4043,,DAHISAR REC-STN,DAHISAR REC-STN,2009-12-04 00:00:00+00:00,1,1143,22KV,85.342,93.649,101.776,125.740,141.218,131.585,130.789,130.789,122.232,133.602,110.949,98.444,151.590,172.389,153.669,197.845,200.341,205.682,130.789,130.789,167.790,202.290,160.260,155.740,1.000,1.000,1.000,4.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,,,,,,,,,,,,,,,,,,,,,,,,
PT,33043,100.000,MIRA REC-STN 33043 TO P.T.(20 MVA NO.1),XLPE,3.0,Y,AL,HT33KV0000025670,AL,5000.0,5052,,MIRA REC-STN,MIRA REC-STN,2009-12-07 00:00:00+00:00,1,33043,33KV,96.681,95.935,108.187,128.875,147.754,144.918,140.350,140.350,125.323,135.289,113.610,90.552,421.150,206.000,230.000,215.668,233.927,232.228,140.350,140.350,250.590,204.210,158.960,150.610,2.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,1.000,0.000,0.000,70.000,32.000,20.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,,,,,,,,,,,,,,,,,,,,,,,,
PT,33047,100.000,220kv BORIVALI REC-STN 33047 TO P.T.(10 MVA NO.1),PILC,3.0,Y,AL,,AL,4000.0,4043,,BORIVALI REC-STN,BORIVALI REC-STN,2009-12-07 00:00:00+00:00,1,33047,22KV,73.757,89.466,73.326,81.136,85.536,87.083,70.494,70.494,69.727,78.107,70.199,63.546,147.800,195.670,155.660,296.630,162.310,153.285,70.494,70.494,157.970,145.960,176.870,151.730,5.000,5.000,9.000,5.000,4.000,3.000,0.000,0.000,1.000,4.000,4.000,3.000,1.000,81.000,11.000,1.000,0.000,0.000,0.000,0.000,11.000,0.000,43.000,7.000,0,,,,,,,,,,,,,,,,,,,,,,,,
PT,33059,100.000,DAHISAR REC-STN 33059 TO P.T.(20 MVA NO.1),XLPE,3.0,Y,AL,HT33KV0000025679,AL,4000.0,4043,,DAHISAR REC-STN,DAHISAR REC-STN,2009-12-04 00:00:00+00:00,1,33059,33KV,97.525,100.162,89.424,119.949,139.793,166.428,159.562,159.562,77.705,119.027,100.330,91.733,192.310,228.630,158.670,194.899,228.227,242.913,159.562,159.562,174.180,203.100,155.920,179.600,2.000,0.000,3.000,3.000,0.000,1.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,30.000,0.000,0.000,0.000,0.000,0.000,0.000,26.000,0.000,0.000,0.000,0,,,,,,,,,,,,,,,,,,,,,,,,
