SWNO,Month_01,Month_02,Month_03,Month_04,Month_05,Month_06,Month_07,Month_08,Month_09,Month_10,Month_11,Month_12
1309,62.787,65.546,68.658,78.750,94.207,85.289,100.592,100.592,90.647,100.372,85.190,76.245
13093,39.175,42.902,42.908,42.433,44.794,42.515,21.000,21.000,51.154,50.682,41.906,35.645
1310,230.418,277.629,257.277,270.241,300.067,270.517,355.139,355.139,264.002,298.849,259.197,234.422
1311,41.426,47.508,68.450,41.161,40.775,39.034,44.146,44.146,49.298,55.306,41.757,57.183
1312,80.675,84.073,97.118,118.511,135.417,170.709,144.894,144.894,108.129,113.391,26.256,80.219
13137,36.813,47.221,57.023,61.500,64.504,64.896,32.000,32.000,61.732,64.310,51.747,47.663
1315,43.780,44.981,51.697,57.596,61.930,62.913,69.301,69.301,57.663,62.770,53.889,45.850
1316,72.685,75.861,79.794,85.198,99.268,92.004,97.397,97.397,74.479,83.255,90.074,95.150
1317,5.371,5.457,5.538,6.062,6.583,6.507,7.096,7.096,,,,
1318,128.162,135.226,167.896,198.235,223.457,219.474,240.051,240.051,177.627,192.950,165.887,144.377
1319,37.592,37.431,41.583,50.848,56.517,57.483,67.048,67.048,42.229,43.044,38.717,35.344
1321,5.711,0.000,3.948,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.154
1323,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.905,0.000,0.000,0.000
1324,57.048,52.171,58.196,78.165,87.850,87.428,89.568,89.568,67.985,82.618,65.885,58.548
1325,148.520,153.035,148.712,152.626,174.563,176.649,145.662,145.662,135.450,158.880,126.113,131.498
1326,52.257,55.410,71.665,75.920,98.989,92.802,56.477,56.477,74.834,79.528,63.682,63.488
1327,201.478,188.471,247.055,294.754,304.420,304.644,348.828,348.828,239.820,264.442,220.400,210.201
1328,0.000,0.133,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.378,0.075
1329,0.962,1.057,1.013,1.847,1.967,1.965,1.950,1.950,1.950,0.161,0.000,0.000
1331,58.511,63.560,72.779,84.861,82.096,81.354,84.697,84.697,73.632,79.377,68.064,65.141
1332,68.350,74.420,82.971,95.732,101.763,109.163,142.835,142.835,76.121,86.308,69.495,60.649
1334,77.611,64.601,55.878,108.432,118.319,110.820,119.992,119.992,96.683,101.550,98.663,89.005
1335,0.000,24.055,0.000,0.000,0.000,0.000,0.000,0.000,12.032,0.000,16.720,0.000
1336,1.555,1.589,1.596,1.589,1.586,1.584,1.585,1.585,1.602,1.602,1.596,1.595
1337,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1338,2.711,4.374,4.060,3.331,3.759,5.645,7.008,7.008,,,,
13439,28.163,24.801,24.374,29.044,32.538,31.376,11.000,11.000,23.906,26.167,20.668,19.862
13440,2.000,2.001,2.000,2.000,2.064,2.265,2.000,2.000,2.000,2.001,2.008,2.281
14324,17.243,17.236,19.244,20.807,19.630,34.890,60.280,60.280,18.196,18.358,14.350,12.276
14325,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
