FEEDER_ID,FROM_TO,SOURCE_LOCATION,DESTINATION_LOCATION,RANK,FROM_SWITCH,TO_SWITCH,LATEST_DT_DATE,DT_LOAD,LOCATION
32861,32861-CAP BANK,1S-MH-MU-ZET-RSTN-ANIK,1S-MH-MU-ZET-RSTN-ANIK,1,32861,CAP BANK,2025-02-07,461.3060606060606,1S-MH-MU-ZET-RSTN-ANIK
32868,2678-HTCONSUMER,1S-MH-MU-ZET-CL10-8643,NAN,2,2678,HTCONSUMER,2018-04-09,309.7547780678851,NAN
32870,32870-STN XMER,1S-MH-MU-ZET-RSTN-ANIK,1S-MH-MU-ZET-RSTN-ANIK,1,32870,STN XMER,2025-02-07,461.3060606060606,1S-MH-MU-ZET-RSTN-ANIK
32871,32871-CAP BANK,1S-MH-MU-ZET-RSTN-ANIK,1S-MH-MU-ZET-RSTN-ANIK,1,32871,CAP BANK,2025-02-07,461.3060606060606,1S-MH-MU-ZET-RSTN-ANIK
14327,38681-GOD01334,1S-MH-MU-ZSC-CL10-2012,NAN,1.3,38681,GOD01334,2018-04-09,309.7547780678851,NAN
14330,14330-STN XMER,1S-MH-MU-ZSC-RSTN-AARE,1S-MH-MU-ZSC-RSTN-AARE,1,14330,STN XMER,2025-04-04,238.4943488943489,1S-MH-MU-ZSC-RSTN-AARE
14331,220AAR31-220AAR31,1T-MH-MU-ARY,1T-MH-MU-ARY,1,220AAR31,220AAR31,,,1T-MH-MU-ARY
16031,19403-HTCONSUMER,1S-MH-MU-ZET-CL14-8978,NAN,4.2,19403,HTCONSUMER,2018-04-09,309.7547780678851,NAN
16032,30830-HTCONSUMER,1S-MH-MU-ZSC-CL01-3154,NAN,1.1.1,30830,HTCONSUMER,2018-04-09,309.7547780678851,NAN
16034,16034-CAP BANK,1T-MH-MU-ARY,1T-MH-MU-ARY,1,16034,CAP BANK,,,1T-MH-MU-ARY
26658,15582-HTCONSUMER,1S-MH-MU-ZSC-CL01-2785,NAN,3.4,15582,HTCONSUMER,2018-04-09,309.7547780678851,NAN
26658,25166-HTCONSUMER,1S-MH-MU-ZSC-CL01-2266,NAN,3.2.1,25166,HTCONSUMER,2018-04-09,309.7547780678851,NAN
26659,26659-CAP BANK,1T-MH-MU-ARY,1T-MH-MU-ARY,1,26659,CAP BANK,,,1T-MH-MU-ARY
41851,15165-HTCONSUMER,1S-MH-MU-ZST-CL01-0390,NAN,11.1,15165,HTCONSUMER,2018-04-09,309.7547780678851,NAN
41854,41854-STN XMER,1S-MH-MU-ZST-RSTN-BAND,1S-MH-MU-ZST-RSTN-BAND,1,41854,STN XMER,2025-02-07,403.06093366093364,1S-MH-MU-ZST-RSTN-BAND
41856,34448-HTCONSUMER,1S-MH-MU-ZST-CL02-0880,NAN,3.1,34448,HTCONSUMER,2018-04-09,309.7547780678851,NAN
41900,39510-HTCONSUMER,1S-MH-MU-ZST-CL02-1320,NAN,7.1,39510,HTCONSUMER,2018-04-09,309.7547780678851,NAN
41903,41903-CAP BANK,1S-MH-MU-ZST-RSTN-BAND,1S-MH-MU-ZST-RSTN-BAND,1,41903,CAP BANK,2025-02-07,403.06093366093364,1S-MH-MU-ZST-RSTN-BAND
41905,25216-HTCONSUMER,1S-MH-MU-ZST-CL02-0645,NAN,6.1,25216,HTCONSUMER,2018-04-09,309.7547780678851,NAN
41907,41907-STN XMER,1S-MH-MU-ZST-RSTN-BAND,1S-MH-MU-ZST-RSTN-BAND,1,41907,STN XMER,2025-02-07,403.06093366093364,1S-MH-MU-ZST-RSTN-BAND
41912,41912-CAP BANK,1S-MH-MU-ZST-RSTN-BAND,1S-MH-MU-ZST-RSTN-BAND,1,41912,CAP BANK,2025-02-07,403.06093366093364,1S-MH-MU-ZST-RSTN-BAND
43876,19413-HTCONSUMER,1S-MH-MU-ZST-CL01-0576,NAN,4.1,19413,HTCONSUMER,2018-04-09,309.7547780678851,NAN
43879,34493-HTCONSUMER,1S-MH-MU-ZST-CL01-0936,NAN,10,34493,HTCONSUMER,2018-04-09,309.7547780678851,NAN
43881,43881-STN XMER,1S-MH-MU-ZST-RSTN-BOMB,1S-MH-MU-ZST-RSTN-BOMB,1,43881,STN XMER,2024-11-04,427.8507614213198,1S-MH-MU-ZST-RSTN-BOMB
43888,6974-HTCONSUMER,1S-MH-MU-ZST-CL01-0498,NAN,5,6974,HTCONSUMER,2018-04-09,309.7547780678851,NAN
43889,11582-HTCONSUMER,1S-MH-MU-ZST-CL01-0333,NAN,1.1,11582,HTCONSUMER,2018-04-09,309.7547780678851,NAN
43891,19347-HTCONSUMER,1S-MH-MU-ZST-CL01-0340,NAN,4.1,19347,HTCONSUMER,2018-04-09,309.7547780678851,NAN
40013,19571-HTCONSUMER,1S-MH-MU-ZSC-CL07-2073,NAN,5.1,19571,HTCONSUMER,2018-04-09,309.7547780678851,NAN
40020,40020-CAP BANK,1S-MH-MU-ZSC-RSTN-BHAV,1S-MH-MU-ZSC-RSTN-BHAV,1,40020,CAP BANK,,,1S-MH-MU-ZSC-RSTN-BHAV
40023,14961-HTCONSUMER,1S-MH-MU-ZSC-CL09-2075,NAN,6.2.1,14961,HTCONSUMER,2018-04-09,309.7547780678851,NAN
40029,40029-CAP BANK,1S-MH-MU-ZSC-RSTN-BHAV,1S-MH-MU-ZSC-RSTN-BHAV,1,40029,CAP BANK,,,1S-MH-MU-ZSC-RSTN-BHAV
34522,29467-HTCONSUMER,1S-MH-MU-ZNT-CL03-7016,NAN,2.1,29467,HTCONSUMER,2018-04-09,309.7547780678851,NAN
34524,34524-CAP BANK,1S-MH-MU-ZNT-RSTN-BHWE,1S-MH-MU-ZNT-RSTN-BHWE,1,34524,CAP BANK,2010-11-11,93.1478787878788,1S-MH-MU-ZNT-RSTN-BHWE
40145,40145-CAP BANK,1S-MH-MU-ZNT-RSTN-BHWE,1S-MH-MU-ZNT-RSTN-BHWE,1,40145,CAP BANK,2010-11-11,93.1478787878788,1S-MH-MU-ZNT-RSTN-BHWE
40149,19440-DT,1S-MH-MU-ZNT-CL03-6501,1S-MH-MU-ZNT-CL03-6865,8.1,19440,DT,2025-04-04,123.88627450980391,1S-MH-MU-ZNT-CL03-6865
40151,14579-DT,1S-MH-MU-ZNT-CL03-6359,DT,10.3,14579,DT,,,DT
40151,14579-DT,1S-MH-MU-ZNT-CL03-6359,DT,3.7.3,14579,DT,,,DT
25323,19192-DT,1S-MH-MU-ZNT-CL03-6219,DT,2.3,19192,DT,,,DT
25323,5418-DT,1S-MH-MU-ZNT-CL03-6219,DT,2.4,5418,DT,,,DT
25325,30149-DT,1S-MH-MU-ZNT-CL03-7070,DT,4.2.1.1,30149,DT,,,DT
25325,HTCONSUMER-30150,NAN,1S-MH-MU-ZNT-CL03-7070,3.2,HTCONSUMER,30150,,,1S-MH-MU-ZNT-CL03-7070
25325,30149-DT,1S-MH-MU-ZNT-CL03-7070,DT,3.2.1,30149,DT,,,DT
25326,25326-STN XMER,1S-MH-MU-ZNT-RSTN-BHWE,1S-MH-MU-ZNT-RSTN-BHWE,1,25326,STN XMER,2010-11-11,93.1478787878788,1S-MH-MU-ZNT-RSTN-BHWE
25327,25327-CAP BANK,1S-MH-MU-ZNT-RSTN-BHWE,1S-MH-MU-ZNT-RSTN-BHWE,1,25327,CAP BANK,2010-11-11,93.1478787878788,1S-MH-MU-ZNT-RSTN-BHWE
12222,12222-CAP BANK,1S-MH-MU-ZNT-RSTN-BHAY,1S-MH-MU-ZNT-RSTN-BHAY,1,12222,CAP BANK,,,1S-MH-MU-ZNT-RSTN-BHAY
12228,15481-HTCONSUMER,1S-MH-MU-ZNT-CL03-6056,NAN,2.1,15481,HTCONSUMER,2018-04-09,309.7547780678851,NAN
12231,12231-CAP BANK,1S-MH-MU-ZNT-RSTN-BHAY,1S-MH-MU-ZNT-RSTN-BHAY,1,12231,CAP BANK,,,1S-MH-MU-ZNT-RSTN-BHAY
15786,15786-CAP BANK,1S-MH-MU-ZNT-RSTN-BHAY,1S-MH-MU-ZNT-RSTN-BHAY,1,15786,CAP BANK,,,1S-MH-MU-ZNT-RSTN-BHAY
31892,31892-STN XMER,1S-MH-MU-ZST-RSTN-BATE,1S-MH-MU-ZST-RSTN-BATE,1,31892,STN XMER,2025-04-04,60.978770949720676,1S-MH-MU-ZST-RSTN-BATE
31893,31893-CAP BANK,1S-MH-MU-ZST-RSTN-BATE,1S-MH-MU-ZST-RSTN-BATE,1,31893,CAP BANK,2025-04-04,60.978770949720676,1S-MH-MU-ZST-RSTN-BATE
