SWNO,VOLTAGE,VAR_Month_01,VAR_Month_02,VAR_Month_03,VAR_Month_04,VAR_Month_05,VAR_Month_06,VAR_Month_07,VAR_Month_08,VAR_Month_09,VAR_Month_10,VAR_Month_11,VAR_Month_12,CYCLE_Month_01,CYCLE_Month_02,CYCLE_Month_03,CYCLE_Month_04,CYCLE_Month_05,CYCLE_Month_06,CYCLE_Month_07,CYCLE_Month_08,CYCLE_Month_09,CYCLE_Month_10,CYCLE_Month_11,CYCLE_Month_12
33018,33KV,75.659,37.879,31.945,40.372,53.710,43.012,0.000,0.000,42.221,76.493,80.262,92.693,24.000,4.000,3.000,1.000,1.000,0.000,0.000,0.000,1.000,9.000,0.000,0.000
33019,33KV,95.471,91.382,83.630,90.588,123.387,102.886,0.000,0.000,93.344,88.902,73.495,86.646,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33020,33KV,106.845,120.813,120.261,146.909,150.433,125.102,0.000,0.000,113.652,122.913,108.922,107.652,1.000,1.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,4.000,1.000
33021,33KV,42.871,47.124,42.957,55.626,61.238,49.180,0.000,0.000,45.346,54.532,44.572,48.023,2.000,0.000,3.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000
33022,33KV,36.476,36.698,37.539,38.741,36.081,30.534,0.000,0.000,23.275,32.787,23.950,26.223,3.000,5.000,3.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000
33024,33KV,119.417,118.668,101.210,98.875,98.338,93.468,0.000,0.000,108.552,105.261,95.351,113.870,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33026,33KV,92.643,96.139,100.355,115.781,118.090,105.672,0.000,0.000,107.535,116.118,102.814,97.260,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33027,33KV,106.017,102.739,111.366,104.167,110.713,101.922,0.000,0.000,128.435,117.130,91.576,113.833,4.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33030,33KV,67.874,76.157,58.517,82.857,63.989,61.897,0.000,0.000,61.626,70.257,61.409,68.918,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,2.000
33031,33KV,83.935,101.680,79.310,99.580,97.320,83.745,0.000,0.000,85.013,92.145,77.267,83.647,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33032,33KV,69.133,74.514,69.690,81.689,92.659,69.057,0.000,0.000,66.771,63.200,53.996,62.308,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33035,33KV,47.066,52.060,53.262,56.636,47.067,41.642,0.000,0.000,91.737,57.643,42.797,43.413,1.000,0.000,1.000,1.000,0.000,1.000,0.000,0.000,3.000,5.000,1.000,3.000
33036,33KV,71.784,72.632,68.749,80.713,81.821,83.744,0.000,0.000,89.961,77.967,61.658,70.763,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
33037,33KV,64.229,67.957,64.752,83.765,77.385,67.645,0.000,0.000,73.606,68.031,56.629,69.408,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33038,33KV,49.046,51.090,48.003,55.631,61.270,46.134,0.000,0.000,52.069,58.265,47.358,35.248,4.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,2.000
33039,33KV,49.240,50.946,48.468,56.162,61.709,46.284,0.000,0.000,51.815,55.951,49.158,46.842,4.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33040,33KV,88.292,91.255,98.901,106.901,113.656,103.504,0.000,0.000,92.829,99.508,86.390,84.042,1.000,1.000,2.000,3.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
33041,33KV,67.999,72.700,72.059,87.210,88.188,79.614,0.000,0.000,72.008,76.008,64.170,63.900,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33043,33KV,61.504,57.666,61.773,74.812,77.863,67.335,0.000,0.000,72.838,64.201,54.778,59.052,2.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000
33044,33KV,124.087,135.782,117.666,114.353,105.139,93.444,0.000,0.000,117.866,123.261,96.128,114.335,4.000,2.000,4.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
33045,33KV,166.846,174.190,170.107,151.969,120.760,115.302,0.000,0.000,187.088,170.201,120.586,153.014,9.000,8.000,8.000,4.000,3.000,5.000,0.000,0.000,2.000,4.000,3.000,5.000
33047,22KV,67.509,74.493,66.128,77.130,73.171,63.639,0.000,0.000,76.603,70.848,61.887,67.177,4.000,15.000,10.000,4.000,2.000,6.000,0.000,0.000,2.000,5.000,6.000,3.000
33049,33KV,118.789,120.677,131.790,141.142,142.609,107.715,0.000,0.000,128.990,136.891,121.124,122.683,1.000,1.000,3.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,3.000,0.000
33050,33KV,74.987,78.915,75.040,77.752,127.164,69.661,0.000,0.000,80.736,86.442,73.521,83.555,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33051,33KV,57.487,83.083,54.000,53.159,60.767,56.914,0.000,0.000,49.603,49.253,43.776,50.560,1.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33052,33KV,70.484,68.747,67.832,75.626,95.385,60.089,0.000,0.000,74.211,73.888,66.373,69.365,0.000,1.000,2.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33053,22KV,32.389,34.891,32.806,40.815,64.104,40.615,0.000,0.000,30.507,34.262,29.647,32.589,0.000,3.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000
