SWNO,VOLTAGE,Month_01,Month_02,Month_03,Month_04,Month_05,Month_06,Month_07,Month_08,Month_09,Month_10,Month_11,Month_12
33055,33KV,117.337,128.785,155.953,170.115,178.666,168.772,168.352,168.352,150.360,160.499,132.752,107.453
33056,33KV,49.476,52.699,77.804,149.843,160.112,163.967,157.728,157.728,125.038,136.346,122.841,100.774
33059,33KV,97.995,100.540,90.102,116.445,139.614,166.258,159.562,159.562,75.588,119.096,100.387,91.633
33060,33KV,91.985,93.654,108.359,127.294,143.649,131.969,125.118,125.118,39.820,123.184,108.634,98.841
33061,22KV,33.023,33.999,37.646,23.698,22.148,45.142,31.223,31.223,37.057,39.969,34.499,30.441
33062,22KV,43.774,47.983,49.747,89.903,102.563,8.678,0.920,0.920,1.215,1.206,1.206,0.900
33063,22KV,63.161,72.932,75.137,83.337,92.094,85.388,54.871,54.871,67.522,63.450,44.650,60.495
33064,22KV,54.852,61.452,68.882,99.126,66.634,84.583,53.216,53.216,76.454,67.651,62.416,52.215
33065,33KV,69.964,69.188,78.441,91.254,95.358,101.907,76.000,76.000,83.141,82.433,73.707,66.217
33066,33KV,80.331,80.436,98.138,102.008,108.365,106.191,92.000,92.000,100.495,108.626,89.821,89.796
33067,33KV,94.090,94.345,111.767,115.511,123.570,108.137,106.000,106.000,103.208,113.295,99.741,93.955
33069,22KV,119.905,113.218,124.064,140.379,153.942,144.869,151.641,151.641,127.128,125.520,113.924,99.575
33070,33KV,137.740,148.199,169.047,192.983,161.220,146.471,161.033,161.033,171.385,184.643,155.184,138.064
33073,22KV,83.292,108.333,129.964,139.505,141.607,144.501,151.000,151.000,106.895,132.694,97.206,75.244
33074,33KV,25.898,28.662,35.268,34.605,42.371,42.385,47.808,47.808,,,32.364,33.304
33075,33KV,60.426,61.718,74.322,81.114,92.259,95.758,99.292,99.292,67.412,77.973,71.354,59.839
33080,33KV,124.320,138.353,131.403,166.899,178.028,162.662,183.533,183.533,147.689,160.029,138.181,122.840
33081,33KV,61.022,65.104,71.174,76.376,89.869,98.934,108.400,108.400,80.052,85.171,71.408,61.835
33082,33KV,117.198,126.866,147.134,183.003,174.612,167.274,171.592,171.592,152.713,155.690,133.603,115.322
33084,33KV,118.274,127.659,141.571,166.349,175.875,160.862,160.425,160.425,131.955,143.479,130.585,108.271
33085,22KV,83.136,91.316,106.172,116.692,114.672,110.262,103.306,103.306,88.913,97.743,83.963,68.851
33086,33KV,77.018,87.517,91.881,107.290,111.156,105.623,58.000,58.000,107.418,112.554,92.453,85.699
