SWITCH_ID,YEAR,MONTH,YM,PRED_FAULTS
1103,2024,1,2024-01,0.05781928822398186
1103,2024,2,2024-02,0.04780402034521103
1103,2024,3,2024-03,0.0985441580414772
1103,2024,4,2024-04,0.1279364824295044
1103,2024,5,2024-05,0.12999169528484344
1103,2024,6,2024-06,0.06935489177703857
1103,2024,7,2024-07,0.037224672734737396
1103,2024,8,2024-08,0.054461948573589325
1103,2024,9,2024-09,0.03395446017384529
1103,2024,10,2024-10,0.05803317204117775
1103,2024,11,2024-11,0.04592927545309067
1103,2024,12,2024-12,0.05249153822660446
1129,2024,1,2024-01,0.07413852214813232
1129,2024,2,2024-02,0.06334073841571808
1129,2024,3,2024-03,0.0762205496430397
1129,2024,4,2024-04,0.09347430616617203
1129,2024,5,2024-05,0.07968343049287796
1129,2024,6,2024-06,0.0763636976480484
1129,2024,7,2024-07,0.03349157050251961
1129,2024,8,2024-08,0.05876551568508148
1129,2024,9,2024-09,0.05091269686818123
1129,2024,10,2024-10,0.0825921818614006
1129,2024,11,2024-11,0.06515303999185562
1129,2024,12,2024-12,0.07136724889278412
1133,2024,1,2024-01,0.05061814934015274
1133,2024,2,2024-02,0.08592944592237473
1133,2024,3,2024-03,0.16727888584136963
1133,2024,4,2024-04,0.17486798763275146
1133,2024,5,2024-05,0.11515866965055466
1133,2024,6,2024-06,0.08226639032363892
1133,2024,7,2024-07,0.04556211456656456
1133,2024,8,2024-08,0.03697345778346062
1133,2024,9,2024-09,0.027151571586728096
1133,2024,10,2024-10,0.06739845126867294
1133,2024,11,2024-11,0.055829744786024094
1133,2024,12,2024-12,0.07738445699214935
1135,2024,1,2024-01,0.06098296493291855
1135,2024,2,2024-02,0.06787652522325516
1135,2024,3,2024-03,0.1156996563076973
1135,2024,4,2024-04,0.13952778279781342
1135,2024,5,2024-05,0.11139114201068878
1135,2024,6,2024-06,0.08848993480205536
1135,2024,7,2024-07,0.05230776220560074
1135,2024,8,2024-08,0.045902226120233536
1135,2024,9,2024-09,0.04004507511854172
1135,2024,10,2024-10,0.0793410912156105
1135,2024,11,2024-11,0.061217036098241806
1135,2024,12,2024-12,0.094058558344841
1143,2024,1,2024-01,0.027040965855121613
1143,2024,2,2024-02,0.03140502795577049
1143,2024,3,2024-03,0.07805360108613968
1143,2024,4,2024-04,0.06325853615999222
1143,2024,5,2024-05,0.03291923925280571
1143,2024,6,2024-06,0.02871253900229931
1143,2024,7,2024-07,0.01107469666749239
1143,2024,8,2024-08,0.01619666814804077
1143,2024,9,2024-09,0.010950113646686077
1143,2024,10,2024-10,0.034220922738313675
1143,2024,11,2024-11,0.022698627784848213
1143,2024,12,2024-12,0.02937833033502102
1151,2024,1,2024-01,0.05366629734635353
1151,2024,2,2024-02,0.03314514458179474
1151,2024,3,2024-03,0.04810154065489769
1151,2024,4,2024-04,0.08946962654590607
1151,2024,5,2024-05,0.08686571568250656
1151,2024,6,2024-06,0.05899110063910484
1151,2024,7,2024-07,0.043911125510931015
1151,2024,8,2024-08,0.06613901257514954
1151,2024,9,2024-09,0.036172036081552505
1151,2024,10,2024-10,0.05313708260655403
1151,2024,11,2024-11,0.058592624962329865
1151,2024,12,2024-12,0.04712183400988579
1159,2024,1,2024-01,0.03498174995183945
1159,2024,2,2024-02,0.03180379420518875
1159,2024,3,2024-03,0.06477625668048859
1159,2024,4,2024-04,0.08437710255384445
1159,2024,5,2024-05,0.06778186559677124
1159,2024,6,2024-06,0.046902306377887726
1159,2024,7,2024-07,0.03261459246277809
1159,2024,8,2024-08,0.030423033982515335
1159,2024,9,2024-09,0.01821756735444069
1159,2024,10,2024-10,0.03963899612426758
1159,2024,11,2024-11,0.03572520613670349
1159,2024,12,2024-12,0.04897494986653328
1163,2024,1,2024-01,0.028251899406313896
1163,2024,2,2024-02,0.019603446125984192
1163,2024,3,2024-03,0.03741459175944328
1163,2024,4,2024-04,0.05080767720937729
1163,2024,5,2024-05,0.03852783516049385
1163,2024,6,2024-06,0.03109581582248211
1163,2024,7,2024-07,0.021879278123378754
1163,2024,8,2024-08,0.02875189296901226
1163,2024,9,2024-09,0.01433555781841278
1163,2024,10,2024-10,0.032130807638168335
1163,2024,11,2024-11,0.030290430411696434
1163,2024,12,2024-12,0.03578083962202072
1171,2024,1,2024-01,0.09358380734920502
1171,2024,2,2024-02,0.10270160436630249
1171,2024,3,2024-03,0.0983966588973999
1171,2024,4,2024-04,0.15875805914402008
1171,2024,5,2024-05,0.16828231513500214
1171,2024,6,2024-06,0.12909477949142456
1171,2024,7,2024-07,0.08459988981485367
1171,2024,8,2024-08,0.0922299176454544
1171,2024,9,2024-09,0.08198650181293488
