TN,FP,FN,TP,Acc,Prec,Rec,F1,Spec,thr,Pos,W
160.0,24.0,16.0,56.0,0.84375,0.7,0.7777777777777778,0.7368421052631579,0.8695652173913043,0.37,80.0,"{'l': 0.18548830791480972, 'u': 0.15, 'f': 0.1333080804149066, 'd': 0.12415571122552659, 'r': 0.11984956647291936, 'a': 0.06359033339594222, 's': 0.03300539384972078, 'i': 0.02744022608514063, 'c': 0.01316238064103418, 'p': 0.15}"
158.0,26.0,15.0,57.0,0.83984375,0.6867469879518072,0.7916666666666666,0.7354838709677419,0.8586956521739131,0.37,83.0,"{'l': 0.21396765048812455, 'u': 0.15, 'f': 0.13988945324613586, 'd': 0.1389526952596328, 'r': 0.11837632850714148, 'a': 0.03507713782893702, 's': 0.029922275302410303, 'i': 0.022228166419279223, 'c': 0.0015862929483387179, 'p': 0.15}"
158.0,26.0,15.0,57.0,0.83984375,0.6867469879518072,0.7916666666666666,0.7354838709677419,0.8586956521739131,0.42,83.0,"{'l': 0.307241817920346, 'u': 0.15000000000000002, 'f': 0.12951159616918254, 'd': 0.1071744799409792, 'r': 0.10004182502685803, 'a': 0.016016041033302807, 's': 0.016011280303080983, 'i': 0.013484205074264788, 'c': 0.01051875453198581, 'p': 0.15000000000000002}"
163.0,21.0,18.0,54.0,0.84765625,0.72,0.75,0.7346938775510204,0.8858695652173914,0.44,75.0,"{'l': 0.2695392090723144, 'u': 0.15, 'f': 0.08550401560910675, 'd': 0.08369070087877116, 'r': 0.07731589542554478, 'a': 0.0721922134862691, 's': 0.06183691380897923, 'i': 0.026601737832364428, 'c': 0.023319313886650067, 'p': 0.15}"
161.0,23.0,17.0,55.0,0.84375,0.7051282051282052,0.7638888888888888,0.7333333333333333,0.875,0.42,78.0,"{'l': 0.2614634896567461, 'u': 0.13948494855883595, 'f': 0.1274810747378542, 'd': 0.08730354516288212, 'r': 0.08494686267575624, 'a': 0.05238035035264915, 's': 0.039405249349919166, 'i': 0.029251214160243157, 'c': 0.028283265345113953, 'p': 0.15000000000000002}"
161.0,23.0,17.0,55.0,0.84375,0.7051282051282052,0.7638888888888888,0.7333333333333333,0.875,0.41,78.0,"{'l': 0.23246084988872837, 'u': 0.15000000000000002, 'f': 0.11144292814237904, 'd': 0.1040211087979963, 'r': 0.0813906269241235, 'a': 0.06101748665900702, 's': 0.05476154987693992, 'i': 0.028018742167905366, 'c': 0.026886707542920593, 'p': 0.15000000000000002}"
161.0,23.0,17.0,55.0,0.84375,0.7051282051282052,0.7638888888888888,0.7333333333333333,0.875,0.37,78.0,"{'l': 0.18008044710918722, 'u': 0.15, 'f': 0.15138314743900239, 'd': 0.12486509124838979, 'r': 0.1204489082898983, 'a': 0.05213054949086867, 's': 0.043308716263267044, 'i': 0.01909329929455864, 'c': 0.008689840864827965, 'p': 0.15}"
161.0,23.0,17.0,55.0,0.84375,0.7051282051282052,0.7638888888888888,0.7333333333333333,0.875,0.38,78.0,"{'l': 0.20125837495989246, 'u': 0.15, 'f': 0.1617352491391567, 'd': 0.12157034760967102, 'r': 0.1044609669661753, 'a': 0.05352542001873392, 's': 0.027662510487627287, 'i': 0.018682479384340263, 'c': 0.011104651434403126, 'p': 0.15}"
161.0,23.0,17.0,55.0,0.84375,0.7051282051282052,0.7638888888888888,0.7333333333333333,0.875,0.37,78.0,"{'l': 0.18593164463100006, 'u': 0.14999999999999997, 'f': 0.16230439612559816, 'd': 0.12858590711819667, 'r': 0.10277129492826502, 'a': 0.05401678157862561, 's': 0.029375381310890215, 'i': 0.027421258026692125, 'c': 0.009593336280732155, 'p': 0.14999999999999997}"
161.0,23.0,17.0,55.0,0.84375,0.7051282051282052,0.7638888888888888,0.7333333333333333,0.875,0.42,78.0,"{'l': 0.25152037853542675, 'u': 0.15, 'f': 0.1021240331861637, 'd': 0.08387657439534515, 'r': 0.08350713761538155, 'a': 0.056034373041214204, 's': 0.05254767551897108, 'i': 0.03556185020685266, 'c': 0.0348279775006449, 'p': 0.15}"
159.0,25.0,16.0,56.0,0.83984375,0.691358024691358,0.7777777777777778,0.7320261437908496,0.8641304347826086,0.36,81.0,"{'l': 0.1823003296590243, 'u': 0.15, 'f': 0.14334103306379103, 'd': 0.13344703718674328, 'r': 0.1112347026787295, 'a': 0.05450813814753039, 's': 0.028058433426590267, 'i': 0.023710946906518735, 'c': 0.023399378931072374, 'p': 0.15}"
159.0,25.0,16.0,56.0,0.83984375,0.691358024691358,0.7777777777777778,0.7320261437908496,0.8641304347826086,0.39,81.0,"{'l': 0.22646868415013285, 'u': 0.15, 'f': 0.11405990335687356, 'd': 0.11045971533508908, 'r': 0.10996822592823502, 'a': 0.04156473235504886, 's': 0.037632951072230816, 'i': 0.032942647004553564, 'c': 0.026903140797836258, 'p': 0.15}"
159.0,25.0,16.0,56.0,0.83984375,0.691358024691358,0.7777777777777778,0.7320261437908496,0.8641304347826086,0.35,81.0,"{'l': 0.1471219901875954, 'u': 0.1468164879171129, 'f': 0.140104589335064, 'd': 0.12911055597134377, 'r': 0.11567467246730274, 'a': 0.059374001376215325, 's': 0.05224719386097047, 'i': 0.05043050065362439, 'c': 0.009120008230770952, 'p': 0.14999999999999997}"
159.0,25.0,16.0,56.0,0.83984375,0.691358024691358,0.7777777777777778,0.7320261437908496,0.8641304347826086,0.36,81.0,"{'l': 0.1625446721541158, 'u': 0.15, 'f': 0.14474469171248439, 'd': 0.1261471735556139, 'r': 0.10672113791121206, 'a': 0.06587129677493309, 's': 0.04338320609957927, 'i': 0.03063244467463903, 'c': 0.01995537711742244, 'p': 0.15}"
159.0,25.0,16.0,56.0,0.83984375,0.691358024691358,0.7777777777777778,0.7320261437908496,0.8641304347826086,0.43,81.0,"{'l': 0.29515556063416265, 'u': 0.15000000000000002, 'f': 0.11796758923315893, 'd': 0.07912290393196539, 'r': 0.06981711868795219, 'a': 0.038046885204422586, 's': 0.03540004704313096, 'i': 0.034858736479618964, 'c': 0.02963115878558837, 'p': 0.15000000000000002}"
159.0,25.0,16.0,56.0,0.83984375,0.691358024691358,0.7777777777777778,0.7320261437908496,0.8641304347826086,0.37,81.0,"{'l': 0.2033385434715245, 'u': 0.15, 'f': 0.1382873460010721, 'd': 0.13653916439891187, 'r': 0.12811283123316652, 'a': 0.05724077911743501, 's': 0.016431235874591433, 'i': 0.01106159072125329, 'c': 0.00898850918204535, 'p': 0.15}"
157.0,27.0,15.0,57.0,0.8359375,0.6785714285714286,0.7916666666666666,0.7307692307692307,0.8532608695652174,0.36,84.0,"{'l': 0.15883554611609504, 'u': 0.13880278146960642, 'f': 0.13725985247067704, 'd': 0.09468194296212772, 'r': 0.08906397432665068, 'a': 0.08315683366680673, 's': 0.06695800636071735, 'i': 0.06585878557915799, 'c': 0.015382277048161083, 'p': 0.15}"
162.0,22.0,18.0,54.0,0.84375,0.7105263157894737,0.75,0.7297297297297297,0.8804347826086957,0.42,76.0,"{'l': 0.25078230817079517, 'u': 0.15000000000000002, 'f': 0.09461683575643814, 'd': 0.08734656168124928, 'r': 0.08237999045796641, 'a': 0.06268798587939545, 's': 0.049367494211466904, 'i': 0.04231309579991711, 'c': 0.030505728042771525, 'p': 0.15000000000000002}"
155.0,29.0,14.0,58.0,0.83203125,0.6666666666666666,0.8055555555555556,0.7295597484276729,0.842391304347826,0.35,87.0,"{'l': 0.165141010107995, 'u': 0.14999999999999997, 'f': 0.13525054123757274, 'd': 0.11710192917346299, 'r': 0.08034429320762589, 'a': 0.06910351457939497, 's': 0.05656924730182498, 'i': 0.04038429670140376, 'c': 0.036105167690719746, 'p': 0.14999999999999997}"
155.0,29.0,14.0,58.0,0.83203125,0.6666666666666666,0.8055555555555556,0.7295597484276729,0.842391304347826,0.37,87.0,"{'l': 0.2129347686021144, 'u': 0.15000000000000002, 'f': 0.19512419023328406, 'd': 0.10397938975603462, 'r': 0.09420407597608339, 'a': 0.03694849957670162, 's': 0.029460985245423253, 'i': 0.0228419970244486, 'c': 0.004506093585910048, 'p': 0.15000000000000002}"
160.0,24.0,17.0,55.0,0.83984375,0.6962025316455697,0.7638888888888888,0.7284768211920529,0.8695652173913043,0.41,79.0,"{'l': 0.24698038395511276, 'u': 0.15000000000000002, 'f': 0.09808475168514136, 'd': 0.09504073461754851, 'r': 0.08614395112232226, 'a': 0.05873647187622736, 's': 0.04420098827839248, 'i': 0.037950311720419544, 'c': 0.03286240674483581, 'p': 0.15000000000000002}"
160.0,24.0,17.0,55.0,0.83984375,0.6962025316455697,0.7638888888888888,0.7284768211920529,0.8695652173913043,0.41,79.0,"{'l': 0.2333644523853027, 'u': 0.15, 'f': 0.09731121402099369, 'd': 0.0854210438897363, 'r': 0.0828778021092597, 'a': 0.06407135318543163, 's': 0.05611399168909255, 'i': 0.053575984052406156, 'c': 0.027264158667777254, 'p': 0.15}"
160.0,24.0,17.0,55.0,0.83984375,0.6962025316455697,0.7638888888888888,0.7284768211920529,0.8695652173913043,0.37,79.0,"{'l': 0.19439376758769827, 'u': 0.15000000000000002, 'f': 0.143880304499356, 'd': 0.14046852986732322, 'r': 0.12601165392014663, 'a': 0.05933581728690722, 's': 0.02264202021760185, 'i': 0.013205740092904565, 'c': 6.216652806234053e-05, 'p': 0.15000000000000002}"
160.0,24.0,17.0,55.0,0.83984375,0.6962025316455697,0.7638888888888888,0.7284768211920529,0.8695652173913043,0.37,79.0,"{'l': 0.18955488563123143, 'u': 0.15, 'f': 0.13912103566479386, 'd': 0.13475095931644354, 'r': 0.1302302709809924, 'a': 0.05783967659263614, 's': 0.025419422196972657, 'i': 0.012865294030236481, 'c': 0.010218455586693438, 'p': 0.15}"
160.0,24.0,17.0,55.0,0.83984375,0.6962025316455697,0.7638888888888888,0.7284768211920529,0.8695652173913043,0.38,79.0,"{'l': 0.21161413604574222, 'u': 0.15000000000000002, 'f': 0.14117853583646095, 'd': 0.13191423503495117, 'r': 0.1281532778845506, 'a': 0.06105671284351412, 's': 0.017639453134735528, 'i': 0.005097515178763943, 'c': 0.003346134041281476, 'p': 0.15000000000000002}"
160.0,24.0,17.0,55.0,0.83984375,0.6962025316455697,0.7638888888888888,0.7284768211920529,0.8695652173913043,0.4,79.0,"{'l': 0.2262315464494929, 'u': 0.15000000000000002, 'f': 0.13208271865305424, 'd': 0.10694988446561027, 'r': 0.09376986663073704, 'a': 0.047713638307271426, 's': 0.04531994831736904, 'i': 0.03897397876959067, 'c': 0.008958418406874346, 'p': 0.15000000000000002}"
160.0,24.0,17.0,55.0,0.83984375,0.6962025316455697,0.7638888888888888,0.7284768211920529,0.8695652173913043,0.38,79.0,"{'l': 0.1953258884912214, 'u': 0.15, 'f': 0.13402968323617243, 'd': 0.12470800186442002, 'r': 0.12146491360460711, 'a': 0.0709766124758532, 's': 0.0285704080398745, 'i': 0.02019211865251473, 'c': 0.004732373635336625, 'p': 0.15}"
160.0,24.0,17.0,55.0,0.83984375,0.6962025316455697,0.7638888888888888,0.7284768211920529,0.8695652173913043,0.35,79.0,"{'l': 0.160800347925867, 'u': 0.14345150596771433, 'f': 0.14125434990736618, 'd': 0.13680217530020553, 'r': 0.10608525152930304, 'a': 0.04815580017950261, 's': 0.04041558758192601, 'i': 0.03937825598491367, 'c': 0.03365672562320161, 'p': 0.15}"
160.0,24.0,17.0,55.0,0.83984375,0.6962025316455697,0.7638888888888888,0.7284768211920529,0.8695652173913043,0.41,79.0,"{'l': 0.24627093322955496, 'u': 0.13751703963474388, 'f': 0.1159989999528752, 'd': 0.11470821625018211, 'r': 0.08625006367906812, 'a': 0.054817695282879615, 's': 0.04771793273725983, 'i': 0.0334230337517584, 'c': 0.01329608548167792, 'p': 0.15000000000000002}"
