FEEDER_ID,FROM_TO,SOURCE_LOCATION,DESTINATION_LOCATION,LOCATION,RANK,LATEST_DT_DATE,DT_LOAD
31887,9654-29061,1S-MH-MU-ZST-CL06-0319,1S-MH-MU-ZST-CL06-0732,1S-MH-MU-ZST-CL06-0732,2,2025-04-04,407.46310679611645
31887,29060-35542,1S-MH-MU-ZST-CL06-0732,1S-MH-MU-ZST-CL06-1008,1S-MH-MU-ZST-CL06-1008,3,2025-04-04,255.42597402597403
39942,39942-32283,1S-MH-MU-ZST-RSTN-BATE,1S-MH-MU-ZST-CL06-0138,1S-MH-MU-ZST-CL06-0138,0,2025-04-04,390.1106796116505
39942,16232-39733,1S-MH-MU-ZST-CL06-0138,1S-MH-MU-ZST-CL06-1165,1S-MH-MU-ZST-CL06-1165,1,2025-03-06,564.3074380165289
39942,16230-39693,1S-MH-MU-ZST-CL06-0138,1S-MH-MU-ZST-CL06-0172,1S-MH-MU-ZST-CL06-0172,1,2025-04-04,467.66280193236713
39942,36799-15012,1S-MH-MU-ZST-CL06-1165,1S-MH-MU-ZST-CL06-0156,1S-MH-MU-ZST-CL06-0156,2,2025-04-04,704.1058823529412
39942,7191-39692,1S-MH-MU-ZST-CL06-0172,1S-MH-MU-ZST-CL06-0172,1S-MH-MU-ZST-CL06-0172,2,2025-04-04,467.66280193236713
39942,39691-25026,1S-MH-MU-ZST-CL06-0172,1S-MH-MU-ZST-CL06-0620,1S-MH-MU-ZST-CL06-0620,2,2025-04-04,385.09708737864077
39942,15014-18603,1S-MH-MU-ZST-CL06-0156,1S-MH-MU-ZST-CL06-0094,1S-MH-MU-ZST-CL06-0094,3,2025-04-04,635.2907766990292
39942,15014-43727,1S-MH-MU-ZST-CL06-0156,1S-MH-MU-ZST-CL06-1412,1S-MH-MU-ZST-CL06-1412,3,,
39942,15014-26660,1S-MH-MU-ZST-CL06-0156,1S-MH-MU-ZST-CL06-0374,1S-MH-MU-ZST-CL06-0374,3,2025-04-04,593.1927777777778
39942,25028-9683,1S-MH-MU-ZST-CL06-0620,1S-MH-MU-ZST-CL06-0301,1S-MH-MU-ZST-CL06-0301,3,2025-04-04,419.15074626865675
39944,39944-11204,1S-MH-MU-ZST-RSTN-BATE,1S-MH-MU-ZST-CL06-0172,1S-MH-MU-ZST-CL06-0172,0,2025-04-04,467.66280193236713
39944,7189-2670,1S-MH-MU-ZST-CL06-0172,1S-MH-MU-ZST-CL06-0306,1S-MH-MU-ZST-CL06-0306,1,2025-04-04,344.2276543209877
39944,29298-555,1S-MH-MU-ZST-CL06-0306,1S-MH-MU-ZST-CL06-0306,1S-MH-MU-ZST-CL06-0306,2,2025-04-04,344.2276543209877
39944,29296-5581,1S-MH-MU-ZST-CL06-0306,1S-MH-MU-ZST-CL06-0316,1S-MH-MU-ZST-CL06-0316,2,2025-04-04,352.2960784313725
39944,4086-18892,1S-MH-MU-ZST-CL06-0306,1S-MH-MU-ZST-CL06-0604,1S-MH-MU-ZST-CL06-0604,2,2025-04-04,464.105
39944,18890-35842,1S-MH-MU-ZST-CL06-0604,1S-MH-MU-ZST-CL06-0093,1S-MH-MU-ZST-CL06-0093,3,2025-04-04,437.94392156862745
39944,18893-26662,1S-MH-MU-ZST-CL06-0604,1S-MH-MU-ZST-CL06-0374,1S-MH-MU-ZST-CL06-0374,3,2025-04-04,593.1927777777778
39944,35844-36797,1S-MH-MU-ZST-CL06-0093,1S-MH-MU-ZST-CL06-1165,1S-MH-MU-ZST-CL06-1165,4,2025-03-06,564.3074380165289
1301,1301-28819,1S-MH-MU-ZNT-RSTN-BORI,1S-MH-MU-ZNT-CL09-6856,1S-MH-MU-ZNT-CL09-6856,0,2025-04-04,406.52485436893204
1301,28818-17757,1S-MH-MU-ZNT-CL09-6856,1S-MH-MU-ZNT-CL09-6773,1S-MH-MU-ZNT-CL09-6773,1,2025-04-04,152.20137931034483
1301,17756-13769,1S-MH-MU-ZNT-CL09-6773,1S-MH-MU-ZNT-CL09-6772,1S-MH-MU-ZNT-CL09-6772,2,2025-04-04,453.18446601941747
1301,13769-26686,1S-MH-MU-ZNT-CL09-6772,1S-MH-MU-ZNT-CL09-6158,1S-MH-MU-ZNT-CL09-6158,3,2025-04-04,254.00448780487804
1301,13767-18358,1S-MH-MU-ZNT-CL09-6772,1S-MH-MU-ZNT-CL09-6471,1S-MH-MU-ZNT-CL09-6471,3,2025-04-04,193.1686956521739
1301,26688-14220,1S-MH-MU-ZNT-CL09-6158,1S-MH-MU-ZNT-CL09-6360,1S-MH-MU-ZNT-CL09-6360,4,2025-04-04,750.9708737864078
1301,18357-35425,1S-MH-MU-ZNT-CL09-6471,1S-MH-MU-ZNT-CL09-7341,1S-MH-MU-ZNT-CL09-7341,4,2025-04-04,347.856
1301,35423-11715,1S-MH-MU-ZNT-CL09-7341,1S-MH-MU-ZNT-CL09-6495,1S-MH-MU-ZNT-CL09-6495,5,2025-04-04,582.3097087378641
1302,1302-36232,1S-MH-MU-ZNT-RSTN-BORI,1S-MH-MU-ZNT-CL01-7396,1S-MH-MU-ZNT-CL01-7396,0,2025-04-04,192.81272727272727
1302,36233-17840,1S-MH-MU-ZNT-CL01-7396,1S-MH-MU-ZNT-CL01-6615,1S-MH-MU-ZNT-CL01-6615,1,2025-04-04,684.3546798029556
1302,17839-12249,1S-MH-MU-ZNT-CL01-6615,1S-MH-MU-ZNT-CL01-6566,1S-MH-MU-ZNT-CL01-6566,2,2025-04-04,162.43436893203884
1302,12247-17034,1S-MH-MU-ZNT-CL01-6566,1S-MH-MU-ZNT-CL01-6563,1S-MH-MU-ZNT-CL01-6563,3,2025-04-04,273.6328155339806
1302,17032-29883,1S-MH-MU-ZNT-CL01-6563,1S-MH-MU-ZNT-CL01-7021,1S-MH-MU-ZNT-CL01-7021,4,2025-04-04,135.72312195121953
1302,29881-17357,1S-MH-MU-ZNT-CL01-7021,1S-MH-MU-ZNT-CL01-6088,1S-MH-MU-ZNT-CL01-6088,5,2025-04-04,190.09627450980392
1302,17355-39930,1S-MH-MU-ZNT-CL01-6088,1S-MH-MU-ZNT-CL01-7362,1S-MH-MU-ZNT-CL01-7362,6,2025-04-04,28.201846153846155
1303,1303-19055,1S-MH-MU-ZNT-RSTN-BORI,1S-MH-MU-ZNT-CL07-6834,1S-MH-MU-ZNT-CL07-6834,0,2025-04-04,410.4367149758454
1303,19053-37966,1S-MH-MU-ZNT-CL07-6834,1S-MH-MU-ZNT-CL07-7618,1S-MH-MU-ZNT-CL07-7618,1,2025-02-07,205.92999999999998
1303,37964-25093,1S-MH-MU-ZNT-CL07-7618,1S-MH-MU-ZNT-CL07-6900,1S-MH-MU-ZNT-CL07-6900,2,2025-04-04,124.1007843137255
1303,25095-19313,1S-MH-MU-ZNT-CL07-6900,1S-MH-MU-ZNT-CL07-6873,1S-MH-MU-ZNT-CL07-6873,3,2025-04-04,277.1807692307692
1303,19311-19922,1S-MH-MU-ZNT-CL07-6873,1S-MH-MU-ZNT-CL07-6889,1S-MH-MU-ZNT-CL07-6889,4,2025-04-04,120.16233009708738
1303,19921-6625,1S-MH-MU-ZNT-CL07-6889,1S-MH-MU-ZNT-CL07-6310,1S-MH-MU-ZNT-CL07-6310,5,2025-04-04,254.50048309178743
1303,6626-2710,1S-MH-MU-ZNT-CL07-6310,1S-MH-MU-ZNT-CL07-6184,1S-MH-MU-ZNT-CL07-6184,6,2025-04-04,462.4088669950739
1303,6624-18376,1S-MH-MU-ZNT-CL07-6310,1S-MH-MU-ZNT-CL07-6358,1S-MH-MU-ZNT-CL07-6358,6,2025-04-04,388.1794117647059
1303,2709-35661,1S-MH-MU-ZNT-CL07-6184,1S-MH-MU-ZNT-CL07-7517,1S-MH-MU-ZNT-CL07-7517,7,2025-04-04,266.2544398340249
1303,35660-36097,1S-MH-MU-ZNT-CL07-7517,1S-MH-MU-ZNT-CL07-7591,1S-MH-MU-ZNT-CL07-7591,8,2025-04-04,315.16115942028983
1303,36099-37132,1S-MH-MU-ZNT-CL07-7591,1S-MH-MU-ZNT-CL08-7745,1S-MH-MU-ZNT-CL08-7745,9,2025-04-04,280.66315789473686
1305,1305-41388,1S-MH-MU-ZNT-RSTN-BORI,1S-MH-MU-ZNT-CL01-7962,1S-MH-MU-ZNT-CL01-7962,0,2025-04-04,212.46666666666667
1305,41391-36574,1S-MH-MU-ZNT-CL01-7962,1S-MH-MU-ZNT-CL01-6141,1S-MH-MU-ZNT-CL01-6141,1,2025-04-04,496.312077294686
1305,41390-41386,1S-MH-MU-ZNT-CL01-7962,1S-MH-MU-ZNT-CL01-7962,1S-MH-MU-ZNT-CL01-7962,1,2025-04-04,212.46666666666667
1305,36576-35391,1S-MH-MU-ZNT-CL01-6141,1S-MH-MU-ZNT-CL07-7514,1S-MH-MU-ZNT-CL07-7514,2,2025-04-04,232.90759493670888
1305,35393-34669,1S-MH-MU-ZNT-CL07-7514,1S-MH-MU-ZNT-RSTN-SHIM,1S-MH-MU-ZNT-RSTN-SHIM,3,,
1305,34669-38101,1S-MH-MU-ZNT-RSTN-SHIM,1S-MH-MU-ZNT-CL07-7771,1S-MH-MU-ZNT-CL07-7771,4,2025-04-04,98.28076923076924
1305,38102-16948,1S-MH-MU-ZNT-CL07-7771,1S-MH-MU-ZNT-CL07-6372,1S-MH-MU-ZNT-CL07-6372,5,2025-04-04,261.2657004830918
1305,16946-9151,1S-MH-MU-ZNT-CL07-6372,1S-MH-MU-ZNT-CL07-6284,1S-MH-MU-ZNT-CL07-6284,6,2025-04-04,386.02415458937196
1305,9149-36747,1S-MH-MU-ZNT-CL07-6284,1S-MH-MU-ZNT-CL07-7575,1S-MH-MU-ZNT-CL07-7575,7,2025-04-04,268.336
1305,36746-35946,1S-MH-MU-ZNT-CL07-7575,1S-MH-MU-ZNT-CL01-7610,1S-MH-MU-ZNT-CL01-7610,8,2025-04-04,419.59
1306,1306-43225,1S-MH-MU-ZNT-RSTN-BORI,1S-MH-MU-ZNT-CL01-9904,1S-MH-MU-ZNT-CL01-9904,0,,
1306,43232-43226,1S-MH-MU-ZNT-CL01-9904,1S-MH-MU-ZNT-CL01-9904,1S-MH-MU-ZNT-CL01-9904,1,,
1308,1308-39929,1S-MH-MU-ZNT-RSTN-BORI,1S-MH-MU-ZNT-CL01-7362,1S-MH-MU-ZNT-CL01-7362,0,2025-04-04,28.201846153846155
1308,39931-12244,1S-MH-MU-ZNT-CL01-7362,1S-MH-MU-ZNT-CL01-6564,1S-MH-MU-ZNT-CL01-6564,1,2025-04-04,139.96444444444444
1308,12246-12274,1S-MH-MU-ZNT-CL01-6564,1S-MH-MU-ZNT-CL01-6758,1S-MH-MU-ZNT-CL01-6758,2,2025-04-04,714.3186274509804
1308,12276-7903,1S-MH-MU-ZNT-CL01-6758,1S-MH-MU-ZNT-CL01-6434,1S-MH-MU-ZNT-CL01-6434,3,2025-04-04,176.0549019607843
1308,12275-9233,1S-MH-MU-ZNT-CL01-6758,1S-MH-MU-ZNT-CL01-6087,1S-MH-MU-ZNT-CL01-6087,3,2025-04-04,337.5378640776699
1308,9235-17427,1S-MH-MU-ZNT-CL01-6087,1S-MH-MU-ZNT-CL01-6377,1S-MH-MU-ZNT-CL01-6377,4,2025-04-04,199.23921951219512
1309,1309-29970,1S-MH-MU-ZNT-RSTN-BORI,1S-MH-MU-ZNT-CL01-7052,1S-MH-MU-ZNT-CL01-7052,0,,
1309,43216-43230,1S-MH-MU-ZNT-CL01-7052,1S-MH-MU-ZNT-CL01-9904,1S-MH-MU-ZNT-CL01-9904,1,,
1309,29972-17534,1S-MH-MU-ZNT-CL01-7052,1S-MH-MU-ZNT-CL01-6435,1S-MH-MU-ZNT-CL01-6435,1,2025-04-04,285.65631067961164
1309,17532-17529,1S-MH-MU-ZNT-CL01-6435,1S-MH-MU-ZNT-CL01-6634,1S-MH-MU-ZNT-CL01-6634,2,2025-04-04,403.23609756097557
1309,17531-12927,1S-MH-MU-ZNT-CL01-6634,1S-MH-MU-ZNT-CL01-6551,1S-MH-MU-ZNT-CL01-6551,3,2025-04-04,394.526213592233
1309,12929-15203,1S-MH-MU-ZNT-CL01-6551,1S-MH-MU-ZCT-CL10-4846,1S-MH-MU-ZCT-CL10-4846,4,2025-04-04,322.9470588235294
1309,15205-15197,1S-MH-MU-ZCT-CL10-4846,1S-MH-MU-ZCT-CL10-4252,1S-MH-MU-ZCT-CL10-4252,5,2025-04-04,345.25854545454547
1309,15204-25538,1S-MH-MU-ZCT-CL10-4846,1S-MH-MU-ZCT-CL10-4928,1S-MH-MU-ZCT-CL10-4928,5,2025-04-04,319.6966183574879
1309,14825-16645,1S-MH-MU-ZCT-CL10-4252,1S-MH-MU-ZCT-CL10-4160,1S-MH-MU-ZCT-CL10-4160,6,2025-04-04,331.88038277511964
1311,1311-42549,1S-MH-MU-ZNT-RSTN-BORI,1S-MH-MU-ZNT-CL01-7963,1S-MH-MU-ZNT-CL01-7963,0,2025-04-04,182.4085714285714
1311,42550-18919,1S-MH-MU-ZNT-CL01-7963,1S-MH-MU-ZNT-CL01-6829,1S-MH-MU-ZNT-CL01-6829,1,2025-04-04,447.7099029126214
1311,42554-42551,1S-MH-MU-ZNT-CL01-7963,1S-MH-MU-ZNT-CL01-7963,1S-MH-MU-ZNT-CL01-7963,1,2025-04-04,182.4085714285714
1311,42555-43277,1S-MH-MU-ZNT-CL01-7963,1S-MH-MU-ZNT-CL01-7963,1S-MH-MU-ZNT-CL01-7963,1,2025-04-04,182.4085714285714
1311,43273-43269,1S-MH-MU-ZNT-CL01-7963,1S-MH-MU-ZNT-CL01-7963,1S-MH-MU-ZNT-CL01-7963,1,2025-04-04,182.4085714285714
1311,43278-43274,1S-MH-MU-ZNT-CL01-7963,1S-MH-MU-ZNT-CL01-7963,1S-MH-MU-ZNT-CL01-7963,1,2025-04-04,182.4085714285714
1311,42555-41387,1S-MH-MU-ZNT-CL01-7963,1S-MH-MU-ZNT-CL01-7962,1S-MH-MU-ZNT-CL01-7962,1,2025-04-04,212.46666666666667
1311,18921-35226,1S-MH-MU-ZNT-CL01-6829,1S-MH-MU-ZNT-CL01-7452,1S-MH-MU-ZNT-CL01-7452,2,2025-04-04,230.1804938271605
1312,1312-36128,1S-MH-MU-ZNT-RSTN-BORI,1S-MH-MU-ZNT-CL01-7617,1S-MH-MU-ZNT-CL01-7617,0,2025-04-04,340.7776223776224
1312,36129-39094,1S-MH-MU-ZNT-CL01-7617,1S-MH-MU-ZNT-CL01-7113,1S-MH-MU-ZNT-CL01-7113,1,2025-04-04,165.98588235294116
1312,39093-17445,1S-MH-MU-ZNT-CL01-7113,1S-MH-MU-ZNT-CL01-6714,1S-MH-MU-ZNT-CL01-6714,2,2025-04-04,259.23453658536584
1312,17443-37919,1S-MH-MU-ZNT-CL01-6714,1S-MH-MU-ZNT-CL01-7794,1S-MH-MU-ZNT-CL01-7794,3,2025-04-04,124.95529411764706
1312,37918-14906,1S-MH-MU-ZNT-CL01-7794,1S-MH-MU-ZNT-CL01-6006,1S-MH-MU-ZNT-CL01-6006,4,2025-04-04,397.21073170731705
