YEAR,ACTUAL_COVERED,PRED_COVERED,PRED_FULL
2019,527.0,645.5120348185301,645.5120348185301
2020,468.0,644.4771934598684,644.4771934598684
2021,432.0,500.11746122688055,500.11746122688055
2022,342.0,465.90074223279953,465.90074223279953
2023,384.0,379.3652975037694,379.3652975037694
2024,357.0,548.610592789948,548.610592789948
2025,139.0,216.75494134426117,462.79154878109694
