SWNO,Month_01,Month_02,Month_03,Month_04,Month_05,Month_06,Month_07,Month_08,Month_09,Month_10,Month_11,Month_12
33342,19.49140120967742,19.388020833333332,21.250611559139784,26.742395833333333,0.0,0.0,0.0,0.0,23.634182692307693,25.407972222222224,20.454681238615663,19.062721774193548
33343,19.483585349462366,19.357658179012347,21.27632392473118,26.749687499999997,0.0,0.0,0.0,0.0,,,19.301640625,19.044092741935483
33344,32.051525537634404,30.573124999999997,40.31930443548387,64.03833333333334,49.36869499387308,49.73027667649734,39.0842247,39.0842247,,,28.347821180555556,42.04778897849462
33345,32.00301747311828,30.584247685185183,40.32204301075269,64.10739583333334,49.35161114215543,49.8525110216054,38.6699028,38.6699028,,,32.586948955916476,41.953165322580645
33346,92.14735887096774,96.27238811728395,105.40530241935484,84.30677083333333,120.48449364997869,120.64682052779042,135.4827576,135.4827576,,,104.27794202898552,82.71698588709677
33347,92.06720766129033,96.27902777777777,105.28891129032257,84.17218749999999,120.21965377781956,120.45699513972602,135.4827576,135.4827576,,,102.04689236111112,82.77142809139785
33348,86.70702284946236,88.05780092592593,88.56858534946237,92.41187500000001,87.20742223459482,87.35688232102449,92.11723330000001,92.1172333,,,87.24032558139534,89.2176377688172
33349,86.66430443548387,88.0096026234568,88.52003024193547,92.3534375,87.29175417810553,87.27754324600356,91.97912599999998,91.979126,,,87.16588611272516,89.18048051075269
33350,55.50931115591398,53.429633487654314,62.412725134408596,69.43135416666667,28.795313846977066,26.954707284060152,26.654609699999998,26.6546097,23.41875,32.249159722222224,29.893294418095586,27.333588709677418
33351,41.96971438172043,44.939035493827156,54.64580309139785,58.756875,69.38973756110781,66.88404667084149,72.0917435,72.0917435,55.18782852564103,61.40564236111111,49.29656102003643,41.565248655913976
33352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
33353,0.0,0.0,0.044586693548387096,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
33354,146.80156250000002,160.44021219135803,170.58847446236558,0.0,197.93693025606186,191.01465556600917,202.0358276,202.0358276,157.56919070512822,177.87132291666666,169.47141300399565,150.56770497311828
33355,98.8480880376344,104.06479938271606,149.67440188172043,137.70895833333333,141.39972313888137,133.5806663915551,162.5811005,162.5811005,131.99215544871794,145.12866666666667,126.54740510948906,103.32350470430107
33356,36.51479166666667,37.31143518518519,12.459462365591397,8.2834375,45.36605776888545,50.37526318074534,48.884105700000006,48.88410569999999,,,33.563229166666666,35.20257728494624
33357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
33358,15.080289920640348,9.899583126787741,15.164719846500777,27.954274265288866,20.981969084375,23.799197747401962,23.8931408,23.8931408,,,,
33360,23.443440563238866,20.79310878540076,19.62101034047847,24.006945659428574,24.668312089065108,26.65961628173488,26.6541004,26.6541004,,,,
33361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
33362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
33370,13.109264112903226,8.209618055555556,11.749324596774192,17.997291666666666,0.0,0.0,0.0,0.0,,,10.36923881464265,11.906347446236559
33371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
33372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
33374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
33375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
33376,0.0,0.04279706790123457,6.02157930107527,16.094895833333332,0.0,0.0,0.0,0.0,,,0.0,0.0
33388,0.0,0.9568904320987656,1.274472446236559,0.0,,,,,,,0.0,0.0
33389,0.0,0.0,0.408309811827957,0.0,,,,,,,0.0,0.0
33390,0.0,0.0,0.40014112903225807,0.0,,,,,,,0.0,0.0
33391,0.0,0.0,0.30637768817204303,0.0,,,,,,,0.0,0.0
33392,0.0,0.0,0.29203965053763437,0.0,,,,,,,0.0,0.0
33393,0.0,0.0,0.3089045698924731,0.0,,,,,,,0.0,0.0
33394,0.0,0.0,0.28714381720430104,0.0,,,,,,,0.0,0.0
33395,0.0,0.0,0.16179771505376345,0.0,,,,,,,0.0,0.0
33396,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0
33409,0.006048387096774193,0.0,0.0,0.0,,,,,,0.35173611111111114,0.0,0.0
33410,0.0,0.0,0.0,0.0,,,,,,,,0.0
33411,0.0,0.0046836419753086425,6.752069892473118,188.02541666666664,,,,,,,,0.0
33424,,20.655,0.0,0.0,,,,,,,,
33425,,75.735,,,,,,,,,,
33426,,142.56,,,,,,,,,,
33427,,141.07500000000002,,,,,,,,,,
33428,,22.275000000000002,0.0,0.0,,,,,,,,
33429,,134.63090277777778,,,,,,,,,,
33430,,144.86524305555557,,,,,,,,,,
33432,,22.025757575757577,0.0,0.0,,,,,,,,
33433,,144.86524305555557,,,,,,,,,,
33434,,144.86524305555557,,,,,,,,,,
33436,,0.0,1.4086290322580646,0.0,,,,,,,,
33442,,0.0,1.4266666666666667,0.0,,,,,,,,
34133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34135,109.22301411290323,118.6823225308642,137.81455981182796,148.91489583333333,187.60140308663142,164.41516509702927,162.9936066,162.9936066,155.4021875,160.69297222222224,124.42617711370262,104.39364247311828
34136,72.69711021505377,78.02224537037037,92.1262567204301,100.98062499999999,99.10380949031365,95.08649375072103,105.8081284,105.8081284,88.20096153846154,93.9735625,80.74647272727272,71.87251008064516
34137,204.40088373655914,211.25356095679012,246.45385752688173,269.010625,307.25104429120154,280.9744671117481,283.8616333,283.8616333,260.0818028846154,271.52624305555554,219.39735422740523,186.55285282258066
34138,5.804519489247312,5.461778549382716,4.403209005376344,4.727916666666666,0.0,0.0,0.0,0.0,1.255947242206235,0.78653125,3.5387673738112655,5.297718413978495
34139,16.693928863499245,17.78171093050338,18.121406114151625,20.9899991456117,22.613252874999997,22.48807028603696,14.7865677,14.7865677,,,,
34142,59.00555443548387,58.91994598765432,71.03115927419356,75.70697916666667,85.51930536154201,82.61110175428142,78.7869492,78.78694919999998,65.35094551282052,72.66745486111111,65.88518586005831,56.62800067204301
