TN,FP,FN,TP,Acc,Prec,Rec,F1,Spec,thr,Pos,W
10.0,503.0,1.0,486.0,0.496,0.4914054600606673,0.997946611909651,0.6585365853658537,0.01949317738791423,0.23,989.0,"{'u': 0.15000000000000002, 'i': 0.23359312718199599, 'd': 0.21674796391277998, 'l': 0.13237914077931182, 'a': 0.05086177318140542, 's': 0.02311198312556708, 'f': 0.021503525216594925, 'r': 0.012467740706641766, 'c': 0.009334745895702991, 'p': 0.15000000000000002}"
10.0,503.0,1.0,486.0,0.496,0.4914054600606673,0.997946611909651,0.6585365853658537,0.01949317738791423,0.24,989.0,"{'u': 0.15, 'i': 0.2140350485589173, 'd': 0.1821407243815955, 'l': 0.16043903836685727, 'a': 0.05048412509130571, 's': 0.035766415228692915, 'f': 0.032912137837406874, 'r': 0.013483631534521475, 'c': 0.01073887900070301, 'p': 0.15}"
10.0,503.0,1.0,486.0,0.496,0.4914054600606673,0.997946611909651,0.6585365853658537,0.01949317738791423,0.23,989.0,"{'u': 0.15, 'i': 0.24155222738210963, 'd': 0.2034953834635205, 'l': 0.14872514149871924, 'a': 0.04515125442740345, 's': 0.02941323807962562, 'f': 0.018364460708380617, 'r': 0.012726352031994074, 'c': 0.0005719424082469072, 'p': 0.15}"
10.0,503.0,1.0,486.0,0.496,0.4914054600606673,0.997946611909651,0.6585365853658537,0.01949317738791423,0.23,989.0,"{'u': 0.15, 'i': 0.2505241560579379, 'd': 0.19394440342141314, 'l': 0.13655389908286875, 'a': 0.0622108856035439, 's': 0.02623364798484993, 'f': 0.015539921573095973, 'r': 0.007556292436575787, 'c': 0.007436793839714509, 'p': 0.15}"
10.0,503.0,1.0,486.0,0.496,0.4914054600606673,0.997946611909651,0.6585365853658537,0.01949317738791423,0.24,989.0,"{'u': 0.15000000000000002, 'i': 0.20972474541931693, 'd': 0.20004695123503727, 'l': 0.1458482107255057, 'a': 0.05370744249494565, 's': 0.037446906429543535, 'f': 0.01952782063144368, 'r': 0.018978531643917933, 'c': 0.014719391420289342, 'p': 0.15000000000000002}"
10.0,503.0,1.0,486.0,0.496,0.4914054600606673,0.997946611909651,0.6585365853658537,0.01949317738791423,0.24,989.0,"{'u': 0.15, 'i': 0.20795152303538464, 'd': 0.2038098364390237, 'l': 0.14582735414582368, 'a': 0.05696188124582968, 's': 0.05090230895729549, 'f': 0.013592989929864198, 'r': 0.012125183658287237, 'c': 0.00882892258849142, 'p': 0.15}"
10.0,503.0,1.0,486.0,0.496,0.4914054600606673,0.997946611909651,0.6585365853658537,0.01949317738791423,0.24,989.0,"{'u': 0.15, 'i': 0.20708850220325709, 'd': 0.2048570650804186, 'l': 0.13709283144265252, 'a': 0.06079442552865593, 's': 0.03159591149998017, 'f': 0.02660817838842875, 'r': 0.02387324189134871, 'c': 0.008089843965258308, 'p': 0.15}"
10.0,503.0,1.0,486.0,0.496,0.4914054600606673,0.997946611909651,0.6585365853658537,0.01949317738791423,0.23,989.0,"{'u': 0.15, 'i': 0.2160297631807484, 'd': 0.20234662299468997, 'l': 0.16446249591537154, 'a': 0.0530978266308253, 's': 0.031174856368220205, 'f': 0.022215499848680854, 'r': 0.007622203883598016, 'c': 0.003050731177865703, 'p': 0.15}"
10.0,503.0,1.0,486.0,0.496,0.4914054600606673,0.997946611909651,0.6585365853658537,0.01949317738791423,0.24,989.0,"{'u': 0.14999999999999997, 'i': 0.20405893588335, 'd': 0.20310414361828202, 'l': 0.15683931382366162, 'a': 0.03545780151954278, 's': 0.03496025820628152, 'f': 0.030457232324277956, 'r': 0.023575482801017386, 'c': 0.011546831823586606, 'p': 0.14999999999999997}"
9.0,504.0,1.0,486.0,0.495,0.4909090909090909,0.997946611909651,0.6580907244414353,0.017543859649122806,0.23,990.0,"{'u': 0.15000000000000005, 'i': 0.2983700445778931, 'd': 0.1467244764511313, 'l': 0.14255712319089983, 'a': 0.03554382649807883, 's': 0.02774005135565177, 'f': 0.019613689536499668, 'r': 0.016736510498616065, 'c': 0.012714277891229461, 'p': 0.15000000000000005}"
9.0,504.0,1.0,486.0,0.495,0.4909090909090909,0.997946611909651,0.6580907244414353,0.017543859649122806,0.24,990.0,"{'u': 0.15, 'i': 0.2392983192352056, 'd': 0.15371351971247638, 'l': 0.14624967298610375, 'a': 0.04842853023744007, 's': 0.044751078688749224, 'f': 0.03556754878671912, 'r': 0.01931946280563776, 'c': 0.01267186754766805, 'p': 0.15}"
9.0,504.0,1.0,486.0,0.495,0.4909090909090909,0.997946611909651,0.6580907244414353,0.017543859649122806,0.24,990.0,"{'u': 0.15000000000000002, 'i': 0.21842205927139965, 'd': 0.17926707161519836, 'l': 0.13550463318466757, 'a': 0.06563503109557912, 's': 0.03860198736118563, 'f': 0.030821881499878426, 'r': 0.021724475318018212, 'c': 0.010022860654073129, 'p': 0.15000000000000002}"
9.0,504.0,1.0,486.0,0.495,0.4909090909090909,0.997946611909651,0.6580907244414353,0.017543859649122806,0.22,990.0,"{'u': 0.14999999999999994, 'i': 0.2818581787077089, 'd': 0.18932142787177922, 'l': 0.14129927912807688, 'a': 0.04195294598762785, 's': 0.020154868467200427, 'f': 0.018124954985955316, 'r': 0.006108163748530796, 'c': 0.0011801811031205418, 'p': 0.14999999999999994}"
9.0,504.0,1.0,486.0,0.495,0.4909090909090909,0.997946611909651,0.6580907244414353,0.017543859649122806,0.23,990.0,"{'u': 0.15000000000000002, 'i': 0.25314477880660124, 'd': 0.19106442866512585, 'l': 0.13246341229056094, 'a': 0.04684834777403422, 's': 0.04183282645397567, 'f': 0.0240995656099368, 'r': 0.009301435208191202, 'c': 0.0012452051915741351, 'p': 0.15000000000000002}"
