FEEDER_ID,FROM_TO,SOURCE_LOCATION,DESTINATION_LOCATION,LOCATION,RANK,LATEST_DT_DATE,DT_LOAD,DT_LOAD_CAL
19825,40636-31321,1S-MH-MU-ZET-CL09-9747,1S-MH-MU-ZET-CL09-9230,1S-MH-MU-ZET-CL09-9230,5,2025-04-04,311.605376344086,17.21583233619069
31984,31984-36521,1S-MH-MU-ZET-RSTN-TILA,1S-MH-MU-ZET-CL09-9601,1S-MH-MU-ZET-CL09-9601,0,2025-04-04,240.7632,13.30188500774696
31984,36519-28599,1S-MH-MU-ZET-CL09-9601,1S-MH-MU-ZET-CL09-9085,1S-MH-MU-ZET-CL09-9085,1,2025-04-04,444.197395833333,24.54138622561776
31984,28597-37063,1S-MH-MU-ZET-CL09-9085,1S-MH-MU-ZET-CL09-9531,1S-MH-MU-ZET-CL09-9531,2,2025-04-04,159.499130434783,8.81214027674959
31984,37062-43025,1S-MH-MU-ZET-CL09-9531,1S-MH-MU-ZET-CL09-9644,1S-MH-MU-ZET-CL09-9644,3,2025-04-04,324.641379310345,17.93605624257599
31984,42237-27042,1S-MH-MU-ZET-CL09-9644,1S-MH-MU-ZET-CL09-9063,1S-MH-MU-ZET-CL09-9063,4,2025-04-04,323.379797979798,17.8663553506338
31984,42238-38940,1S-MH-MU-ZET-CL09-9644,1S-MH-MU-ZET-CL09-9674,1S-MH-MU-ZET-CL09-9674,4,2025-04-04,168.779240506329,9.324855496645899
31984,27040-37897,1S-MH-MU-ZET-CL09-9063,1S-MH-MU-ZET-CL09-9628,1S-MH-MU-ZET-CL09-9628,5,2025-04-04,173.004835164835,9.558314655839649
31984,38941-41274,1S-MH-MU-ZET-CL09-9674,1S-MH-MU-ZET-CL09-9468,1S-MH-MU-ZET-CL09-9468,5,2025-04-04,109.54,6.051956793017379
31984,37898-09560,1S-MH-MU-ZET-CL09-9628,1S-MH-MU-ZET-CL09-8363,1S-MH-MU-ZET-CL09-8363,6,2025-04-04,312.817010309278,17.28277369465604
31984,41275-35606,1S-MH-MU-ZET-CL09-9468,1S-MH-MU-ZET-CL09-9467,1S-MH-MU-ZET-CL09-9467,6,2025-04-04,157.506575342466,8.702053940010414
31984,09561-37443,1S-MH-MU-ZET-CL09-8363,1S-MH-MU-ZET-CL09-9577,1S-MH-MU-ZET-CL09-9577,7,2024-09-03,142.005940594059,7.845662012297224
31984,35605-30287,1S-MH-MU-ZET-CL09-9467,1S-MH-MU-ZET-CL09-8364,1S-MH-MU-ZET-CL09-8364,7,2025-04-04,109.411428571429,6.044853372070436
31984,30288-37122,1S-MH-MU-ZET-CL09-8364,1S-MH-MU-ZET-CL09-9624,1S-MH-MU-ZET-CL09-9624,8,2025-01-03,140.302803738318,7.751565694390157
31987,31987-30329,1S-MH-MU-ZET-RSTN-TILA,1S-MH-MU-ZET-CL09-9178,1S-MH-MU-ZET-CL09-9178,0,2025-04-04,243.288677248677,13.441414669886283
31987,30331-43415,1S-MH-MU-ZET-CL09-9178,1S-MH-MU-ZET-CL09-9577,1S-MH-MU-ZET-CL09-9577,1,2024-09-03,142.005940594059,7.845662012297224
31987,43417-43069,1S-MH-MU-ZET-CL09-9577,1S-MH-MU-ZET-CL09-9016,1S-MH-MU-ZET-CL09-9016,2,2025-04-04,374.68167539267,20.70072403333761
31987,37442-43416,1S-MH-MU-ZET-CL09-9577,1S-MH-MU-ZET-CL09-9577,1S-MH-MU-ZET-CL09-9577,2,2024-09-03,142.005940594059,7.845662012297224
31987,25725-40410,1S-MH-MU-ZET-CL09-9016,1S-MH-MU-ZET-CL09-9567,1S-MH-MU-ZET-CL09-9567,3,2025-04-04,152.369565217391,8.41824014302076
31987,40411-37377,1S-MH-MU-ZET-CL09-9567,1S-MH-MU-ZET-CL09-9527,1S-MH-MU-ZET-CL09-9527,4,2025-04-04,115.939285714286,6.405509838927844
31987,37378-42415,1S-MH-MU-ZET-CL09-9527,1S-MH-MU-ZET-CL09-9659,1S-MH-MU-ZET-CL09-9659,5,2025-04-04,8.86857142857143,0.48997819154192723
31987,42416-36359,1S-MH-MU-ZET-CL09-9659,1S-MH-MU-ZET-CL09-9578,1S-MH-MU-ZET-CL09-9578,6,2025-04-04,284.845161290323,15.737361774959846
31987,36361-17219,1S-MH-MU-ZET-CL09-9578,1S-MH-MU-ZET-CL09-8089,1S-MH-MU-ZET-CL09-8089,7,2025-04-04,437.709634551495,24.182945008152956
31988,31988-36424,1S-MH-MU-ZET-RSTN-TILA,1S-MH-MU-ZET-CL09-9580,1S-MH-MU-ZET-CL09-9580,0,2025-04-04,149.739495798319,8.272931885883095
31988,36425-38240,1S-MH-MU-ZET-CL09-9580,1S-MH-MU-ZET-CL09-9652,1S-MH-MU-ZET-CL09-9652,1,2025-04-04,111.606060606061,6.166104223359141
31988,38239-40491,1S-MH-MU-ZET-CL09-9652,1S-MH-MU-ZET-CL09-9545,1S-MH-MU-ZET-CL09-9545,2,2025-04-04,248.309473684211,13.71880779654675
31988,40493-40989,1S-MH-MU-ZET-CL09-9545,1S-MH-MU-ZET-CL09-9553,1S-MH-MU-ZET-CL09-9553,3,2025-04-04,256.272340425532,14.158746864166154
31988,43867-36361,1S-MH-MU-ZET-CL09-9545,1S-MH-MU-ZET-CL09-9578,1S-MH-MU-ZET-CL09-9578,3,2025-04-04,284.845161290323,15.737361774959846
31988,40990-13017,1S-MH-MU-ZET-CL09-9553,1S-MH-MU-ZET-CL09-8018,1S-MH-MU-ZET-CL09-8018,4,2025-04-04,527.782383419689,29.159358960851655
34369,34369-40997,1S-MH-MU-ZET-RSTN-TILA,1S-MH-MU-ZET-CL08-9764,1S-MH-MU-ZET-CL08-9764,0,2025-04-04,264.678260869565,14.62316413030482
34369,40998-31733,1S-MH-MU-ZET-CL08-9764,1S-MH-MU-ZET-CL08-9254,1S-MH-MU-ZET-CL08-9254,1,2025-04-04,225.398882681564,12.453024458492045
34369,4099-4099,1S-MH-MU-ZET-CL08-9764,1S-MH-MU-ZET-CL08-9764,1S-MH-MU-ZET-CL08-9764,1,2025-04-04,264.678260869565,14.62316413030482
34369,31731-34001,1S-MH-MU-ZET-CL08-9254,1S-MH-MU-ZET-CL08-8156,1S-MH-MU-ZET-CL08-8156,2,2025-04-04,307.531555555556,16.990758505675085
34369,02506-34003,1S-MH-MU-ZET-CL08-8156,1S-MH-MU-ZET-CL08-8156,1S-MH-MU-ZET-CL08-8156,3,2025-04-04,307.531555555556,16.990758505675085
34369,34002-30127,1S-MH-MU-ZET-CL08-8156,1S-MH-MU-ZET-CL08-9165,1S-MH-MU-ZET-CL08-9165,3,2025-04-04,198.812919896641,10.98418113116758
34369,30126-35080,1S-MH-MU-ZET-CL08-9165,1S-MH-MU-ZET-CL08-9818,1S-MH-MU-ZET-CL08-9818,4,2025-04-04,239.170909090909,13.213912798656827
34369,35081-39516,1S-MH-MU-ZET-CL08-9818,1S-MH-MU-ZET-CL08-8750,1S-MH-MU-ZET-CL08-8750,5,2025-04-04,301.133762886598,16.63728794877151
34369,39514-35047,1S-MH-MU-ZET-CL08-8750,1S-MH-MU-ZET-CL08-9405,1S-MH-MU-ZET-CL08-9405,6,2025-04-04,167.181707317073,9.236593657712282
34369,35045-07963,1S-MH-MU-ZET-CL08-9405,1S-MH-MU-ZET-CL08-8082,1S-MH-MU-ZET-CL08-8082,7,2025-04-04,308.57525,17.048421402177617
34369,07962-14844,1S-MH-MU-ZET-CL08-8082,1S-MH-MU-ZET-CL11-8437,1S-MH-MU-ZET-CL11-8437,8,2025-04-04,349.300518134715,19.298444801258707
34369,14457-42476,1S-MH-MU-ZET-CL08-8082,1S-MH-MU-ZET-CL08-9792,1S-MH-MU-ZET-CL08-9792,8,2025-04-04,460.244444444444,25.427966879715747
34369,14846-32774,1S-MH-MU-ZET-CL11-8437,1S-MH-MU-ZET-CL08-9305,1S-MH-MU-ZET-CL08-9305,9,2025-04-04,58.5532934131737,3.2350009295727253
34371,34371-35997,1S-MH-MU-ZET-RSTN-TILA,1S-MH-MU-ZET-CL09-9522,1S-MH-MU-ZET-CL09-9522,0,,,
34371,35995-37893,1S-MH-MU-ZET-CL09-9522,1S-MH-MU-ZET-CL09-9639,1S-MH-MU-ZET-CL09-9639,1,2025-04-04,157.56,8.705005589810282
34371,37894-37447,1S-MH-MU-ZET-CL09-9639,1S-MH-MU-ZET-CL09-9638,1S-MH-MU-ZET-CL09-9638,2,2025-04-04,116.086666666667,6.413652464050388
