SWITCH_ID,YEAR,TARGET_FAULT,cycle_pm,load_range_idx,hist_faults_cum,joint_density,i_mtbf_inv,log1p_LENGTH_KM,recent_8m,recent_24m,log1p_hist_faults_cum,log1p_age_frac
33010,2017,0,0.25,0.918334134704294,0,6.607201850016518,0.0,0.2644390337213813,0,0,0.0,0.0
33018,2017,0,3.0833333333333335,0.9817627646897058,0,6.385696040868455,0.0,0.27246690664530054,0,0,0.0,0.0
33008,2017,0,1.1666666666666667,0.9457339628710598,0,9.91459286432588,0.0,2.0869507766695308,0,0,0.0,0.05212310546989436
33035,2017,0,1.5833333333333333,0.9676896966746452,0,0.0,0.0,0.029135411653523735,0,0,0.0,0.0
33090,2017,0,0.6666666666666666,0.9145208304666829,0,3.3112582781456954,0.0,0.2639015437863775,0,0,0.0,0.08986412096595453
33302,2017,0,1.1666666666666667,1.0866055077797063,0,4.9907670809003335,0.0,1.0998448620706553,0,0,0.0,0.0
33246,2017,0,0.25,1.0231658927817646,0,8.072647960628963,0.0,1.6268608477629232,0,0,0.0,0.0
33150,2017,0,3.4166666666666665,0.9347044271744965,0,8.519407291727934,0.0,1.960617323556056,0,0,0.0,0.0
33004,2017,0,5.25,0.9534982273327505,1,10.434452665528363,0.0,0.7198864777495669,1,1,0.6931471805599453,0.0
33097,2017,0,0.25,0.9243708909073542,0,0.46807056631857824,0.0,1.662572909845022,0,0,0.0,0.0
33036,2017,0,0.3333333333333333,0.9175751225195087,0,8.167946890966599,0.0,1.9101645336066762,0,0,0.0,0.0
33177,2017,0,0.6666666666666666,0.9468595311221438,0,7.013328921529841,0.0,1.8811186435389402,0,0,0.0,0.15236389401358974
33206,2017,1,0.25,0.9269329468949068,0,5.23072510490873,0.0,1.7206704738361274,0,0,0.0,0.0
33205,2017,0,1.5833333333333333,1.012329027958491,0,9.019947961838682,0.0,1.356479276040705,0,0,0.0,0.0
33011,2017,3,1.0833333333333333,0.9277552325243463,0,5.889243236305682,0.0,1.7790510583665993,0,0,0.0,0.0
33207,2017,0,0.6666666666666666,0.9607567578285722,0,0.0,0.0,1.588523523359757,0,0,0.0,0.0
33098,2017,1,0.5833333333333334,0.924334472841717,0,5.745200363862691,0.0,1.6443029997601797,0,0,0.0,0.0
33199,2017,0,0.9166666666666666,0.9879220257988528,0,8.270158511371468,0.0,1.3614892422009195,0,0,0.0,0.0
33317,2017,0,1.25,0.9997905612957273,0,7.449243563176357,0.0,2.1262416317265926,0,0,0.0,0.0
33112,2017,0,2.25,1.0045203825190117,0,7.353481873667181,0.0,1.3136699033988894,0,0,0.0,0.0
33222,2017,0,1.5833333333333333,1.0553270307682627,0,3.467394357162423,0.0,0.25340191463107864,0,0,0.0,0.0
