FROM_SWITCH,TO_SWITCH,FEEDER_ID,FEEDERID_FULL,SOURCE_SS,DESTINATION_SS,SOURCE_LOCATION,DESTINATION_LOCATION,RANK,COMMISSIONEDDATE,NEUTRALMATERIAL,CABLECONDUCTORMATERIAL,CABLETYPE,REMARKS,MEASUREDLENGTH,CLUSTER_TYPE,FROM_SWITCH_N,FEEDER_ID_N,PATH,NO_OF_SEGMENT,DEDUP_KEY,AGG_MEASUREDLENGTH,COMMISSIONEDDATE_DT,SWNO,COMMISSIONEDDATE_DT_OLDEST
37881,31422,41751,VAZIRA_11kV_41751,ROSE MERRY,BEACH CLASSIC,1S-MH-MU-ZNT-CL06-7809,1S-MH-MU-ZNT-CL06-7239,1.3,2016-02-22,AL,AL,XLPE,,240.6,,37881,41751,SWNO_31422 -> SWNO_37881,1,31422,240.6,2016-02-22 00:00:00+00:00,31422,2016-02-22 00:00:00+00:00
37891,40758,38225,SADG_11kV_38225,SHREE SAI SNEHA ENCLAVE,NARESH EMPIRE,1S-MH-MU-ZNT-CL11-7478,1S-MH-MU-ZNT-CL12-7501,7.3,2009-12-02,AL,AL,XLPE,,71.6,,37891,38225,SWNO_37891 -> JT.NO.60 | JT.NO.60 -> SWNO_40758 | JT.NO.60C -> JT.NO.60 | JT.NO.60D -> JT.NO.60C | JT.NO.60E -> JT.NO.60D | JT.NO.60F -> JT.NO.60E | JT.NO.60G -> JT.NO.60F | JT.NO.60H -> JT.NO.60G,8,40758,1023.0,2009-12-02 00:00:00+00:00,40758,2009-12-02 00:00:00+00:00
37894,37447,34371,TLKNGR _11kV_34371,MMRDA MIG,MMRDA LIG,1S-MH-MU-ZET-CL09-9639,1S-MH-MU-ZET-CL09-9638,3,,AL,AL,XLPE,,,,37894,34371,JT.NO.00 -> JT.NO.00,1,37447,0.0,,37447,
37898,9560,31984,TLKNGR _11kV_31984,TILAK NGR SARVMANGAL,HOUSING WEST 3,1S-MH-MU-ZET-CL09-9628,1S-MH-MU-ZET-CL09-8363,4.3,,AL,AL,XLPE,,44.77622373,,37898,31984,SWNO_09560 -> SWNO_37898,1,9560,44.77622373,,9560,
37903,25876,30485,SCRUZ_11kV_30485,PANDIT NEHRU ROAD NO.2,SARLA GARDEN,1S-MH-MU-ZST-CL06-0392,1S-MH-MU-ZST-CL07-0665,2,2016-07-14,AL,AL,XLPE,AS PER HT SLD,256.7,,37903,30485,SWNO_37903 -> JT.NO.1A | JT.NO.1 -> JT.NO.2 | JT.NO.1A -> JT.NO.1 | JT.NO.2 -> JT.NO.2A | JT.NO.2A -> SWNO_25876,5,25876,841.8,2016-07-14 00:00:00+00:00,25876,2016-07-14 00:00:00+00:00
37906,39888,40375,MGHWDI_11kV_40375,ROYAL ENCLAVE,AKRUTI HUBTOWN,1S-MH-MU-ZSC-CL03-3496,1S-MH-MU-ZSC-CL03-3407,4.2,2017-02-27,AL,AL,XLPE,,267.0,,37906,40375,SWNO_39888 -> SWNO_37906,1,39888,267.0,2017-02-27 00:00:00+00:00,39888,2017-02-27 00:00:00+00:00
37908,26473,34728,RNARYL_11kV_34728,KANDIVALI LAKE NO.2,KANDIVALI LAKE,1S-MH-MU-ZCT-CL04-5502,1S-MH-MU-ZCT-CL04-4968,2,2015-07-30,AL,AL,XLPE,,254.5,,37908,34728,SWNO_37908 -> SWNO_26473,1,26473,254.5,2015-07-30 00:00:00+00:00,26473,2015-07-30 00:00:00+00:00
37911,11856,29558,MALAD_11kV_29558,GORASWADI ROAD NO.2,ADARSH VIHAR,1S-MH-MU-ZCT-CL03-5516,1S-MH-MU-ZCT-CL03-4030,2,2005-02-25,AL,AL,XLPE,,55.6,,37911,29558,SWNO_37911 -> JT.NO.97 | JT.NO.97 -> JT.NO.97A | JT.NO.97A -> JT.NO.97B | JT.NO.97B -> JT.NO.97C | JT.NO.97C -> JT.NO.97D | JT.NO.97D -> JT.NO.97E | JT.NO.97E -> JT.NO.97F | JT.NO.97F -> JT.NO.97G | JT.NO.97G -> SWNO_11856,9,11856,635.5999999999999,2005-02-25 00:00:00+00:00,11856,2005-02-25 00:00:00+00:00
37916,17068,41851,BANDRA_11kV_41851,ST. RITTA,JOLLY HIGH RISE,1S-MH-MU-ZST-CL02-1201,1S-MH-MU-ZST-CL02-0227,3,2016-01-14,AL,AL,XLPE,,78.9,,37916,41851,SWNO_37917 -> JT.NO.42A | JT.NO.41 -> SWNO_17068 | JT.NO.42A -> JT.NO.41,3,17068,364.1,2016-01-14 00:00:00+00:00,17068,2016-01-14 00:00:00+00:00
37918,14906,1312,BORIVLI_11kV_01312,ABHINAV NAGAR NO 2,ABHINAV NAGAR,1S-MH-MU-ZNT-CL01-7794,1S-MH-MU-ZNT-CL01-6006,1,2015-12-23,AL,AL,XLPE,,289.9,,37918,1312,SWNO_37918 -> JT.NO.16E | JT.NO.16E -> JT.NO.16F | JT.NO.16F -> SWNO_14906,3,14906,397.4,2015-12-23 00:00:00+00:00,14906,2015-12-23 00:00:00+00:00
