FROM_SWITCH,TO_SWITCH,FEEDER_ID,FEEDERID_FULL,SOURCE_SS,DESTINATION_SS,SOURCE_LOCATION,DESTINATION_LOCATION,RANK,COMMISSIONEDDATE,NEUTRALMATERIAL,CABLECONDUCTORMATERIAL,CABLETYPE,REMARKS,MEASUREDLENGTH,CLUSTER_TYPE,FROM_SWITCH_N,FEEDER_ID_N,PATH,NO_OF_SEGMENT,DEDUP_KEY,AGG_MEASUREDLENGTH,COMMISSIONEDDATE_DT,SWNO,COMMISSIONEDDATE_DT_OLDEST
,,35162,GORAI_11kV_35162,GORAI RSC 52,GORAI RSC 52 SOUTH,1S-MH-MU-ZNT-CL06-6255,1S-MH-MU-ZNT-CL06-6256,4,2020-07-09,AL,AL,XLPE,,38.2,INDUSTRIAL,,35162,SWNO_16641 -> JT.NO.14A | JT.NO.14 -> SWNO_17241 | JT.NO.14B -> JT.NO.14 | JT.NO.14A -> JT.NO.14B,4,,349.5,2024-11-25 00:00:00+00:00,,2020-07-09 00:00:00+00:00
,18413,35367,KALINA_11kV_35367,KALINA SUNDAR NAGAR CHS,KALINA CENTRAL NO.3,1S-MH-MU-ZST-CL07-1375,1S-MH-MU-ZST-CL07-0281,5.2,2020-07-09,AL,AL,XLPE,,183.6,INDUSTRIAL,,35367,JT.NO.3 -> SWNO_18413 | SWNO_12756 -> JT.NO.3,2,18413,292.0,2020-07-09 00:00:00+00:00,18413,2020-07-09 00:00:00+00:00
10004,11543,35037,SHANTIST_11kV_35037,SHANTI NAGAR EAST,DELTA REFRIGERATION,1S-MH-MU-ZNT-CL10-6672,1S-MH-MU-ZNT-CL11-6147,2,2009-12-02,AL,AL,XLPE,,253.3,RESIDENTIAL,10004,35037,SWNO_10004 -> JT.NO.55C | JT.NO.55 -> JT.NO.55A | JT.NO.55A -> JT.NO.55B | JT.NO.55B -> SWNO_11543 | JT.NO.55C -> JT.NO.55,5,11543,779.0,2009-12-02 00:00:00+00:00,11543,2009-12-02 00:00:00+00:00
10008,2907,38717,PALI_11kV_38717,BENSTON,KHATAU ESTATE NO.1,1S-MH-MU-ZST-CL02-0080,1S-MH-MU-ZST-CL02-0303,3.3,,AL,AL,XLPE,,247.5,,10008,38717,JT.NO.1 -> SWNO_02907 | SWNO_10008 -> JT.NO.1,2,2907,521.6,,2907,
10010,41791,30033,PALMCT_11kV_30033,KHARODI SOUTH NO.3,MALWANI MHADA NO.8,1S-MH-MU-ZCT-CL06-4389,1S-MH-MU-ZCT-CL06-5021,3,2021-11-16,AL,AL,XLPE,,109.0,,10010,30033,SWNO_41791 -> JT.NO.103 | JT.NO.103 -> JT.NO.103A | JT.NO.103A -> JT.NO.103B | JT.NO.103B -> JT.NO.103C | JT.NO.103C -> SWNO_10010,5,41791,778.9,2021-11-16 00:00:00+00:00,41791,2021-11-16 00:00:00+00:00
10012,14013,30033,PALMCT_11kV_30033,KHARODI SOUTH NO.3,MALVANI GATE NO.7,1S-MH-MU-ZCT-CL06-4389,1S-MH-MU-ZCT-CL06-4465,2.1,2016-03-29,AL,AL,XLPE,,244.7,,10012,30033,SWNO_10012 -> JT.NO.157 | JT.NO.157 -> JT.NO.157A | JT.NO.157A -> JT.NO.157B | JT.NO.157B -> SWNO_14013,4,14013,373.5,2016-03-29 00:00:00+00:00,14013,2016-03-29 00:00:00+00:00
10015,10439,26416,TGRNGR_11kV_26416,POLYSHOOR PLASTICS,SURYA NGR 1,1S-MH-MU-ZET-CL05-8642,1S-MH-MU-ZET-CL05-8830,3,,AL,AL,PILC,,370.09996927,,10015,26416,SWNO_10015 -> SWNO_10438,1,10439,370.09996927,,10439,
10016,19962,26416,TGRNGR_11kV_26416,POLYSHOOR PLASTICS,SURYA NGR 2,1S-MH-MU-ZET-CL05-8642,1S-MH-MU-ZET-CL05-8831,2.1,,AL,AL,PILC,,225.02152867,,10016,26416,SWNO_19962 -> SWNO_10016,1,19962,225.02152867,,19962,
10031,40764,40936,DINDO_11kV_40936,INDRAPRASTHA,JITENDRA ROAD RAJHANS,1S-MH-MU-ZCT-CL08-4315,1S-MH-MU-ZCT-CL08-5670,8,2019-05-02,AL,AL,XLPE,,133.8,,10031,40936,SWNO_10031 -> JT.NO.115 | JT.NO.115 -> SWNO_40764,2,40764,196.3,2019-05-02 00:00:00+00:00,40764,2019-05-02 00:00:00+00:00
10035,36140,41516,SHRADDHAN_11kV_41516,RIZVI PARK,SAI BABA,1S-MH-MU-ZST-CL03-0444,1S-MH-MU-ZST-CL03-0452,3,2015-05-28,AL,AL,PILC,,60.4,,10035,41516,JT.NO.34 -> JT.NO.35F | SWNO_10035 -> JT.NO.34 | JT.NO.35A -> SWNO_36340 | JT.NO.35B -> JT.NO.35A | JT.NO.35C -> JT.NO.35B | JT.NO.35D -> JT.NO.35C | JT.NO.35E -> JT.NO.35G | JT.NO.35F -> JT.NO.35E | JT.NO.35G -> JT.NO.35L | JT.NO.35J -> JT.NO.35K | JT.NO.35K -> JT.NO.35D | JT.NO.35L -> JT.NO.35J,12,36140,743.5,2015-05-28 00:00:00+00:00,36140,2015-05-28 00:00:00+00:00
10036,40053,40375,MGHWDI_11kV_40375,MINAL APARTMENT,SUPARSHWA URBANA,1S-MH-MU-ZSC-CL03-2521,1S-MH-MU-ZSC-CL03-3588,4.7.1,2019-03-09,AL,AL,XLPE,,105.3,,10036,40375,SWNO_40053 -> SWNO_10036,1,40053,105.3,2019-03-09 00:00:00+00:00,40053,2019-03-09 00:00:00+00:00
10039,14443,40375,MGHWDI_11kV_40375,MINAL APARTMENT,SHIV KRIPA,1S-MH-MU-ZSC-CL03-2521,1S-MH-MU-ZSC-CL03-2744,4.8,,AL,AL,PILC,,55.71847041,,10039,40375,SWNO_14443 -> SWNO_10039,1,14443,55.71847041,,14443,
10043,42241,41753,VAZIRA_11kV_41753,SILVER LINE,NANDAKUVAR CHS,1S-MH-MU-ZNT-CL07-6727,1S-MH-MU-ZNT-CL07-7582,6,2022-05-12,AL,AL,XLPE,,107.4,,10043,41753,SWNO_10043 -> JT.NO.23 | JT.NO.23 -> SWNO_42241,2,42241,200.10000000000002,2022-05-12 00:00:00+00:00,42241,2022-05-12 00:00:00+00:00
10046,11862,41752,VAZIRA_11kV_41752,VAZIRA VILLAGE NORTH,SUNRISE TOWER,1S-MH-MU-ZNT-CL08-6781,1S-MH-MU-ZNT-CL08-6752,5,,AL,AL,PILC,,53.2,,10046,41752,SWNO_10046 -> JT.NO.33 | JT.NO.33 -> JT.NO.33A | JT.NO.33A -> JT.NO.33B | JT.NO.33B -> JT.NO.33C | JT.NO.33C -> JT.NO.33D | JT.NO.33D -> SWNO_11862,6,11862,372.6,,11862,
10049,39976,40936,DINDO_11kV_40936,HEAVEN KORES NO.1,MAKRANIPADA SRA,1S-MH-MU-ZCT-CL08-4301,1S-MH-MU-ZCT-CL08-5691,4.1,2024-05-16,AL,AL,XLPE,,299.2,,10049,40936,SWNO_10049 -> JT.NO.21 | JT.NO.21 -> JT.NO.21A | JT.NO.21A -> JT.NO.21B | JT.NO.21B -> JT.NO.21C | JT.NO.21C -> JT.NO.21D | JT.NO.21D -> SWNO_39976,6,39976,701.2,2024-05-16 00:00:00+00:00,39976,2024-05-16 00:00:00+00:00
10061,15684,26658,ARY220_11kV_26658,BEEKALINE,E R T L,1S-MH-MU-ZSC-CL01-2106,1S-MH-MU-ZSC-CL01-2200,5,2018-09-11,AL,AL,XLPE,,59.1,,10061,26658,SWNO_10061 -> JT.NO.33F | JT.NO.32 -> SWNO_15684 | JT.NO.32A -> JT.NO.32B | JT.NO.32B -> JT.NO.32 | JT.NO.33F -> JT.NO.32A,5,15684,253.10000000000002,2018-09-11 00:00:00+00:00,15684,2018-09-11 00:00:00+00:00
10069,14837,40896,DAHICHNKA_11kV_40896,SRISHTI NO 2,SHANTIDHAM,1S-MH-MU-ZNT-CL10-6716,1S-MH-MU-ZNT-CL10-6669,7,2005-01-04,CU,AL,XLPE,,186.80924968,,10069,40896,SWNO_10069 -> JT.NO.5L | JT.NO.5 -> JT.NO.5G | JT.NO.5A -> JT.NO.5K | JT.NO.5B -> JT.NO.5A | JT.NO.5C -> JT.NO.5B | JT.NO.5D -> JT.NO.5F | JT.NO.5E -> JT.NO.5D | JT.NO.5F -> JT.NO.5C | JT.NO.5G -> SWNO_14837 | JT.NO.5H -> JT.NO.5E | JT.NO.5J -> JT.NO.5H | JT.NO.5K -> JT.NO.5 | JT.NO.5L -> JT.NO.5J,13,14837,823.3000000000001,2005-01-04 00:00:00+00:00,14837,2005-01-04 00:00:00+00:00
10075,32473,40719,DAHISRW_11kV_40719,NILANGI APARTMENT,HARESHWAR PARADISE,1S-MH-MU-ZNT-CL05-6491,1S-MH-MU-ZNT-CL05-7066,4,2022-12-19,AL,AL,XLPE,,38.0,RESIDENTIAL,10075,40719,SWNO_10075 -> JT.NO.1 | JT.NO.1 -> JT.NO.1F | JT.NO.1A -> SWNO_32473 | JT.NO.1E -> JT.NO.1A | JT.NO.1F -> JT.NO.1E,5,32473,767.4,2022-12-19 00:00:00+00:00,32473,2022-12-19 00:00:00+00:00
10079,14248,40362,MGHWDI_11kV_40362,NIRAJ ESTATE,NANDNWAN,1S-MH-MU-ZSC-CL02-2576,1S-MH-MU-ZSC-CL02-2557,11,,AL,AL,PILC,,63.8,,10079,40362,SWNO_10079 -> SWNO_14248,1,14248,63.8,,14248,
10081,12208,26769,SHVNGR _11kV_26769,COMPOST PLANT,KAMALA RAMAN NGR 1,1S-MH-MU-ZET-CL12-8202,1S-MH-MU-ZET-CL12-8409,2,2009-11-02,AL,AL,PILC,,185.51500884,,10081,26769,SWNO_10083 -> SWNO_12208,1,12208,185.51500884,2009-11-02 00:00:00+00:00,12208,2009-11-02 00:00:00+00:00
10087,18708,18615,CHVALI_11kV_18615,MALAD SHOPPING CENTRE,MALAD STATION,1S-MH-MU-ZCT-CL03-4452,1S-MH-MU-ZCT-CL03-4454,9,2024-12-21,AL,AL,XLPE,,210.0,COMMERCIAL,10087,18615,SWNO_10087 -> SWNO_18708,1,18708,210.0,2024-12-21 00:00:00+00:00,18708,2024-12-21 00:00:00+00:00
10090,15592,35038,SHANTIST_11kV_35038,SECTOR NO 4,SHANTI NAGAR EAST NO 2,1S-MH-MU-ZNT-CL10-6656,1S-MH-MU-ZNT-CL10-6676,1.2,2020-12-04,AL,AL,XLPE,,162.9,,10090,35038,SWNO_10090 -> SWNO_15592,1,15592,162.9,2020-12-04 00:00:00+00:00,15592,2020-12-04 00:00:00+00:00
10093,41330,40887,DAHICHNKA_11kV_40887,PRABHAT ROLLER MILL,HIRAL SPLENDER,1S-MH-MU-ZNT-CL09-6540,1S-MH-MU-ZNT-CL09-7459,2,,AL,AL,XLPE,,271.3,,10093,40887,SWNO_10093 -> JT.NO.10 | JT.NO.10 -> JT.NO.10A | JT.NO.10A -> SWNO_41330,3,41330,416.8,,41330,
10101,HTCONSUMER,41714,GHOD_11KV_41714,BHOIR SAND NO.1,,1S-MH-MU-ZNT-CL04-6063,,2.6,1999-10-28,AL,AL,PILC,,10.0,,10101,41714,SWITCHING DEVICE TO DT,1,10101|HTCONSUMER,10.0,,HTCONSUMER,1999-10-28 00:00:00+00:00
10104,42588,26454,DEVIDAS_11kV_26454,KASTURI BAUG,MANDPESHWAR CLUB,1S-MH-MU-ZNT-CL07-6352,1S-MH-MU-ZNT-CL05-6409,4,2007-01-08,AL,AL,XLPE,,41.0,,10104,26454,SWNO_42588 -> JT.NO.1C | JT.NO.1 -> JT.NO.1A | JT.NO.1A -> SWNO_10104 | JT.NO.1B -> JT.NO.1 | JT.NO.1C -> JT.NO.1B,5,42588,243.6,2007-01-08 00:00:00+00:00,42588,2007-01-08 00:00:00+00:00
10106,29399,30477,SCRUZ_11kV_30477,GOLD COIN,YESHWANT NAGAR NO. 4,1S-MH-MU-ZST-CL07-0160,1S-MH-MU-ZST-CL07-0740,2,2018-04-25,AL,AL,XLPE,,131.1,,10106,30477,JT.NO.3C -> SWNO_29399 | JT.NO.3E -> JT.NO.3C | SWNO_10106 -> JT.NO.3E,3,29399,367.7,2018-04-25 00:00:00+00:00,29399,2018-04-25 00:00:00+00:00
10119,6486,40026,BHAVANS_11KV_40026,JUHU WEST,LOHTSE,1S-MH-MU-ZST-CL04-0231,1S-MH-MU-ZST-CL04-0336,7,,AL,AL,XLPE,,219.0,,10119,40026,SWNO_06486 -> SWNO_10119,1,6486,219.0,,6486,
10122,17966,12215,BHYNDR_11kV_12215,BADRI NARAYANDHAM,SAGAR APARTMENT,1S-MH-MU-ZNT-CL02-6036,1S-MH-MU-ZNT-CL02-6618,5,2013-10-07,AL,AL,PILC,,47.7,,10122,12215,SWNO_10122 -> JT.NO.4 | JT.NO.4 -> JT.NO.4A | JT.NO.4A -> JT.NO.4B | JT.NO.4B -> SWNO_17966,8,17966,483.6,2013-10-07 00:00:00+00:00,17966,2013-10-07 00:00:00+00:00
10125,10970,15781,BHYNDR_11kV_15781,VIKAS INDUSTRIES NO 2,KHARI VILLAGE,1S-MH-MU-ZNT-CL02-6789,1S-MH-MU-ZNT-CL02-6367,3,2019-03-25,AL,AL,XLPE,,110.8,INDUSTRIAL,10125,15781,SWNO_10125 -> JT.NO.5 | JT.NO.5 -> JT.NO.5A | JT.NO.5A -> JT.NO.5B | JT.NO.5B -> SWNO_10970,4,10970,794.8,2019-03-25 00:00:00+00:00,10970,2019-03-25 00:00:00+00:00
10131,35474,10206,AMBVLI_11kV_10206,SHEELA GOPAL,CHANDRA GUPT,1S-MH-MU-ZSC-CL07-2739,1S-MH-MU-ZSC-CL07-3317,5,,AL,AL,PILC,,279.0,,10131,10206,SWNO_10131 -> JT.NO.19 | JT.NO.19 -> SWNO_35474,2,35474,300.3,,35474,
10135,10527,29327,CHUNA_11kV_29327,CHUNABHATTI 2,JOGANI IND.EST.1,1S-MH-MU-ZET-CL01-8189,1S-MH-MU-ZET-CL01-8391,4,2020-01-23,AL,AL,XLPE,,311.3,,10135,29327,SWNO_10135 -> SWNO_10527,1,10527,311.3,2020-01-23 00:00:00+00:00,10527,2020-01-23 00:00:00+00:00
10138,38979,18096,MMRDA_11kV_18096,PATHAR NAGAR,PATHAR NAGAR NO 2,1S-MH-MU-ZST-CL05-0412,1S-MH-MU-ZST-CL05-1284,3,2017-11-13,AL,AL,XLPE,,152.1,,10138,18096,JT.NO.1 -> SWNO_38979 | SWNO_43658 -> JT.NO.1,2,38979,429.2,2017-11-13 00:00:00+00:00,38979,2017-11-13 00:00:00+00:00
10142,4654,39638,NESCO_11KV_39638,SHREYAS ESTATE,PARAS IND.NO.1,1S-MH-MU-ZCT-CL07-4702,1S-MH-MU-ZCT-CL07-4568,1.1,2011-11-14,AL,AL,XLPE,,132.2,INDUSTRIAL,10142,39638,SWNO_10142 -> JT.NO.9 | JT.NO.9 -> JT.NO.9A | JT.NO.9A -> JT.NO.9B | JT.NO.9B -> SWNO_04654,4,4654,461.9,2011-11-14 00:00:00+00:00,4654,2011-11-14 00:00:00+00:00
10143,5076,39638,NESCO_11KV_39638,SHREYAS ESTATE,THAKKAR ESTATE,1S-MH-MU-ZCT-CL07-4702,1S-MH-MU-ZCT-CL07-4751,2,2013-08-18,AL,AL,XLPE,,108.2,,10143,39638,SWNO_10143 -> JT.NO.43 | JT.NO.43 -> SWNO_05076,2,5076,157.3,2013-08-18 00:00:00+00:00,5076,2013-08-18 00:00:00+00:00
10146,34992,40941,DINDO_11kV_40941,DINDOSHI HOUSING NO.1,SUGRA TOWER,1S-MH-MU-ZCT-CL08-4190,1S-MH-MU-ZCT-CL09-5227,2,2019-12-03,AL,AL,XLPE,,63.9,,10146,40941,SWNO_10146 -> JT.NO.36 | JT.NO.36 -> JT.NO.36A | JT.NO.36A -> JT.NO.36B | JT.NO.36B -> JT.NO.36C | JT.NO.39C -> SWNO_34992,5,34992,767.4,2019-12-03 00:00:00+00:00,34992,2019-12-03 00:00:00+00:00
10147,14940,19087,VSV220_11kV_19087,SILVER ANKLET NO.1,GOD GIFT,1S-MH-MU-ZSC-CL06-2752,1S-MH-MU-ZSC-CL06-2241,2,,AL,AL,PILC,,83.0,,10147,19087,SWNO_10147 -> JT.NO.22E | JT.NO.22E -> SWNO_14940,2,14940,94.8,,14940,
10148,19591,36711,GKLDHM_11kV_36711,DINDOSHI VASAHAT,JYOTI COMPLEX,1S-MH-MU-ZCT-CL08-4200,1S-MH-MU-ZCT-CL08-4847,3.2,2002-12-10,AL,AL,XLPE,,259.9,,10148,36711,SWNO_10148 -> JT.NO.1 | JT.NO.1 -> JT.NO.1A | JT.NO.1B -> JT.NO.1C | JT.NO.1C -> SWNO_19591,4,19591,556.8,2002-12-10 00:00:00+00:00,19591,2002-12-10 00:00:00+00:00
10149,44149,36711,GKLDHM_11kV_36711,DINDOSHI VASAHAT,MUKADAM COMPOUND NO.2,1S-MH-MU-ZCT-CL08-4200,1S-MH-MU-ZCT-CL09-4859,4,2010-03-29,AL,AL,XLPE,POTHEAD,270.0,SLUM,10149,36711,DINDOSHI VASAHAT TO MUKADAM COMPOUND NO.2 (300MM² DEAD CABLE LAID) | SWNO_10149 -> JT.NO.11 | JT.NO.11 -> JT.NO.11A | JT.NO.11A -> JT.NO.11B | JT.NO.11B -> JT.NO.11C | JT.NO.11C -> JT.NO.11D | JT.NO.11D -> JT.NO.11E | JT.NO.11E -> JT.NO.11F | JT.NO.11F -> JT.NO.11G | JT.NO.11G -> JT.NO.11H | JT.NO.11H -> JT.NO.11J | JT.NO.11J -> JT.NO.11K | JT.NO.11K -> JT.NO.11L | JT.NO.11L -> JT.NO.11M | JT.NO.11M -> JT.NO.11N | JT.NO.11N -> JT.NO.11P | JT.NO.11P -> JT.NO.11Q | JT.NO.11Q -> SWNO_44149,18,44149,1406.9,2010-03-29 00:00:00+00:00,44149,2010-03-29 00:00:00+00:00
10153,5978,25324,BHAYW_11kV_25324,PARIJAT,PATIL ESTATE,1S-MH-MU-ZNT-CL02-6524,1S-MH-MU-ZNT-CL02-6526,9,2017-04-06,CU,CU,PILC,,99.41000979,,10153,25324,SWNO_10153 -> JT.NO.38D | JT.NO.38A -> SWNO_05978 | JT.NO.38B -> JT.NO.38C | JT.NO.38C -> JT.NO.38A | JT.NO.38D -> JT.NO.38B,5,5978,194.61000979000002,2017-04-06 00:00:00+00:00,5978,2017-04-06 00:00:00+00:00
10155,37958,38738,SWMSMTNGR_11KV_38738,AMBIVLI HOUSING NO.1,ORIENTAL SCHOOL,1S-MH-MU-ZSC-CL09-2037,1S-MH-MU-ZSC-CL09-3464,5,2016-04-11,AL,AL,PILC,,185.4,RESIDENTIAL,10155,38738,JT.NO.38D -> SWNO_37958 | SWNO_10155 -> JT.NO.38C | JT.NO.38D | AMBIVALI HSG NO.1 TO ORIENTAL SCHOOL (JT.38A TO JT.38) | JT.NO.38B -> JT.NO.38A | JT.NO.38C -> JT.NO.38B,6,37958,471.2,2016-04-11 00:00:00+00:00,37958,2016-04-11 00:00:00+00:00
10156,16560,38738,SWMSMTNGR_11KV_38738,AMBIVLI HOUSING NO.1,MOURYA ESTATE,1S-MH-MU-ZSC-CL09-2037,1S-MH-MU-ZSC-CL09-2541,4.1,,AL,AL,PILC,,43.5,,10156,38738,SWNO_10156 -> JT.NO.103 | JT.NO.103,2,16560,117.0,,16560,
10157,7863,38739,SWMSMTNGR_11KV_38739,MALA TOWER,YAMUNA NAGAR NO.1,1S-MH-MU-ZSC-CL05-2447,1S-MH-MU-ZSC-CL05-2855,5,2019-06-13,AL,AL,XLPE,,281.2,,10157,38739,SWNO_10157 -> SWNO_07863,1,7863,281.2,2019-06-13 00:00:00+00:00,7863,2019-06-13 00:00:00+00:00
10162,30433,26386,HIRANA_11kV_26386,POWAI TELEPHONE EXCH,SUN HEIGHT,1S-MH-MU-ZET-CL05-8668,1S-MH-MU-ZET-CL05-9190,5,,AL,AL,XLPE,,252.5,,10162,26386,SWNO_10162 -> JT.NO.3 | JT.NO.1 -> SWNO_30433 | JT.NO.2 -> JT.NO.1 | JT.NO.3 -> JT.NO.2,4,30433,499.58040881,,30433,
10164,10192,3640,OMKAR_11kV_03640,SANJAY NAGAR NO.2,PATHANWADI EAST,1S-MH-MU-ZCT-CL09-4673,1S-MH-MU-ZCT-CL09-4578,2.2,2019-04-14,AL,AL,PILC,,13.2,,10164,3640,SWNO_10164 -> JT.NO.83 | JT.NO.83 -> JT.NO.83A | JT.NO.83A -> JT.NO.83B | JT.NO.83B -> JT.NO.83C | JT.NO.83C -> JT.NO.83D | JT.NO.83D -> SWNO_10192,6,10192,319.8,2019-04-14 00:00:00+00:00,10192,2019-04-14 00:00:00+00:00
10165,32205,3640,OMKAR_11kV_03640,SANJAY NAGAR NO.2,KURAR VILLAGE NO.3,1S-MH-MU-ZCT-CL09-4673,1S-MH-MU-ZCT-CL09-4404,2.1,2019-04-21,AL,AL,XLPE,,25.2,,10165,3640,SWNO_10165 -> JT.NO.30 | JT.NO.30 -> JT.NO.30A | JT.NO.30A -> SWNO_32205,3,32205,466.0,2019-04-21 00:00:00+00:00,32205,2019-04-21 00:00:00+00:00
10176,10249,34311,HINGWALA_11kV_34311,SOMAYA COMPUTER,SHATRUNJAYA,1S-MH-MU-ZET-CL06-8808,1S-MH-MU-ZET-CL06-8766,7,,AL,AL,PILC,,156.79874685,,10176,34311,SWNO_10249 -> SWNO_10176,1,10249,156.79874685,,10249,
10179,9630,40875,VSV220_11kV_40875,LOKHANDWALA CENTRAL,LOKHANDWALA NO.4,1S-MH-MU-ZSC-CL05-2397,1S-MH-MU-ZSC-CL05-2402,4,2021-04-29,AL,AL,XLPE,,137.0,,10179,40875,SWNO_10179 -> JT.NO.1 | JT.NO.60 -> SWNO_09630 | JT.NO.60A -> JT.NO.60,3,9630,247.7,2021-04-29 00:00:00+00:00,9630,2021-04-29 00:00:00+00:00
10187,30929,30476,SCRUZ_11kV_30476,BESANT ROAD,SHREYAS RESIDENCY,1S-MH-MU-ZST-CL03-0081,1S-MH-MU-ZST-CL03-0798,4.2,2020-01-23,AL,AL,XLPE,,139.1,,10187,30476,SWNO_10187 -> JT.NO.26 | JT.NO.26 -> JT.NO.26A | JT.NO.26A -> SWNO_30929,3,30929,335.0,2020-01-23 00:00:00+00:00,30929,2020-01-23 00:00:00+00:00
10188,41048,29202,ACRO_11KV_29202,DEONAR HSG.2,DEONAR MATERNITY,1S-MH-MU-ZET-CL08-8221,1S-MH-MU-ZET-CL08-9765,4,2019-08-07,AL,AL,XLPE,,0.57089544,,10188,29202,SWNO_10188 -> JT.NO.01 | JT.NO.01 -> SWNO_41048,2,41048,12.60292329,2019-08-07 00:00:00+00:00,41048,2019-08-07 00:00:00+00:00
10205,10634,10205,AMBVLI_11kV_10205,AMBIVLI REC-STN,SEJAL,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-CL09-2723,2,2016-06-04,AL,AL,PILC,,13.5,,10205,10205,SWNO_10205 -> JT.NO.33F | JT.NO.33 -> JT.NO.33J | JT.NO.33F -> JT.NO.33 | JT.NO.33H -> JT.NO.33L | JT.NO.33J -> JT.NO.33H | JT.NO.33L -> JT.NO.33M | JT.NO.33M -> SWNO_10634,7,10634,646.3,2016-06-04 00:00:00+00:00,10634,2016-06-04 00:00:00+00:00
10205,18556,10205,AMBVLI_11kV_10205,AMBIVLI REC-STN,LAXMI NO.2,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-CL09-2382,1,,AL,AL,XLPE,,10.0,,10205,10205,SWNO_10205 -> JT.NO.21 | SWNO_18556,2,18556,188.8,,18556,
10206,4804,10206,AMBVLI_11kV_10206,AMBIVLI REC-STN,J P ROAD NO.2,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-CL09-2298,1,2017-04-17,AL,AL,PILC,,185.4,INDUSTRIAL,10206,10206,JT.NO.108B -> SWNO_04804 | SWNO_10206 -> JT.NO.108C | JT.NO.108 -> JT.NO.108N | JT.NO.108A -> JT.NO.108J | JT.NO.108C -> JT.NO.108D | JT.NO.108D -> JT.NO.108L | JT.NO.108E -> JT.NO.108B | JT.NO.108F -> JT.NO.108E | JT.NO.108G -> JT.NO.108H | JT.NO.108H -> JT.NO.108 | JT.NO.108J -> JT.NO.108K | JT.NO.108K -> JT.NO.108F | JT.NO.108L -> JT.NO.108M | JT.NO.108M -> JT.NO.108G | JT.NO.108N -> JT.NO.108O | JT.NO.108O -> JT.NO.108A,17,4804,1085.10186724,2017-04-17 00:00:00+00:00,4804,2017-04-17 00:00:00+00:00
10207,41773,10207,AMBVLI_11kV_10207,AMBIVLI REC-STN,CONQUEROR,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-CL05-3321,1,,AL,AL,PILC,,22.5,,10207,10207,SWNO_10207 -> JT.NO.36W | JT.NO.36W -> JT.NO.36Y | JT.NO.36X -> SWNO_41773 | JT.NO.36Y -> JT.NO.36X,4,41773,172.9,,41773,
10209,14433,10209,AMBVLI_11kV_10209,AMBIVLI REC-STN,GOLDEN VILLA,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-CL09-2244,1,2024-05-01,AL,AL,XLPE,,206.0,,10209,10209,JT.NO.37A -> JT.NO.37B | JT.NO.37B -> SWNO_14433 | SWNO_10209 -> JT.NO.37 | JT.NO.37 -> JT.NO.37A,4,14433,587.9,2024-05-01 00:00:00+00:00,14433,2024-05-01 00:00:00+00:00
10210,18335,10210,AMBVLI_11kV_10210,AMBIVLI REC-STN,OCEANGRAPHY,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-CL05-2583,2,2009-04-06,AL,AL,PILC,,77.3,,10210,10210,SWNO_10210 -> JT.NO.54A | JT.NO.54 -> SWNO_18335 | JT.NO.54A -> JT.NO.54G | JT.NO.54C -> JT.NO.54 | JT.NO.54E -> JT.NO.54C | JT.NO.54F -> JT.NO.54E | JT.NO.54G -> JT.NO.54H | JT.NO.54H -> JT.NO.54F,8,18335,708.95602414,2009-04-06 00:00:00+00:00,18335,2009-04-06 00:00:00+00:00
10210,38517,10210,AMBVLI_11kV_10210,AMBIVLI REC-STN,6 7 8 GAZDHAR,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-CL08-3475,1,2009-09-09,AL,AL,PILC,,229.3,,10210,10210,SWNO_10210 | JT.NO.30J | JT.NO.30K -> SWNO_38517,3,38517,524.4,2009-09-09 00:00:00+00:00,38517,2009-09-09 00:00:00+00:00
10211,29463,10211,AMBVLI_11kV_10211,AMBIVLI REC-STN,K.D.A.HOSPITAL,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-CL05-3075,1,2005-09-30,AL,AL,XLPE,,831.5,,10211,10211,SWNO_29463 -> JT.NO.15 | JT.NO.15 -> JT.NO.15A | JT.NO.15A -> SWNO_29463 | SWNO_10223 -> JT.NO.14 | JT.NO.14 -> JT.NO.14A | JT.NO.14A -> SWNO_29460 | SWNO_28693 -> JT.NO.13 | JT.NO.13 -> JT.NO.13A | JT.NO.13A -> SWNO_29466,9,29463,3136.8,2005-09-30 00:00:00+00:00,29463,2005-09-30 00:00:00+00:00
