FROM_SWITCH,TO_SWITCH,FEEDER_ID,FEEDERID_FULL,SOURCE_SS,DESTINATION_SS,SOURCE_LOCATION,DESTINATION_LOCATION,RANK,COMMISSIONEDDATE,NEUTRALMATERIAL,CABLECONDUCTORMATERIAL,CABLETYPE,REMARKS,MEASUREDLENGTH,CLUSTER_TYPE,PATH,NO_OF_SEGMENT,AGG_MEASUREDLENGTH,COMMISSIONEDDATE_DT_OLDEST,NOOFJOINTS,NOOFSUBSTATION
36519.0,28599.0,31984,TLKNGR _11KV_31984,TILAK NGR SARGAM,H P EMPLOYEES CHS,1S-MH-MU-ZET-CL09-9601,1S-MH-MU-ZET-CL09-9085,2,2024-01-21,AL,AL,XLPE,NAN,270.0,,SWNO_36519 -> JT.NO.01 | JT.NO.01 -> SWNO_28599,2,315.79169809,2024-01-21 00:00:00+00:00,53,874
28597.0,37063.0,31984,TLKNGR _11KV_31984,H P EMPLOYEES CHS,TILAK NGR SEVENTEEN,1S-MH-MU-ZET-CL09-9085,1S-MH-MU-ZET-CL09-9531,3,,AL,AL,XLPE,NAN,102.4,,SWNO_28597 -> JT.NO.2 | JT.NO.02 -> JT.NO.02A | JT.NO.02A -> JT.NO.02B | JT.NO.02B -> JT.NO.02C | JT.NO.02C -> JT.NO.02D | JT.NO.2D -> SWNO_37063,6,286.67033244,,55,139
37062.0,43025.0,31984,TLKNGR _11KV_31984,TILAK NGR SEVENTEEN,TILAK NGR JAI HIND,1S-MH-MU-ZET-CL09-9531,1S-MH-MU-ZET-CL09-9644,4,,AL,AL,XLPE,NAN,295.0,,SWNO_37062 -> SWNO_43025,1,295.0,,4,13
42237.0,27042.0,31984,TLKNGR _11KV_31984,TILAK NGR JAI HIND,SANT NAMDEO,1S-MH-MU-ZET-CL09-9644,1S-MH-MU-ZET-CL09-9063,4.1,2022-05-12,AL,AL,XLPE,NAN,113.43876049,,SWNO_27042 -> SWNO_42237,1,113.43876049,2022-05-12 00:00:00+00:00,0,13
27040.0,37897.0,31984,TLKNGR _11KV_31984,SANT NAMDEO,TILAK NGR SARVMANGAL,1S-MH-MU-ZET-CL09-9063,1S-MH-MU-ZET-CL09-9628,4.2,2024-02-07,AL,AL,XLPE,NAN,36.2,,JT.NO.03 | SWNO_09560 -> JT.NO.01 | JT.NO.01 -> JT.NO.02 | JT.NO.02 -> JT.NO.03,4,242.4,2024-02-07 00:00:00+00:00,3,13
37898.0,9560.0,31984,TLKNGR _11KV_31984,TILAK NGR SARVMANGAL,HOUSING WEST 3,1S-MH-MU-ZET-CL09-9628,1S-MH-MU-ZET-CL09-8363,4.3,,AL,AL,XLPE,NAN,44.77622373,,SWNO_09560 -> SWNO_37898,1,44.77622373,,0,13
9561.0,37443.0,31984,TLKNGR _11KV_31984,HOUSING WEST 3,TILAK NGR RAVIKIRAN,1S-MH-MU-ZET-CL09-8363,1S-MH-MU-ZET-CL09-9577,4.4,2024-03-22,AL,AL,XLPE,NAN,98.66595662,,SWNO_09561 -> SWNO_37443,2,275.0,2024-03-22 00:00:00+00:00,2,13
42238.0,38940.0,31984,TLKNGR _11KV_31984,TILAK NGR JAI HIND,TILAK NGR EKTA CHS,1S-MH-MU-ZET-CL09-9644,1S-MH-MU-ZET-CL09-9674,5,2023-10-29,AL,AL,XLPE,NAN,30.81716713,,SWNO_42237 -> JT.NO.12A | JT.NO.12A -> SWNO_38940,2,81.53905852,2023-10-29 00:00:00+00:00,2,27
38941.0,41274.0,31984,TLKNGR _11KV_31984,TILAK NGR EKTA CHS,TILAK NGR EAGLE,1S-MH-MU-ZET-CL09-9674,1S-MH-MU-ZET-CL09-9468,6,2024-02-02,AL,AL,XLPE,NAN,132.35346059,,JT.NO.12 -> JT.NO.12B | SWNO_38941 -> JT.NO.12,2,238.35346059,2024-02-02 00:00:00+00:00,6,79
41275.0,35606.0,31984,TLKNGR _11KV_31984,TILAK NGR EAGLE,TILAK NGR SURYAKIRAN,1S-MH-MU-ZET-CL09-9468,1S-MH-MU-ZET-CL09-9467,7,2021-03-13,AL,AL,XLPE,NAN,47.0,RESIDENTIAL,JT.NO.12B -> SWNO_35606,1,47.0,2021-03-13 00:00:00+00:00,0,79
