FEEDER_ID,FEEDERID_FULL,FROM_SWITCH,TO_SWITCH,SOURCE_SS,DESTINATION_SS,SOURCE_LOCATION,DESTINATION_LOCATION,RANK,COMMISSIONEDDATE,COMMENTS,NEUTRALMATERIAL,CABLECONDUCTORMATERIAL,CABLETYPE,REMARKS,MEASUREDLENGTH
15454,24THRD_11KV_15454,4465,17733,BADRINATH,FOURTEENTH ROAD (14TH),1S-MH-MU-ZST-CL02-0054,1S-MH-MU-ZST-CL02-0003,6,2018-09-20 00:00:00+00:00,BADRINATH TO FOURTEENTH ROAD(14TH) (FROM SWNO_04465 TO JT.NO.1),AL,AL,XLPE,NAN,252.4
15454,24THRD_11KV_15454,4465,17733,BADRINATH,FOURTEENTH ROAD (14TH),1S-MH-MU-ZST-CL02-0054,1S-MH-MU-ZST-CL02-0003,6,2018-09-20 00:00:00+00:00,BADRINATH TO FOURTEENTH ROAD(14TH) (JT.NO.1 TO SWNO_17733),AL,AL,XLPE,NAN,55.5
15454,24THRD_11KV_15454,17731,38557,FOURTEENTH ROAD (14TH),BELLEZA TOWER,1S-MH-MU-ZST-CL02-0003,1S-MH-MU-ZST-CL02-1240,7,2019-04-03 00:00:00+00:00,FOURTEENTH ROAD (14TH) TO BELLEZA TOWER (FROM SWNO_17731 TO JT.NO.1),AL,AL,XLPE,NAN,102.7
15454,24THRD_11KV_15454,17731,38557,FOURTEENTH ROAD (14TH),BELLEZA TOWER,1S-MH-MU-ZST-CL02-0003,1S-MH-MU-ZST-CL02-1240,7,2019-04-03 00:00:00+00:00,FOURTEENTH ROAD (14TH) TO BELLEZA TOWER (JT.NO.1 TO JT.NO.1A),AL,AL,XLPE,NAN,91.6
15454,24THRD_11KV_15454,17731,38557,FOURTEENTH ROAD (14TH),BELLEZA TOWER,1S-MH-MU-ZST-CL02-0003,1S-MH-MU-ZST-CL02-1240,7,2016-12-29 00:00:00+00:00,FOURTEENTH ROAD (14TH) TO BELLEZA TOWER (JT.NO.1A TO SWNO_38557),AL,AL,XLPE,NAN,52.1
15454,24THRD_11KV_15454,38558,10421,BELLEZA TOWER,MADHU PARK,1S-MH-MU-ZST-CL02-1240,1S-MH-MU-ZST-CL03-0344,8,2015-02-18 00:00:00+00:00,MADHU PARK TO BELLEZA TOWER (FROM SWNO_10421 TO JT.NO.1),AL,AL,XLPE,NAN,251.2
15454,24THRD_11KV_15454,38558,10421,BELLEZA TOWER,MADHU PARK,1S-MH-MU-ZST-CL02-1240,1S-MH-MU-ZST-CL03-0344,8,2016-12-29 00:00:00+00:00,MADHU PARK TO BELLEZA TOWER (JT.NO.1 TO SWNO_38558),AL,AL,XLPE,NAN,50.6
15454,24THRD_11KV_15454,4466,35381,BADRINATH,KHAR GYMKHANA NO.2,1S-MH-MU-ZST-CL02-0054,1S-MH-MU-ZST-CL02-0645,5.1,2012-03-07 00:00:00+00:00,BADRINATH TO KHAR GYMKHANA NO.2 (FROM SWNO_04466 TO JT.NO.1),AL,AL,XLPE,NAN,27.4
15454,24THRD_11KV_15454,4466,35381,BADRINATH,KHAR GYMKHANA NO.2,1S-MH-MU-ZST-CL02-0054,1S-MH-MU-ZST-CL02-0645,5.1,2012-03-07 00:00:00+00:00,BADRINATH TO KHAR GYMKHANA NO.2 (JT.NO.1 TO SWNO_35381),AL,AL,XLPE,NAN,68.1
15454,24THRD_11KV_15454,40767,9016,BADRINATH,T K HOTEL,1S-MH-MU-ZST-CL02-0054,1S-MH-MU-ZST-CL02-0526,5.2,2005-02-11 00:00:00+00:00,BADRINATH TO T.K.HOTEL (FROM SWNO_40767 TO JT.NO.1),AL,AL,PILC,NAN,56.5
15454,24THRD_11KV_15454,40767,9016,BADRINATH,T K HOTEL,1S-MH-MU-ZST-CL02-0054,1S-MH-MU-ZST-CL02-0526,5.2,2016-11-03 00:00:00+00:00,BADRINATH TO T.K.HOTEL (JT.NO.1 TO JT.NO.1A),AL,AL,XLPE,NAN,10.2
15454,24THRD_11KV_15454,40767,9016,BADRINATH,T K HOTEL,1S-MH-MU-ZST-CL02-0054,1S-MH-MU-ZST-CL02-0526,5.2,2005-02-11 00:00:00+00:00,BADRINATH TO T.K.HOTEL (JT.NO.1A TO SWNO_09016),AL,AL,PILC,NAN,189.4
15451,24THRD_11KV_15451,15451,31551,24TH ROAD REC-STN,24TH ROAD R/S,1S-MH-MU-ZST-RSTN-24TH,1S-MH-MU-ZST-CL02-0885,1,2009-05-28 00:00:00+00:00,24 TH RD REC STN TO 24 TH RD R/S S/S (FROM SWNO_15451 TO SWNO_31551),AL,AL,XLPE,NAN,12.2
15451,24THRD_11KV_15451,39786,39785,24TH ROAD R/S,PEARL HEIGHT,1S-MH-MU-ZST-CL02-0885,1S-MH-MU-ZST-CL02-0414,2,2019-04-03 00:00:00+00:00,24TH ROAD RS TO PEARL HEIGHT (FROM SWNO_39786 TO JT.NO.4),AL,AL,XLPE,NAN,411.7
15451,24THRD_11KV_15451,39786,39785,24TH ROAD R/S,PEARL HEIGHT,1S-MH-MU-ZST-CL02-0885,1S-MH-MU-ZST-CL02-0414,2,2019-12-18 00:00:00+00:00,24TH ROAD RS TO PEARL HEIGHT (JT.NO.4 TO JT.NO.4A),AL,AL,XLPE,NAN,6.7
15451,24THRD_11KV_15451,39786,39785,24TH ROAD R/S,PEARL HEIGHT,1S-MH-MU-ZST-CL02-0885,1S-MH-MU-ZST-CL02-0414,2,2019-04-03 00:00:00+00:00,24TH ROAD RS TO PEARL HEIGHT (JT.NO.4A TO SWNO_39785),AL,AL,XLPE,NAN,125.1
15451,,15770,29785,PEARL HEIGHT,ORIENTAL PALACE(H.O.P.),1S-MH-MU-ZST-CL02-0414,1S-MH-MU-ZST-CL02-0198,3,NAN,PEARL HEIGHTS TO HOTEL ORIENTAL PALACE (FROM SWNO_15770 TO JT.NO.13E),AL,AL,PILC,DISCONNECTED,64.2
15451,,15770,29785,PEARL HEIGHT,ORIENTAL PALACE(H.O.P.),1S-MH-MU-ZST-CL02-0414,1S-MH-MU-ZST-CL02-0198,3,NAN,PEARL HEIGHTS TO HOTEL ORIENTAL PALACE (JT.NO.13C TO SWNO_29785),AL,AL,PILC,DISCONNECTED,55.0
15451,,15770,29785,PEARL HEIGHT,ORIENTAL PALACE(H.O.P.),1S-MH-MU-ZST-CL02-0414,1S-MH-MU-ZST-CL02-0198,3,NAN,PEARL HEIGHTS TO HOTEL ORIENTAL PALACE (JT.NO.13D TO JT.NO.13C),AL,AL,PILC,DISCONNECTED,15.0
15451,,15770,29785,PEARL HEIGHT,ORIENTAL PALACE(H.O.P.),1S-MH-MU-ZST-CL02-0414,1S-MH-MU-ZST-CL02-0198,3,NAN,PEARL HEIGHTS TO HOTEL ORIENTAL PALACE (JT.NO.13E TO JT.NO.13D),AL,AL,PILC,DISCONNECTED,82.0
15451,24THRD_11KV_15451,15770,29785,PEARL HEIGHT,ORIENTAL PALACE(H.O.P.),1S-MH-MU-ZST-CL02-0414,1S-MH-MU-ZST-CL02-0198,3,2019-04-01 00:00:00+00:00,PEARL HEIGHT TO ORIENTAL PALACE (H.O.P.) (FROM SWNO_15770 TO SWNO_29785),AL,AL,XLPE,NAN,260.4
15451,24THRD_11KV_15451,29783,37301,ORIENTAL PALACE(H.O.P.),MAKHIJA ROYALE,1S-MH-MU-ZST-CL02-0198,1S-MH-MU-ZST-CL02-1121,4,NAN,NEW HOTEL ORIENTAL PALACE TO MAKHIJA ROYALE (FROM SWNO_29783 TO JT.NO.14A),AL,AL,XLPE,NAN,29.0
15451,24THRD_11KV_15451,29783,37301,ORIENTAL PALACE(H.O.P.),MAKHIJA ROYALE,1S-MH-MU-ZST-CL02-0198,1S-MH-MU-ZST-CL02-1121,4,NAN,NEW HOTEL ORIENTAL PALACE TO MAKHIJA ROYALE (JT.NO.14A TO JT.NO.2),AL,AL,XLPE,NAN,76.2
15451,24THRD_11KV_15451,29783,37301,ORIENTAL PALACE(H.O.P.),MAKHIJA ROYALE,1S-MH-MU-ZST-CL02-0198,1S-MH-MU-ZST-CL02-1121,4,2014-05-04 00:00:00+00:00,NEW HOTEL ORIENTAL PALACE TO MAKHIJA ROYALE (JT.NO.2 TO SWNO_37301),AL,AL,XLPE,NAN,31.1
15451,24THRD_11KV_15451,37302,6351,MAKHIJA ROYALE,HRISHIKESH,1S-MH-MU-ZST-CL02-1121,1S-MH-MU-ZST-CL02-0200,5,2014-05-05 00:00:00+00:00,MAKHIJA ROYALE TO HRISHIKESH (FROM SWNO_37302 TO JT.NO.14C),AL,AL,XLPE,NAN,22.7
15451,24THRD_11KV_15451,37302,6351,MAKHIJA ROYALE,HRISHIKESH,1S-MH-MU-ZST-CL02-1121,1S-MH-MU-ZST-CL02-0200,5,NAN,MAKHIJA ROYALE TO HRISHIKESH (JT.NO.1 TO JT.NO.16),AL,AL,PILC,NAN,8.5
15451,24THRD_11KV_15451,37302,6351,MAKHIJA ROYALE,HRISHIKESH,1S-MH-MU-ZST-CL02-1121,1S-MH-MU-ZST-CL02-0200,5,2021-01-18 00:00:00+00:00,MAKHIJA ROYALE TO HRISHIKESH (JT.NO.14B TO SWNO_06351),AL,AL,XLPE,NAN,9.0
15451,24THRD_11KV_15451,37302,6351,MAKHIJA ROYALE,HRISHIKESH,1S-MH-MU-ZST-CL02-1121,1S-MH-MU-ZST-CL02-0200,5,NAN,MAKHIJA ROYALE TO HRISHIKESH (JT.NO.14C TO JT.NO.3),AL,AL,XLPE,NAN,4.9
15451,24THRD_11KV_15451,37302,6351,MAKHIJA ROYALE,HRISHIKESH,1S-MH-MU-ZST-CL02-1121,1S-MH-MU-ZST-CL02-0200,5,2021-03-05 00:00:00+00:00,MAKHIJA ROYALE TO HRISHIKESH (JT.NO.16 TO JT.NO.16A),AL,AL,XLPE,NAN,5.0
15451,24THRD_11KV_15451,37302,6351,MAKHIJA ROYALE,HRISHIKESH,1S-MH-MU-ZST-CL02-1121,1S-MH-MU-ZST-CL02-0200,5,NAN,MAKHIJA ROYALE TO HRISHIKESH (JT.NO.16A TO JT.NO.3A),AL,AL,PILC,NAN,37.4
15451,24THRD_11KV_15451,37302,6351,MAKHIJA ROYALE,HRISHIKESH,1S-MH-MU-ZST-CL02-1121,1S-MH-MU-ZST-CL02-0200,5,NAN,MAKHIJA ROYALE TO HRISHIKESH (JT.NO.2 TO JT.NO.1),AL,AL,XLPE,NAN,117.6
15451,24THRD_11KV_15451,37302,6351,MAKHIJA ROYALE,HRISHIKESH,1S-MH-MU-ZST-CL02-1121,1S-MH-MU-ZST-CL02-0200,5,NAN,MAKHIJA ROYALE TO HRISHIKESH (JT.NO.3 TO JT.NO.2),AL,AL,XLPE,NAN,29.8
15451,24THRD_11KV_15451,37302,6351,MAKHIJA ROYALE,HRISHIKESH,1S-MH-MU-ZST-CL02-1121,1S-MH-MU-ZST-CL02-0200,5,NAN,MAKHIJA ROYALE TO HRISHIKESH (JT.NO.3A TO JT.NO.14B),AL,AL,PILC,NAN,11.1
15451,24THRD_11KV_15451,6353,38538,HRISHIKESH,DARVESH GRAND,1S-MH-MU-ZST-CL02-0200,1S-MH-MU-ZST-CL02-1253,6,NAN,HRISHIKESH TO DARVESH GRAND (FROM SWNO_06353 TO JT.NO.1),AL,AL,XLPE,NAN,260.9
15451,24THRD_11KV_15451,6353,38538,HRISHIKESH,DARVESH GRAND,1S-MH-MU-ZST-CL02-0200,1S-MH-MU-ZST-CL02-1253,6,NAN,HRISHIKESH TO DARVESH GRAND (JT.NO.1 TO SWNO_38538),AL,AL,XLPE,NAN,38.6
15451,24THRD_11KV_15451,38537,5999,DARVESH GRAND,THIRD ROAD (3RD),1S-MH-MU-ZST-CL02-1253,1S-MH-MU-ZST-CL02-0013,7,NAN,3RD ROAD KHAR TO DARVESH GRAND (FROM SWNO_05999 TO JT.NO.36B),AL,AL,XLPE,NAN,21.3
15451,24THRD_11KV_15451,38537,5999,DARVESH GRAND,THIRD ROAD (3RD),1S-MH-MU-ZST-CL02-1253,1S-MH-MU-ZST-CL02-0013,7,2008-12-04 00:00:00+00:00,3RD ROAD KHAR TO DARVESH GRAND (JT.NO.36B TO JT.NO.36D),AL,AL,XLPE,NAN,139.0
15451,24THRD_11KV_15451,38537,5999,DARVESH GRAND,THIRD ROAD (3RD),1S-MH-MU-ZST-CL02-1253,1S-MH-MU-ZST-CL02-0013,7,2017-03-10 00:00:00+00:00,3RD ROAD KHAR TO DARVESH GRAND (JT.NO.36D TO SWNO_38537),AL,AL,XLPE,NAN,76.4
15451,24THRD_11KV_15451,30975,36876,THIRD ROAD (3RD),FORTUNE PARADISE,1S-MH-MU-ZST-CL02-0013,1S-MH-MU-ZST-CL02-1164,8,NAN,3RD RD. KHAR TO FORTUNE PARADISE (FROM SWNO_30975 TO JT.NO.1),AL,AL,XLPE,NAN,30.6
15451,24THRD_11KV_15451,30975,36876,THIRD ROAD (3RD),FORTUNE PARADISE,1S-MH-MU-ZST-CL02-0013,1S-MH-MU-ZST-CL02-1164,8,NAN,3RD RD. KHAR TO FORTUNE PARADISE (JT.NO.1 TO JT.NO.2),AL,AL,XLPE,NAN,47.6
15451,24THRD_11KV_15451,30975,36876,THIRD ROAD (3RD),FORTUNE PARADISE,1S-MH-MU-ZST-CL02-0013,1S-MH-MU-ZST-CL02-1164,8,NAN,3RD RD. KHAR TO FORTUNE PARADISE (JT.NO.1B TO JT.NO.1C),AL,AL,PILC,NAN,37.4
15451,24THRD_11KV_15451,30975,36876,THIRD ROAD (3RD),FORTUNE PARADISE,1S-MH-MU-ZST-CL02-0013,1S-MH-MU-ZST-CL02-1164,8,NAN,3RD RD. KHAR TO FORTUNE PARADISE (JT.NO.1C TO JT.NO.1D),AL,AL,XLPE,NAN,4.5
15451,24THRD_11KV_15451,30975,36876,THIRD ROAD (3RD),FORTUNE PARADISE,1S-MH-MU-ZST-CL02-0013,1S-MH-MU-ZST-CL02-1164,8,2015-01-05 00:00:00+00:00,3RD RD. KHAR TO FORTUNE PARADISE (JT.NO.1D TO SWNO_36876),AL,AL,XLPE,NAN,33.6
15451,24THRD_11KV_15451,30975,36876,THIRD ROAD (3RD),FORTUNE PARADISE,1S-MH-MU-ZST-CL02-0013,1S-MH-MU-ZST-CL02-1164,8,NAN,3RD RD. KHAR TO FORTUNE PARADISE (JT.NO.2 TO JT.NO.2A),AL,AL,XLPE,NAN,5.0
15451,24THRD_11KV_15451,30975,36876,THIRD ROAD (3RD),FORTUNE PARADISE,1S-MH-MU-ZST-CL02-0013,1S-MH-MU-ZST-CL02-1164,8,NAN,3RD RD. KHAR TO FORTUNE PARADISE (JT.NO.2A TO JT.NO.1B),AL,AL,PILC,NAN,6.3
15451,24THRD_11KV_15451,36874,32412,FORTUNE PARADISE,SIMRAN PLAZA,1S-MH-MU-ZST-CL02-1164,1S-MH-MU-ZST-CL02-0842,9,2015-01-05 00:00:00+00:00,FORTUNE PARADISE TO SIMRAN PLAZA (FROM SWNO_36874 TO JT.NO.1C),AL,AL,XLPE,NAN,37.3
15451,24THRD_11KV_15451,36874,32412,FORTUNE PARADISE,SIMRAN PLAZA,1S-MH-MU-ZST-CL02-1164,1S-MH-MU-ZST-CL02-0842,9,2009-12-08 00:00:00+00:00,FORTUNE PARADISE TO SIMRAN PLAZA (JT.NO.1B TO SWNO_32412),AL,AL,XLPE,NAN,35.4
15451,24THRD_11KV_15451,36874,32412,FORTUNE PARADISE,SIMRAN PLAZA,1S-MH-MU-ZST-CL02-1164,1S-MH-MU-ZST-CL02-0842,9,NAN,FORTUNE PARADISE TO SIMRAN PLAZA (JT.NO.1C TO JT.NO.1B),AL,AL,PILC,NAN,29.00277634
15451,24THRD_11KV_15451,32410,35496,SIMRAN PLAZA,EMBASSY CHAMBER,1S-MH-MU-ZST-CL02-0842,1S-MH-MU-ZST-CL02-0978,10,2009-12-08 00:00:00+00:00,SIMRAN PLAZA TO EMBASSY CHEMBER (FROM SWNO_32410 TO JT.NO.52),AL,AL,XLPE,NAN,60.5
15451,24THRD_11KV_15451,32410,35496,SIMRAN PLAZA,EMBASSY CHAMBER,1S-MH-MU-ZST-CL02-0842,1S-MH-MU-ZST-CL02-0978,10,2012-03-15 00:00:00+00:00,SIMRAN PLAZA TO EMBASSY CHEMBER (JT.NO.52 TO SWNO_35496),AL,AL,XLPE,NAN,43.9
15451,24THRD_11KV_15451,35494,40416,EMBASSY CHAMBER,H-WEST WARD,1S-MH-MU-ZST-CL02-0978,1S-MH-MU-ZST-CL02-1347,11,2020-03-03 00:00:00+00:00,EMBASSY CHAMBER TO H-WEST WARD (FROM SWNO_35494 TO SWNO_40416),AL,AL,XLPE,AS PER HT SLD,215.9
15451,24THRD_11KV_15451,6001,39046,THIRD ROAD (3RD),GOBINDDHAM,1S-MH-MU-ZST-CL02-0013,1S-MH-MU-ZST-CL02-1278,7.1,2017-05-04 00:00:00+00:00,GOBINDDHAM TO 3RD RD. KHAR (FROM SWNO_39048 TO JT.NO.53B),AL,AL,XLPE,NAN,26.0
15451,24THRD_11KV_15451,6001,39046,THIRD ROAD (3RD),GOBINDDHAM,1S-MH-MU-ZST-CL02-0013,1S-MH-MU-ZST-CL02-1278,7.1,NAN,GOBINDDHAM TO 3RD RD. KHAR (JT.NO.52 TO JT.NO.52D),AL,AL,PILC,NAN,134.1
15451,24THRD_11KV_15451,6001,39046,THIRD ROAD (3RD),GOBINDDHAM,1S-MH-MU-ZST-CL02-0013,1S-MH-MU-ZST-CL02-1278,7.1,2008-12-04 00:00:00+00:00,GOBINDDHAM TO 3RD RD. KHAR (JT.NO.52D TO SWNO_06001),AL,AL,XLPE,NAN,20.8
15451,24THRD_11KV_15451,6001,39046,THIRD ROAD (3RD),GOBINDDHAM,1S-MH-MU-ZST-CL02-0013,1S-MH-MU-ZST-CL02-1278,7.1,2021-03-17 00:00:00+00:00,GOBINDDHAM TO 3RD RD. KHAR (JT.NO.53B TO JT.NO.52),AL,AL,XLPE,NAN,195.9
15451,24THRD_11KV_15451,18940,719,HRISHIKESH,KHAR SOUTH,1S-MH-MU-ZST-CL02-0200,1S-MH-MU-ZST-CL02-0296,5.1,NAN,KHAR (S) TO RISHIKESH (FROM JT.NO.41 TO JT.NO.42),AL,AL,PILC,NAN,10.3
15451,24THRD_11KV_15451,18940,719,HRISHIKESH,KHAR SOUTH,1S-MH-MU-ZST-CL02-0200,1S-MH-MU-ZST-CL02-0296,5.1,NAN,KHAR (S) TO RISHIKESH (FROM JT.NO.42 TO SWNO_18940),AL,AL,XLPE,NAN,59.9
15451,24THRD_11KV_15451,18940,719,HRISHIKESH,KHAR SOUTH,1S-MH-MU-ZST-CL02-0200,1S-MH-MU-ZST-CL02-0296,5.1,NAN,KHAR (S) TO RISHIKESH (FROM SWNO_00719 TO JT.NO.41),AL,AL,XLPE,NAN,24.1
15451,24THRD_11KV_15451,31553,39603,24TH ROAD R/S,KHAR REC-STN,1S-MH-MU-ZST-CL02-0885,1S-MH-MU-ZST-RSTN-KHAR,1.1,2019-04-01 00:00:00+00:00,24TH ROAD RS TO KHAR REC-STN (FROM SWNO.31553 TO JT.NO.1E),AL,AL,XLPE,NAN,35.5
15451,24THRD_11KV_15451,31553,39603,24TH ROAD R/S,KHAR REC-STN,1S-MH-MU-ZST-CL02-0885,1S-MH-MU-ZST-RSTN-KHAR,1.1,2008-12-26 00:00:00+00:00,24TH ROAD RS TO KHAR REC-STN (JT.NO.1 TO JT.NO.2),AL,AL,XLPE,NAN,205.5
15451,24THRD_11KV_15451,31553,39603,24TH ROAD R/S,KHAR REC-STN,1S-MH-MU-ZST-CL02-0885,1S-MH-MU-ZST-RSTN-KHAR,1.1,2008-12-26 00:00:00+00:00,24TH ROAD RS TO KHAR REC-STN (JT.NO.1A TO JT.NO.1B),AL,AL,XLPE,NAN,161.7
