FEEDER_ID,FROM_TO,SOURCE_LOCATION,DESTINATION_LOCATION,LOCATION,RANK,LATEST_DT_DATE,DT_LOAD
42279,16763-DT,1S-MH-MU-ZNT-CL06-6245,1S-MH-MU-ZNT-CL06-6245,1S-MH-MU-ZNT-CL06-6245,3,2025-04-04,553.6805825242718
42281,30146-DT,1S-MH-MU-ZNT-CL06-7063,1S-MH-MU-ZNT-CL06-7063,1S-MH-MU-ZNT-CL06-7063,1,2025-04-04,303.7687128712871
42281,18077-DT,1S-MH-MU-ZNT-CL06-6826,1S-MH-MU-ZNT-CL06-6826,1S-MH-MU-ZNT-CL06-6826,2,2025-04-04,172.60155339805826
42281,28538-DT,1S-MH-MU-ZNT-CL06-6977,1S-MH-MU-ZNT-CL06-6977,1S-MH-MU-ZNT-CL06-6977,3,2025-04-04,228.69326829268292
42281,17655-DT,1S-MH-MU-ZNT-CL06-6884,1S-MH-MU-ZNT-CL06-6884,1S-MH-MU-ZNT-CL06-6884,4,2025-04-04,258.57073170731707
42281,13537-DT,1S-MH-MU-ZNT-CL06-6885,1S-MH-MU-ZNT-CL06-6885,1S-MH-MU-ZNT-CL06-6885,5,2025-04-04,453.5170731707317
42282,36222-DT,1S-MH-MU-ZNT-CL06-7666,1S-MH-MU-ZNT-CL06-7666,1S-MH-MU-ZNT-CL06-7666,1,2025-04-04,317.5181818181818
42282,36252-DT,1S-MH-MU-ZNT-CL06-6238,1S-MH-MU-ZNT-CL06-6238,1S-MH-MU-ZNT-CL06-6238,2,2025-04-04,305.13703470031544
42282,11451-DT,1S-MH-MU-ZNT-CL06-6238,1S-MH-MU-ZNT-CL06-6238,1S-MH-MU-ZNT-CL06-6238,2,2025-04-04,305.13703470031544
42282,39677-DT,1S-MH-MU-ZNT-CL06-6242,1S-MH-MU-ZNT-CL06-6242,1S-MH-MU-ZNT-CL06-6242,3,2025-04-04,412.1552941176471
42282,42115-DT,1S-MH-MU-ZNT-CL06-6242,1S-MH-MU-ZNT-CL06-6242,1S-MH-MU-ZNT-CL06-6242,3,2025-04-04,412.1552941176471
42282,39790-DT,1S-MH-MU-ZNT-CL06-6248,1S-MH-MU-ZNT-CL06-6248,1S-MH-MU-ZNT-CL06-6248,4,2025-04-04,465.9823220973783
42282,16925-DT,1S-MH-MU-ZNT-CL06-6248,1S-MH-MU-ZNT-CL06-6248,1S-MH-MU-ZNT-CL06-6248,4,2025-04-04,465.9823220973783
42282,17245-DT,1S-MH-MU-ZNT-CL06-6247,1S-MH-MU-ZNT-CL06-6247,1S-MH-MU-ZNT-CL06-6247,5,2025-04-04,333.08446601941745
42282,28541-DT,1S-MH-MU-ZNT-CL06-6974,1S-MH-MU-ZNT-CL06-6974,1S-MH-MU-ZNT-CL06-6974,5,2025-04-04,496.8510679611651
1501,01501-CAP BANK,1S-MH-MU-ZCT-RSTN-GORE,1S-MH-MU-ZCT-RSTN-GORE,1S-MH-MU-ZCT-RSTN-GORE,0,2025-04-04,83.99183673469388
1502,02088-DT,1S-MH-MU-ZCT-CL01-4649,1S-MH-MU-ZCT-CL01-4649,1S-MH-MU-ZCT-CL01-4649,1,2025-04-04,580.739512195122
1502,40142-DT,1S-MH-MU-ZCT-CL01-5621,1S-MH-MU-ZCT-CL01-5621,1S-MH-MU-ZCT-CL01-5621,2,2025-04-04,123.48923076923076
1502,02360-DT,1S-MH-MU-ZCT-CL01-4096,1S-MH-MU-ZCT-CL01-4096,1S-MH-MU-ZCT-CL01-4096,3,2024-09-03,268.38578680203045
1502,25649-DT,1S-MH-MU-ZCT-CL01-4934,1S-MH-MU-ZCT-CL01-4934,1S-MH-MU-ZCT-CL01-4934,4,2025-04-04,501.1843137254902
1502,18806-DT,1S-MH-MU-ZCT-CL01-4842,1S-MH-MU-ZCT-CL01-4842,1S-MH-MU-ZCT-CL01-4842,4,2025-04-04,376.624154589372
1502,25968-DT,1S-MH-MU-ZCT-CL01-4948,1S-MH-MU-ZCT-CL01-4948,1S-MH-MU-ZCT-CL01-4948,5,2025-04-04,581.2421052631579
1502,43787-DT,1S-MH-MU-ZCT-CL01-5257,1S-MH-MU-ZCT-CL01-5257,1S-MH-MU-ZCT-CL01-5257,6,2025-04-04,317.2706086956522
1502,37490-DT,1S-MH-MU-ZCT-CL01-5257,1S-MH-MU-ZCT-CL01-5257,1S-MH-MU-ZCT-CL01-5257,6,2025-04-04,317.2706086956522
1502,41471-DT,1S-MH-MU-ZCT-CL01-5728,,,7,,
1502,19789-DT,1S-MH-MU-ZCT-CL01-4581,1S-MH-MU-ZCT-CL01-4581,1S-MH-MU-ZCT-CL01-4581,8,2025-04-04,301.9508133971292
1502,43568-DT,,1S-MH-MU-ZCT-CL01-5794,1S-MH-MU-ZCT-CL01-5794,8,2025-04-04,38.4
1502,43565-DT,,1S-MH-MU-ZCT-CL01-5794,1S-MH-MU-ZCT-CL01-5794,8,2025-04-04,38.4
1502,00791-DT,1S-MH-MU-ZCT-CL01-4092,1S-MH-MU-ZCT-CL01-4092,1S-MH-MU-ZCT-CL01-4092,9,2024-08-03,142.02346938775509
1502,14768-DT,1S-MH-MU-ZSC-CL08-2896,1S-MH-MU-ZSC-CL08-2896,1S-MH-MU-ZSC-CL08-2896,10,2025-03-06,247.3795918367347
1503,38530-DT,1S-MH-MU-ZCT-CL01-4332,1S-MH-MU-ZCT-CL01-4332,1S-MH-MU-ZCT-CL01-4332,1,2025-04-04,521.4134615384615
1503,11956-DT,1S-MH-MU-ZCT-CL01-4077,1S-MH-MU-ZCT-CL01-4077,1S-MH-MU-ZCT-CL01-4077,2,2025-04-04,277.6829268292683
1503,31575-DT,1S-MH-MU-ZCT-CL02-4279,1S-MH-MU-ZCT-CL02-4279,1S-MH-MU-ZCT-CL02-4279,3,2025-04-04,328.6578431372549
1503,00289-DT,1S-MH-MU-ZCT-CL02-4280,1S-MH-MU-ZCT-CL02-4280,1S-MH-MU-ZCT-CL02-4280,4,2025-04-04,114.27918781725889
1503,00169-DT,1S-MH-MU-ZCT-CL02-4280,1S-MH-MU-ZCT-CL02-4280,1S-MH-MU-ZCT-CL02-4280,4,2025-04-04,114.27918781725889
1503,25293-DT,1S-MH-MU-ZCT-CL01-4593,1S-MH-MU-ZCT-CL01-4593,1S-MH-MU-ZCT-CL01-4593,4,2025-04-04,465.99121951219513
1503,34571-DT,1S-MH-MU-ZCT-CL02-5220,1S-MH-MU-ZCT-CL02-5220,1S-MH-MU-ZCT-CL02-5220,5,2025-04-04,186.59578947368425
1503,18402-DT,1S-MH-MU-ZCT-CL02-4439,1S-MH-MU-ZCT-CL02-4439,1S-MH-MU-ZCT-CL02-4439,5,2025-04-04,239.4066985645933
1503,28357-DT,1S-MH-MU-ZCT-CL02-5008,1S-MH-MU-ZCT-CL02-5008,1S-MH-MU-ZCT-CL02-5008,6,2025-04-04,278.60235294117643
1503,28358-DT,1S-MH-MU-ZCT-CL02-5008,1S-MH-MU-ZCT-CL02-5008,1S-MH-MU-ZCT-CL02-5008,6,2025-04-04,278.60235294117643
1503,16017-DT,1S-MH-MU-ZCT-CL01-4584,1S-MH-MU-ZCT-CL01-4584,1S-MH-MU-ZCT-CL01-4584,6,2025-04-04,127.41805825242716
1503,02125-DT,1S-MH-MU-ZCT-CL01-4583,1S-MH-MU-ZCT-CL01-4583,1S-MH-MU-ZCT-CL01-4583,7,2025-04-04,514.730495049505
1504,26626-DT,1S-MH-MU-ZSC-CL05-2995,1S-MH-MU-ZSC-CL05-2995,1S-MH-MU-ZSC-CL05-2995,1,2025-04-04,415.0696
1504,28317-DT,1S-MH-MU-ZSC-CL05-3036,1S-MH-MU-ZSC-CL05-3036,1S-MH-MU-ZSC-CL05-3036,2,2025-04-04,223.4759878419453
1504,42582-DT,1S-MH-MU-ZSC-CL05-3036,1S-MH-MU-ZSC-CL05-3036,1S-MH-MU-ZSC-CL05-3036,2,2025-04-04,223.4759878419453
1504,18568-DT,1S-MH-MU-ZSC-CL05-2057,1S-MH-MU-ZSC-CL05-2057,1S-MH-MU-ZSC-CL05-2057,2,2024-04-29,319.0576344086021
1504,35052-DT,1S-MH-MU-ZSC-CL09-2901,1S-MH-MU-ZSC-CL09-2901,1S-MH-MU-ZSC-CL09-2901,2,2025-04-04,462.29743589743583
1504,19973-DT,1S-MH-MU-ZSC-CL08-2931,1S-MH-MU-ZSC-CL08-2931,1S-MH-MU-ZSC-CL08-2931,3,2025-04-04,338.8323404255319
1504,15828-DT,1S-MH-MU-ZSC-CL08-2591,1S-MH-MU-ZSC-CL08-2591,1S-MH-MU-ZSC-CL08-2591,4,2025-04-04,292.289552238806
1504,09623-DT,1S-MH-MU-ZSC-CL08-2637,1S-MH-MU-ZSC-CL08-2637,1S-MH-MU-ZSC-CL08-2637,5,2025-04-04,266.05148514851487
1504,40562-DT,1S-MH-MU-ZSC-CL08-3612,1S-MH-MU-ZSC-CL08-3612,1S-MH-MU-ZSC-CL08-3612,6,2025-04-04,413.46
1506,19159-DT,1S-MH-MU-ZCT-CL01-4281,1S-MH-MU-ZCT-CL01-4281,1S-MH-MU-ZCT-CL01-4281,1,2025-04-04,637.4902912621359
1506,36838-DT,1S-MH-MU-ZCT-CL01-5454,1S-MH-MU-ZCT-CL01-5454,1S-MH-MU-ZCT-CL01-5454,2,2025-04-04,280.0292682926829
1506,34832-DT,1S-MH-MU-ZCT-CL01-5222,1S-MH-MU-ZCT-CL01-5222,1S-MH-MU-ZCT-CL01-5222,3,2025-04-04,181.0654970760234
1506,19248-DT,1S-MH-MU-ZCT-CL01-4867,1S-MH-MU-ZCT-CL01-4867,1S-MH-MU-ZCT-CL01-4867,4,2025-04-04,227.5016267942584
1506,29410-DT,1S-MH-MU-ZCT-CL01-5064,1S-MH-MU-ZCT-CL01-5064,1S-MH-MU-ZCT-CL01-5064,5,2025-04-04,179.0672081218274
1506,31937-DT,1S-MH-MU-ZCT-CL01-5064,1S-MH-MU-ZCT-CL01-5064,1S-MH-MU-ZCT-CL01-5064,5,2025-04-04,179.0672081218274
1506,43920-DT,1S-MH-MU-ZCT-CL01-5286,1S-MH-MU-ZCT-CL01-5286,1S-MH-MU-ZCT-CL01-5286,7,,
1506,30497-DT,1S-MH-MU-ZCT-CL01-5112,1S-MH-MU-ZCT-CL01-5112,1S-MH-MU-ZCT-CL01-5112,8,2025-04-04,210.7654271356784
1506,37352-DT,1S-MH-MU-ZCT-CL01-5492,1S-MH-MU-ZCT-CL01-5492,1S-MH-MU-ZCT-CL01-5492,8,2025-04-04,117.54365217391305
1506,07649-DT,1S-MH-MU-ZCT-CL01-4004,1S-MH-MU-ZCT-CL01-4004,1S-MH-MU-ZCT-CL01-4004,9,2025-04-04,176.6901960784314
1506,13515-DT,1S-MH-MU-ZCT-CL01-4158,1S-MH-MU-ZCT-CL01-4158,1S-MH-MU-ZCT-CL01-4158,9,2024-10-04,572.1656862745098
1506,37863-DT,1S-MH-MU-ZCT-CL07-5522,1S-MH-MU-ZCT-CL07-5522,1S-MH-MU-ZCT-CL07-5522,10,2025-04-04,111.90157068062828
1508,28997-DT,1S-MH-MU-ZCT-CL01-5042,1S-MH-MU-ZCT-CL01-5042,1S-MH-MU-ZCT-CL01-5042,1,2025-04-04,180.17043478260868
