SOURCE_SWITCH_ID,DESTINATION_SWITCH_ID,MEASUREDLENGTH,PATH,CABLETYPE,NUMBEROFCORES,ARMOURED,NEUTRALMATERIAL,CABLEID,CABLECONDUCTORMATERIAL,DIVISIONCODE,ZONECODE,REMARKS,SOURCE_SS,DESTINATION_SS,NO_OF_SEGMENT,SWNO,COMMISSIONEDDATE,VOLTAGE,VAR_Month_01,VAR_Month_02,VAR_Month_03,VAR_Month_04,VAR_Month_05,VAR_Month_06,VAR_Month_07,VAR_Month_08,VAR_Month_09,VAR_Month_10,VAR_Month_11,VAR_Month_12,CYCLE_Month_01,CYCLE_Month_02,CYCLE_Month_03,CYCLE_Month_04,CYCLE_Month_05,CYCLE_Month_06,CYCLE_Month_07,CYCLE_Month_08,CYCLE_Month_09,CYCLE_Month_10,CYCLE_Month_11,CYCLE_Month_12
220GOR32,33281,1651.691,JT.NO.02 → JT.NO.03 -> JT.NO.03 → JT.NO.04 -> JT.NO.04 → JT.NO.05 -> JT.NO.05 → JT.NO.06 -> JT.NO.06 → JT.NO.07 -> JT.NO.07 → JT.NO.08 -> JT.NO.08 → JT.NO.09 -> JT.NO.09 → JT.NO.10,XLPE,3.0,Y,AL,,AL,3000.0,3034,,220kV GOREGAON REC-STN,NESCO RECEIVING STATION,11,33281,2019-02-08,33KV,23.580,28.297,30.013,54.145,37.687,22.500,6.136,10.380,15.400,16.925,26.158,26.343,5.000,4.000,6.000,4.000,2.000,3.000,2.000,2.000,1.000,1.000,2.000,5.000
220GOR36,33341,1775.700,JT.NO.01 → JT.NO.02 -> JT.NO.02 → JT.NO.03 -> JT.NO.03 → JT.NO.04 -> JT.NO.04 → JT.NO.05 -> JT.NO.05 → JT.NO.06 -> JT.NO.06 → JT.NO.06A -> JT.NO.06A → JT.NO.07 -> JT.NO.07 → JT.NO.08 -> JT.NO.08 → JT.NO.09 -> JT.NO.09 → JT.NO.10 -> JT.NO.10 → JT.NO.11 -> JT.NO.11 → JT.NO.11A -> JT.NO.11A → SWNO_33341 -> SWNO_220GOR36 → JT.NO.01,XLPE,3.0,Y,AL,,AL,3000.0,3034,,220kV GOREGAON REC-STN,NIRLON B10 RECEIVING STATION,14,33341,2022-02-08,,,,,,,,,,,,,,,,,,,,,,,,,
220GOR41,33343,1757.900,JT.NO.01 → JT.NO.02 -> JT.NO.02 → JT.NO.03 -> JT.NO.03 → JT.NO.04 -> JT.NO.04 → JT.NO.05 -> JT.NO.05 → JT.NO.05A -> JT.NO.05A → JT.NO.06 -> JT.NO.06 → JT.NO.07 -> JT.NO.07 → JT.NO.08 -> JT.NO.08 → JT.NO.09 -> JT.NO.09 → SWNO_33343 -> SWNO_220GOR41 → JT.NO.01,XLPE,3.0,Y,AL,,AL,3000.0,3000,,220kV GOREGAON REC-STN,NIRLON B10 RECEIVING STATION,11,33343,2023-02-16,33KV,11.747,9.805,13.738,12.844,16.710,6.355,11.190,7.730,10.496,9.185,14.097,16.579,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
220GORE13,33240,3704.300,JT.NO.09E → JT.NO.9M -> JT.NO.09F → JT.NO.9E -> JT.NO.09G → JT.NO.09F -> JT.NO.09J → JT.NO.09H -> JT.NO.09M → SWNO_33240 -> JT.NO.10A → JT.NO.10 -> JT.NO.11 → JT.NO.10A -> JT.NO.12 → JT.NO.11 -> JT.NO.13 → JT.NO.12 -> JT.NO.13A → JT.NO.13C -> JT.NO.13B → JT.NO.13A -> JT.NO.13C → JT.NO.13 -> JT.NO.13C → JT.NO.13D -> JT.NO.14 → JT.NO.13B -> JT.NO.15 → JT.NO.14 -> JT.NO.16 → JT.NO.15 -> JT.NO.17 → JT.NO.16 -> JT.NO.17A → JT.NO.17 -> JT.NO.18 → JT.NO.17A -> JT.NO.18 → JT.NO.19 -> JT.NO.19 → JT.NO.18 -> JT.NO.21 → JT.NO.20 -> JT.NO.22 → JT.NO.22A -> JT.NO.22A → JT.NO.21 -> JT.NO.23 → JT.NO.22 -> JT.NO.23A → JT.NO.23 -> JT.NO.24 → JT.NO.23A -> JT.NO.24A → JT.NO.24 -> JT.NO.9H → JT.NO.09G -> JT.NO.9I -> JT.NO.9I → JT.NO.9J -> SWNO_220GORE13 → JT.NO.24A,XLPE,3.0,Y,AL,HT33KV6908555658,AL,3000.0,3031,,220kV GOREGAON REC-STN,SWAMI SAMARTH NAGAR REC-STN,33,33240,2012-07-24,33KV,100.692,100.828,83.742,86.000,100.533,90.333,23.333,44.471,86.000,87.933,83.643,81.800,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000
220GORE40,33049,2022.200,JT.NO.02 → JT.NO.03 -> JT.NO.03 → JT.NO.04 -> JT.NO.04 → JT.NO.05 -> JT.NO.05 → JT.NO.06 -> JT.NO.06 → JT.NO.07 -> JT.NO.07 → JT.NO.08 -> JT.NO.08 → JT.NO.09 -> JT.NO.09 → JT.NO.10 -> JT.NO.10 → JT.NO.10A -> JT.NO.10A → JT.NO.11 -> JT.NO.11 → JT.NO.12 -> JT.NO.12 → JT.NO.13 -> JT.NO.13 → SWNO_33049 -> SWNO_220GORE40 → JT.NO.01,XLPE,3.0,Y,AL,,AL,3000.0,3034,AS PER HT SLD,220kV GOREGAON REC-STN,CAMA REC-STN,16,33049,2019-02-08,33KV,120.871,124.479,133.961,145.989,148.570,112.975,35.657,68.800,110.920,126.223,116.814,107.015,1.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000
220SAK01,33167,6130.300,JT.NO.01 → JT.NO.02 -> JT.NO.02 → JT.NO.03 -> JT.NO.03 → JT.NO.04 -> JT.NO.04 → JT.NO.05 -> JT.NO.05 → JT.NO.06 -> JT.NO.06 → JT.NO.07 -> JT.NO.07 → JT.NO.08 -> JT.NO.08A → JT.NO.09 -> JT.NO.09 → JT.NO.09A -> JT.NO.10 → JT.NO.11 -> JT.NO.11 → JT.NO.12 -> JT.NO.12 → JT.NO.13 -> JT.NO.13 → JT.NO.14 -> JT.NO.14 → JT.NO.15 -> JT.NO.15 → JT.NO.16 -> JT.NO.16 → JT.NO.17 -> JT.NO.17 → JT.NO.18 -> JT.NO.18 → JT.NO.19 -> JT.NO.19 → JT.NO.19A -> JT.NO.19A → JT.NO.20 -> JT.NO.20 → JT.NO.20A -> JT.NO.20A → JT.NO.21 -> JT.NO.21 → JT.NO.22 -> JT.NO.22 → JT.NO.23 -> JT.NO.23 → JT.NO.24 -> JT.NO.24 → JT.NO.25 -> JT.NO.25 → JT.NO.26 -> JT.NO.26 → JT.NO.27 -> JT.NO.27 → JT.NO.28 -> JT.NO.28 → JT.NO.29 -> JT.NO.29 → JT.NO.30 -> JT.NO.30 → JT.NO.31 -> JT.NO.31 → JT.NO.32 -> JT.NO.32 → JT.NO.33 -> JT.NO.33 → JT.NO.34 -> JT.NO.34 → JT.NO.34A -> JT.NO.34A → JT.NO.35 -> JT.NO.35 → JT.NO.36 -> JT.NO.36 → JT.NO.37 -> JT.NO.37 → SWNO_33167 -> SWNO_220SAK01 → JT.NO.01,XLPE,3.0,Y,AL,HT33KV6908561L2V,AL,6000.0,6062,,220kV SAKI REC-STN,SWAN MILL REC-STN,41,33167,2016-01-30,33KV,71.279,74.554,76.929,81.050,89.944,73.162,20.285,41.503,57.601,73.479,67.506,63.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000
220SAK03,33356,1652.210,SWNO_220SAK03 → SWNO_33356,XLPE,3.0,Y,AL,HT33KV6908561MFH,AL,6000.0,6062,,220kV SAKI REC-STN,NETMAGIC DC-9 NO 1 RECEIVING STATIO,2,33356,,33KV,71.620,16.508,9.556,45.154,13.134,11.943,2.053,3.800,12.346,10.695,8.282,9.105,6.000,3.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
220SAK05,33259,6111.025,JT.NO.19A → JT.NO.19B -> JT.NO.19B → JT.NO.20 -> JT.NO.19D → JT.NO.19A -> JT.NO.20 → JT.NO.21 -> JT.NO.21 → JT.NO.22 -> JT.NO.22 → JT.NO.23 -> JT.NO.24 → JT.NO.24A -> JT.NO.24A → JT.NO.25 -> JT.NO.25 → JT.NO.26 -> JT.NO.26 → JT.NO.27 -> JT.NO.27 → JT.NO.28 -> JT.NO.28 → JT.NO.29 -> JT.NO.29 → JT.NO.30 -> JT.NO.30 → JT.NO.31 -> JT.NO.31 → JT.NO.32 -> JT.NO.32 → JT.NO.33 -> JT.NO.33 → JT.NO.34 -> JT.NO.34 → JT.NO.35 -> JT.NO.35 → JT.NO.36 -> JT.NO.36 → JT.NO.37 -> JT.NO.37 → JT.NO.38 -> JT.NO.38 → JT.NO.39 -> JT.NO.39 → JT.NO.40 -> JT.NO.40 → JT.NO.40A -> JT.NO.40A → JT.NO.41 -> JT.NO.41 → JT.NO.41A -> JT.NO.41 → JT.NO.42 -> JT.NO.42 → JT.NO.42A -> JT.NO.42A → JT.NO.43 -> JT.NO.43 → JT.NO.43A -> JT.NO.43A → JT.NO.44 -> JT.NO.44 → JT.NO.44A -> JT.NO.44A → JT.NO.44B -> JT.NO.44B → JT.NO.45 -> JT.NO.45 → JT.NO.46 -> JT.NO.46 → JT.NO.47 -> JT.NO.47 → JT.NO.48 -> JT.NO.48 → JT.NO.49 -> JT.NO.49 → JT.NO.49A -> JT.NO.49A → JT.NO.49B -> JT.NO.49B → JT.NO.50 -> JT.NO.50 → JT.NO.51 -> JT.NO.51 → JT.NO.52 -> JT.NO.52 → JT.NO.53 -> JT.NO.53 → JT.NO.53A -> JT.NO.53 → SWNO_33259 -> SWNO_220SAK05 → JT.NO.19D,XLPE,3.0,Y,AL,HT33KV6908561MFG,AL,6000.0,6062,,220kV SAKI REC-STN,RIL REC-STN,48,33259,1999-01-30,33KV,43.867,54.828,48.129,62.690,64.000,59.933,10.571,23.067,33.250,36.889,48.519,37.786,5.000,5.000,5.000,5.000,4.000,4.000,1.000,1.000,1.000,1.000,7.000,7.000
220SAK11,33126,814.679,JT.NO.01 → JT.NO.02 -> JT.NO.01A -> JT.NO.01A → JT.NO.01 -> JT.NO.02 → JT.NO.03B -> JT.NO.03 → JT.NO.04 -> JT.NO.03A → JT.NO.03 -> JT.NO.03B → JT.NO.03A -> JT.NO.04 → JT.NO.05 -> JT.NO.05 → JT.NO.06 -> JT.NO.06 → SWNO_33126,XLPE,3.0,Y,AL,,AL,6000.0,6062,,220kV SAKI REC-STN,VIHAR RD. REC-STN,10,33126,,33KV,27.163,25.460,21.488,48.619,21.691,22.707,12.663,8.686,16.169,14.902,14.349,11.912,1.000,0.000,1.000,2.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000
220SAK12,33155,4355.645,JT.NO.45 -> JT.NO.45 → JT.NO.45A -> JT.NO.45A → JT.NO.45B -> JT.NO.45B → JT.NO.45C -> JT.NO.45C → JT.NO.45D -> JT.NO.45D → JT.NO.45E -> JT.NO.45E → JT.NO.45F -> JT.NO.45F → JT.NO.45G -> JT.NO.45G → JT.NO.45H -> JT.NO.45H → JT.NO.45J -> JT.NO.45J → JT.NO.45K -> JT.NO.45K → JT.NO.45M -> JT.NO.45M → JT.NO.45N -> JT.NO.45N → JT.NO.45P -> JT.NO.45P → JT.NO.46 -> JT.NO.46 → JT.NO.46A -> JT.NO.46A → JT.NO.46B -> JT.NO.46B → JT.NO.46C -> JT.NO.46C → JT.NO.46D -> JT.NO.46D → JT.NO.46E -> JT.NO.46E → JT.NO.46F -> JT.NO.46F → JT.NO.46G -> JT.NO.46G → JT.NO.46H -> JT.NO.46H → JT.NO.46J -> JT.NO.46J → JT.NO.46K -> JT.NO.46K → JT.NO.46M -> JT.NO.46M → JT.NO.46N -> JT.NO.46N → JT.NO.46P -> JT.NO.46P → JT.NO.47 -> JT.NO.47 → SWNO_33155,XLPE,3.0,Y,AL,HT33KV6908561L2V,AL,6000.0,6062,POTHEAD,220kV SAKI REC-STN,KOHINOOR RECEIVING STATION,30,33155,2016-01-30,33KV,36.598,46.281,40.030,44.673,46.590,30.148,8.609,16.270,26.009,30.113,27.494,28.559,0.000,2.000,1.000,1.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,2.000
