FEEDER_ID,FROM_TO,SOURCE_LOCATION,DESTINATION_LOCATION,LOCATION,RANK,LATEST_DT_DATE,DT_LOAD,DT_LOAD_CAL,SUM_DT_LOAD_CAL,FRACTION,feeder_Month_01,feeder_Month_02,feeder_Month_03,feeder_Month_04,feeder_Month_05,feeder_Month_06,feeder_Month_07,feeder_Month_08,feeder_Month_09,feeder_Month_10,feeder_Month_11,feeder_Month_12,node_load_Month_01,node_load_Month_02,node_load_Month_03,node_load_Month_04,node_load_Month_05,node_load_Month_06,node_load_Month_07,node_load_Month_08,node_load_Month_09,node_load_Month_10,node_load_Month_11,node_load_Month_12,sec_cum_Month_01,sec_cum_Month_02,sec_cum_Month_03,sec_cum_Month_04,sec_cum_Month_05,sec_cum_Month_06,sec_cum_Month_07,sec_cum_Month_08,sec_cum_Month_09,sec_cum_Month_10,sec_cum_Month_11,sec_cum_Month_12
10205,39131-28802,1S-MH-MU-ZSC-CL09-3373,1S-MH-MU-ZSC-CL09-3058,1S-MH-MU-ZSC-CL09-3058,5,2025-03-06,126.29810945273633,6.977822726380684,218.3238381015507,0.03196088336966225,46.079,49.597,52.985,75.948,72.313,72.22,64.217,64.217,53.522,59.423,40.691,40.792,2,2,2,3,3,3,3,3,2,2,2,2,7.0,14.0,22.0,32.0,42.0,52.0,61.0,70.0,78.0,86.0,93.0,100.0
10205,28803-32963,1S-MH-MU-ZSC-CL09-3058,1S-MH-MU-ZSC-CL08-3241,1S-MH-MU-ZSC-CL08-3241,6,2025-04-04,103.74257668711655,5.731655940357143,218.3238381015507,0.026253001001618214,46.079,49.597,52.985,75.948,72.313,72.22,64.217,64.217,53.522,59.423,40.691,40.792,2,2,2,2,2,2,2,2,2,2,2,2,5.0,10.0,16.0,23.0,30.0,37.0,43.0,49.0,55.0,61.0,66.0,71.0
10205,32965-4857,1S-MH-MU-ZSC-CL08-3241,1S-MH-MU-ZSC-CL09-2185,1S-MH-MU-ZSC-CL09-2185,7,2025-03-06,225.7628717948718,12.473134430984903,218.3238381015507,0.05713134460920925,46.079,49.597,52.985,75.948,72.313,72.22,64.217,64.217,53.522,59.423,40.691,40.792,3,3,4,5,5,5,4,4,4,4,3,3,3.0,6.0,10.0,15.0,20.0,25.0,29.0,33.0,37.0,41.0,44.0,47.0
10206,10206-4804,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-CL09-2298,1S-MH-MU-ZSC-CL09-2298,1,2025-04-04,336.4180904522613,18.586705749557222,133.5217870251244,0.13920354246052605,94.965,99.852,116.194,130.66,136.961,120.112,116.943,116.943,117.636,133.889,115.651,98.788,14,14,17,19,20,17,17,17,17,19,17,14,100.0,205.0,327.0,465.0,606.0,733.0,855.0,977.0,1099.0,1237.0,1359.0,1464.0
10206,4806-4856,1S-MH-MU-ZSC-CL09-2298,1S-MH-MU-ZSC-CL09-2185,1S-MH-MU-ZSC-CL09-2185,2,2025-03-06,225.7628717948718,12.473134430984903,133.5217870251244,0.09341647313810943,94.965,99.852,116.194,130.66,136.961,120.112,116.943,116.943,117.636,133.889,115.651,98.788,9,10,11,13,13,12,11,11,11,13,11,10,86.0,177.0,282.0,401.0,522.0,632.0,737.0,842.0,947.0,1066.0,1171.0,1262.0
10206,4858-40848,1S-MH-MU-ZSC-CL09-2185,1S-MH-MU-ZSC-CL08-3291,1S-MH-MU-ZSC-CL08-3291,2.1,2025-04-04,105.8,5.84532617036004,133.5217870251244,0.04377807023553498,94.965,99.852,116.194,130.66,136.961,120.112,116.943,116.943,117.636,133.889,115.651,98.788,5,5,6,6,6,6,6,6,6,6,6,5,21.0,42.0,68.0,96.0,124.0,150.0,176.0,202.0,228.0,256.0,282.0,303.0
10206,40847-29393,1S-MH-MU-ZSC-CL08-3291,1S-MH-MU-ZSC-CL09-3085,1S-MH-MU-ZSC-CL09-3085,2.2,2025-03-06,115.4530612244898,6.3786465049498124,133.5217870251244,0.04777232725135382,94.965,99.852,116.194,130.66,136.961,120.112,116.943,116.943,117.636,133.889,115.651,98.788,5,5,6,7,7,6,6,6,6,7,6,5,16.0,32.0,52.0,74.0,96.0,116.0,136.0,156.0,176.0,198.0,218.0,234.0
10206,29395-29956,1S-MH-MU-ZSC-CL09-3085,1S-MH-MU-ZSC-CL09-3112,1S-MH-MU-ZSC-CL09-3112,2.3,2025-03-06,93.13894736842106,5.145817831119262,133.5217870251244,0.038539162377679896,94.965,99.852,116.194,130.66,136.961,120.112,116.943,116.943,117.636,133.889,115.651,98.788,4,4,5,6,6,5,5,5,5,6,5,4,11.0,22.0,36.0,51.0,66.0,80.0,94.0,108.0,122.0,137.0,151.0,162.0
10206,29954-29957,1S-MH-MU-ZSC-CL09-3112,1S-MH-MU-ZSC-CL09-3113,1S-MH-MU-ZSC-CL09-3113,2.4,2025-04-04,86.8979411764706,4.80100954356551,133.5217870251244,0.03595675020932814,94.965,99.852,116.194,130.66,136.961,120.112,116.943,116.943,117.636,133.889,115.651,98.788,4,4,5,5,5,5,5,5,5,5,5,4,7.0,14.0,23.0,32.0,41.0,50.0,59.0,68.0,77.0,86.0,95.0,102.0
10206,29959-9025,1S-MH-MU-ZSC-CL09-3113,1S-MH-MU-ZSC-CL09-2075,1S-MH-MU-ZSC-CL09-2075,2.5,2025-03-06,69.71960199004975,3.851926409258258,133.5217870251244,0.028848673277069397,94.965,99.852,116.194,130.66,136.961,120.112,116.943,116.943,117.636,133.889,115.651,98.788,3,3,4,4,4,4,4,4,4,4,4,3,3.0,6.0,10.0,14.0,18.0,22.0,26.0,30.0,34.0,38.0,42.0,45.0
