DESTINATION_LOCATION,FEEDER_ID,VAR_Month_01,VAR_Month_02,VAR_Month_03,VAR_Month_04,VAR_Month_05,VAR_Month_06,VAR_Month_07,VAR_Month_08,VAR_Month_09,VAR_Month_10,VAR_Month_11,VAR_Month_12,CYCLE_Month_01,CYCLE_Month_02,CYCLE_Month_03,CYCLE_Month_04,CYCLE_Month_05,CYCLE_Month_06,CYCLE_Month_07,CYCLE_Month_08,CYCLE_Month_09,CYCLE_Month_10,CYCLE_Month_11,CYCLE_Month_12
1S-MH-MU-ZCT-CL03-4776,35874,0.441,0.212,0.165,0.625,0.585,0.475,0.0,0.205,1.059,0.479,0.398,0.167,2,0,0,1,1,1,0,1,0,1,1,0
1S-MH-MU-ZCT-CL03-5169,35874,7.015,4.16,3.333,9.197,7.999,6.116,0.0,2.858,20.417,8.365,7.379,2.207,2,0,0,1,1,1,0,1,0,1,1,0
1S-MH-MU-ZCT-CL03-5314,35874,6.386,3.799,3.038,8.41,7.308,5.583,0.0,2.62,18.815,7.696,6.768,2.016,2,0,0,1,1,1,0,1,0,1,1,0
1S-MH-MU-ZCT-CL03-4541,35874,5.708,3.381,2.712,7.534,6.541,4.993,0.0,2.35,17.127,6.934,6.101,1.804,2,0,0,1,1,1,0,1,0,1,1,0
1S-MH-MU-ZCT-CL03-4053,35874,3.557,2.097,1.683,4.787,4.08,3.065,0.0,1.424,10.529,4.491,3.851,1.127,2,0,0,1,1,1,0,1,0,1,1,0
1S-MH-MU-ZCT-CL01-4936,35874,1.662,0.977,0.768,2.261,2.024,1.586,0.0,0.762,5.435,2.277,1.948,0.591,2,0,0,1,1,1,0,1,0,1,1,0
1S-MH-MU-ZCT-CL03-5487,35874,0.525,0.307,0.237,0.696,0.614,0.476,0.0,0.225,1.535,0.623,0.571,0.167,2,0,0,1,1,1,0,1,0,1,1,0
1S-MH-MU-ZCT-CL05-5755,35878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1S-MH-MU-ZCT-CL05-4228,35881,10.973,9.751,6.55,11.68,13.241,6.488,0.0,3.681,22.928,11.469,8.758,5.315,1,1,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZCT-CL05-4229,35881,7.242,6.431,4.306,8.026,9.197,4.555,0.0,2.56,16.15,8.103,6.072,3.746,1,1,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZCT-CL05-4339,35881,3.543,3.314,2.172,4.25,4.762,2.307,0.0,1.27,8.432,4.269,3.291,2.108,1,1,0,1,1,0,0,1,0,1,1,0
1S-MH-MU-ZCT-CL05-5294,35882,5.796,5.562,6.425,8.668,10.64,7.066,0.0,1.266,5.761,6.204,5.05,4.426,1,1,2,4,4,4,0,1,0,5,4,4
1S-MH-MU-ZCT-CL05-4358,35882,2.192,1.87,1.918,2.836,3.394,2.204,0.0,0.408,1.984,2.048,1.773,1.733,1,1,2,4,4,4,0,1,0,5,4,4
1S-MH-MU-ZCT-CL05-4566,35882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1S-MH-MU-ZCT-CL05-4696,35882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1S-MH-MU-ZCT-CL05-5755,35882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1S-MH-MU-ZCT-CL05-4672,35883,5.207,2.694,1.946,6.081,5.151,1.692,0.0,1.363,10.054,5.413,3.84,1.614,1,0,0,2,1,0,0,1,0,1,1,0
1S-MH-MU-ZCT-CL04-4555,35883,3.972,2.028,1.465,4.63,4.109,1.397,0.0,1.122,7.623,4.079,2.817,1.227,1,0,0,2,1,0,0,1,0,1,1,0
1S-MH-MU-ZCT-CL04-5283,35883,2.921,1.523,1.092,3.505,3.1,1.051,0.0,0.85,5.81,3.081,2.113,0.92,1,0,0,2,1,0,0,1,0,1,1,0
1S-MH-MU-ZCT-CL04-4491,35883,2.238,1.164,0.83,2.716,2.371,0.797,0.0,0.652,4.526,2.445,1.651,0.696,1,0,0,2,1,0,0,1,0,1,1,0
1S-MH-MU-ZCT-CL04-5346,35883,1.43,0.761,0.553,1.825,1.558,0.515,0.0,0.415,2.933,1.544,1.087,0.457,1,0,0,2,1,0,0,1,0,1,1,0
1S-MH-MU-ZCT-RSTN-KIES,35884,2.011,1.689,1.668,3.62,3.214,2.179,0.0,0.219,3.198,2.692,2.712,1.995,4,4,5,6,5,4,0,1,0,5,4,3
1S-MH-MU-ZCT-CL05-4079,35884,2.011,1.689,1.668,3.62,3.214,2.179,0.0,0.219,3.198,2.692,2.712,1.995,4,4,5,6,5,4,0,1,0,5,4,3
1S-MH-MU-ZCT-CL05-4358,35884,0.856,0.614,0.55,1.172,1.096,0.78,0.0,0.085,1.318,1.047,1.115,0.803,4,4,5,6,5,4,0,1,0,5,4,3
1S-MH-MU-ZCT-CL05-4340,35885,11.36,3.923,6.648,12.717,15.152,6.017,0.0,4.779,24.116,11.41,8.968,3.818,2,0,3,2,1,0,0,1,0,1,1,0
1S-MH-MU-ZCT-CL04-5018,35885,9.374,3.263,5.423,10.58,12.812,5.152,0.0,4.149,20.19,9.506,7.534,3.262,2,0,3,2,1,0,0,1,0,1,1,0
1S-MH-MU-ZCT-CL05-5052,35885,8.232,2.934,4.9,9.438,11.36,4.547,0.0,3.618,17.701,8.358,6.655,2.789,2,0,3,2,1,0,0,1,0,1,1,0
1S-MH-MU-ZCT-CL05-4159,35885,6.51,2.358,3.948,7.407,8.868,3.535,0.0,2.803,13.874,6.558,5.23,2.137,2,0,3,2,1,0,0,1,0,1,1,0
1S-MH-MU-ZCT-CL05-4566,35885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1S-MH-MU-ZNT-CL06-6808,35885,5.174,1.724,2.868,5.682,7.02,2.866,0.0,2.267,10.771,5.041,4.058,1.743,2,0,3,2,1,0,0,1,0,1,1,0
1S-MH-MU-ZCT-CL05-4664,35885,1.452,0.467,0.83,1.685,2.162,0.908,0.0,0.743,3.186,1.533,1.222,0.537,2,0,3,2,1,0,0,1,0,1,1,0
1S-MH-MU-ZCT-CL05-5131,35885,1.108,0.424,0.629,1.171,1.532,0.652,0.0,0.56,2.378,1.02,0.839,0.351,2,0,3,2,1,0,0,1,0,1,1,0
